NAME DES BEGÜNSTIGTEN,BEZEICHNUNG DES VORHABENS,Jahr der Bewilligung,Jahr der abschließenden Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Rosien Fensterbau Inh. Manfred Nätlitz e.K.,Fensterfertigungsanlagen,,2010,,63000
Russian Diamond GbR,"Entwicklung eines strategischen Marketingplanes zum
Unternehmensauftritt im Web",,2012,,3000
RV Delicatessen Manufaktur GmbH & Co. KG,Neubau Lagerhalle,,2013,,69000
Saertex Stade GmbH & Co. KG,"Verbundvorhaben ""Offshore Riser Clamps""",,2014,,"159339,22"
SaM-Power GmbH,Erstellung eines Online-Marketingkonzeptes,,2012,,5925
Samtgemeinde Am Dobrock,"Aufbau einer breitbandigen elektronischen Kommunikation in der
Samtgemeinde Am Dobrock, Gemeinde Neuhaus",2014,,105586,
Samtgemeinde Am Dobrock,"Aufbau einer breitbandigen elektronischen Kommunikation in der
Samtgemeinde Am Dobrock, Gemeinde Wingst (Nord)",2014,,80116,
Samtgemeinde Am Dobrock,"Aufbau einer breitbandigen elektronischen Kommunikation in der
Samtgemeinde Am Dobrock, Gemeinde Wingst (Süd)",2014,,78960,
Samtgemeinde Am Dobrock,"Ausbau der Breitbandversorung in der Gemeinde Cadenberge sowie
in Teilen der Gemeinde Wingst",2013,,280716,
Samtgemeinde Amelinghausen,"Aufbau eines lichtwellenleitergestützten Breitbandnetzes zw Ol-
dendorf/Luhe und Rehlingen, min 72 fas Kabel u Min 16 MBit/s",,2014,,"847084,89"
Samtgemeinde Bothel,Samtgemeinde Bothel: natürlich - natürlich,,2013,,"158243,18"
Samtgemeinde Dahlenburg,"Bau einer Abwasserdruckrohrleitung von Nahrendorf nach
Dahlenburg",,2010,,"501063,55"
Samtgemeinde Elbmarsch,"Erweiterung des samtgemeindeeigenen Gewerbeparks
Elbmarsch/Eichh olz",2014,,1136601,
Samtgemeinde Elbmarsch,"Kapazitätserweiterung und Energieoptimierung der Kläranlage Mars
chacht",,2015,,"1810705,49"
Samtgemeinde Elbmarsch,Kultur in der Natur der Samtgemeinde Elbmarsch,,2009,,"30642,38"
Samtgemeinde Elbmarsch,"Neuerschließung des samtgemeindeeigenen Gewerbeparks
Elbmarsch/E ichholz",,2011,,"1666511,74"
Samtgemeinde Fintel,Neubau eines Belebungsbeckens auf der ARA Lauenbrück,,2014,,1527960
Samtgemeinde Gartow,Attraktivitätssteigerung der Wendland-Therme Gartow,2013,,"3207577,85",
Samtgemeinde Gartow,"Errichtung eines Aussichts- und Beobachtungsturms auf dem
Höhbeck - Schwedenschanze -",,2009,,"129470,43"
Samtgemeinde Gellersen,"""Naturerleben in Gellersen"" Naturerlebniskarte",,2013,,13090
Samtgemeinde Gellersen,Lehrpfade in der Samtgemeinde Gellersen,,2011,,"91103,1"
Samtgemeinde Gellersen,Naturlehrpfad in Heiligenthal in der Samtgemeinde Gellersen,,2012,,"56384,58"
Samtgemeinde Hagen,"Aufbau einer breitbandigen elektr. Kommunikation im Bereich d.
Gewerbe-, Misch- u. Wohngebiete der Gemarkung Kassebruch",2014,,"29863,26",
Samtgemeinde Hagen,"Aufbau einer breitbandigen elektr. Kommunikation im Bereich der
Gewerbe-, Misch- und Wohngebiete in der Gemarkung Hagen",2014,,97316,
Samtgemeinde Hambergen,Erschließung des Gewerbegebietes Bremer Straße,2013,,"1500435,87",
Samtgemeinde Harsefeld,"Bauliche Erweiterung Betriebsgebäude u. Prozessleittechnik in
Harsefeld",,2011,,767024
Samtgemeinde Harsefeld,Entwicklung der Bausubstanz der Eissporthalle Harsefeld,,2010,,1009569
Samtgemeinde Harsefeld,"Freiflächengestaltung Klosterpark
und Klosterteiche",,2010,,"249791,97"
Samtgemeinde Harsefeld,Umbau und Erweiterung Schule zur Kindertagesstätte,,2010,,"157509,39"
Samtgemeinde Harsefeld,"Zentrale Entsorgung d. Raumes Ahlerstedt
Hauptverbindungssammler OT Wangersen- ZKA Ahlerstedt-Bockholt",,2009,,"259827,78"
Samtgemeinde Hemmoor,"Aufbau einer breitbandigen elektronischen Kommunikation in Be-
reich der Gew.-Misch-u Wohngebiete der Stadt Hemmoor u Gem
Osten",,2015,,"361423,27"
Samtgemeinde Hemmoor,"Ausbau der Schmutzwasserkanalisation i.d. Samtgemeinde
Hemmoor Ortsteil Klint 2008",,2011,,"808026,21"
Samtgemeinde Hemmoor,energetische Sanierung Hallenbad Hemmoor,2009,,"1585079,4",
Samtgemeinde Lachendorf,"Freiraum- u. Straßengestaltung Oppershäuser Straße im Rahmen der
Aufwertung der zentralen Ortsmitte",,2014,,"333830,64"
Samtgemeinde Lachendorf,städtebaulicher Rahmenplan zum ISEK,,2011,,"24218,88"
Samtgemeinde Lachendorf,"Umbau Ackerstraße, Anlage Marktplatz, Aufwertung angr. Bereiche",,2013,,"849389,92"
Samtgemeinde Land Hadeln,"Breitbandausbau in den Gewerbe- und Wohngebieten der
Gemeinden Wanna und Nordleda",,2015,,"91269,41"
Samtgemeinde Land Hadeln,"Einrichtung einer Ausstellung im Moorinformationszentrum (MoorIZ)
im Ahlenmoor",,2010,,"218135,8"
Samtgemeinde Land Hadeln,Erweiterung und Attraktivierung der Sole-Therme Otterndorf,2013,,"4285855,04",
Samtgemeinde Land Hadeln,Hadler Sagenweg,,2014,,"63899,76"
Samtgemeinde Land Hadeln,Torfmoosfeld in Wanna-Ahlenfalkenberg,,2015,,"67029,32"
Samtgemeinde Lüchow (Wendland),Neukonzeption zur Nutzung sowie Umbau des Backhauses,2014,,"102990,9",
Samtgemeinde Nordkehdingen,Innenausbau Kornspeicher zu einem Kulturzentrum,,2015,,"708287,49"
Samtgemeinde Nordkehdingen,Klassenzimmer Natur und Kultur Nordkehdingen,2014,,62100,
Samtgemeinde Selsingen,Abwasserbeseitigung des Ortes Anderlingen,2012,,"1681276,92",
Samtgemeinde Selsingen,Abwasserbeseitigung des Ortsteils Deinstedt,,2014,,"1437372,23"
Samtgemeinde Selsingen,Abwasserbeseitigung des Ortsteils Godenstedt,,2011,,"453215,86"
Samtgemeinde Selsingen,Abwasserbeseitigung des Ortsteils Malstedt der Gemeinde Deinstedt,2014,,"879703,6",
Samtgemeinde Selsingen,"Abwasserbeseitigung des OT Rhadereistedt - Umbau des
Mischwasserkanal u. Ableitung d. Abwassers z. ARA Rockstedt",,2011,,"299080,83"
Samtgemeinde Sittensen,"Druckentwässerung Gemeinde Vierden mit Anschluss an die SW-
Kanalisation Sittensen",,2012,,"934614,19"
Samtgemeinde Sittensen,"Druckentwässerung in Hamersen mit Anschluss an die SW-
Kanalisation in Sittensen",2014,,"1214232,1",
Samtgemeinde Sittensen,"Erneuerung der Druckentwässerung Wohnste mit Anschluss an die
Schmutzwasserkanalisation Sittensen",,2014,,"953172,24"
Samtgemeinde Sottrum,Erweiterung Kläranlage Sottrum,,2011,,"327999,9"
Samtgemeinde Tarmstedt,"Stilllegung der Teichkläranlagen Hanstedt u. Breddorf Anschluss an
die Kläranlage Tarmstedt",,2011,,"1382884,25"
Samtgemeinde Tostedt,"Erneuerung Ortsteilkläranlage Wümmepark, Wistedt",,2009,,"154668,6"
Samtgemeinde Wathlingen,Erweiterung der Zentralkläranlage Wathlingen,,2012,,4251000
Samtgemeinde Zeven,"Abwasserbeseitigung in der gemeinde Gyhum, OT Bockel
Erweiterung des Schmutzwasserkanalnetzes",,2009,,"317192,4"
Samtgemeinde Zeven,"Abwasserbeseitigung in der Gemeinde Hesslingen, OT Wense",2012,,1708153,
Samtgemeindewerke Harsefeld,"Prozessleittechnik in der Abwasserentsorgung; Kläranlage Ahlerstedt-
Bockholt, sowie 33 Pumpstationen",,2014,,253470
Sand- und Kiesgrubengesellschaft Südheide mbH,"Erstellung eines Web-Marketing-Konzeptes für die Sand- und
Kiesgrubengesellschaft Südheide mbH",,2012,,1580
Sand- und Kiesgrubengesellschaft Südheide mbH,Sicherstellung einer strukturierten Nachfolgeregelung,,2011,,6000
Sand- und Kiesgrubengesellschaft Wedemark mbH,"Erstellung eines Web-Marketing-Konzeptes für die Sand- und
Kiesgrubengesellschaft Wedemark mbH",,2012,,1580
Sandra Bruns - Mortimer English Club Verden,"Entwicklung von Strategien zur Kundenbindung und
Neukundengewinn ung",,2009,,4000
Sartissohn GmbH,Erweiterung einer Betriebsstätte,,2008,,"171604,82"
Sauter Bautenschutz Michael Sauter,"Beratung für eine neuentwickelte Internetseite sowie Bekannt-
machen der Dienstleistungen durch Werbemaßnahmen im Internet",,2014,,1400
Scavix Software Ltd. & Co. KG,PhoneMondo,2014,,12600,
Scharfenberg Bau- & Möbeltischlerei,Aufbau eines systematischen Personalentwicklungskonzeptes,,2012,,5700
Scharnebecker-Mühle Dienstleistung- u. Handels GmbH,"Entwicklung eines Großhuhnfutters, das optimal auf die
ernährungsphysiologischen Bedürfnisse abgestimmt ist",2014,,87600,
"Scharnow Stiftung Tier hilft Mensch c/o Landpark Lauenbrück
gGmbH",Aufwertung des Landparks Lauenbrück,,2013,,1144700
"Schenk GmbH Zimmerei, Dachdekerei und Sägewerk Jens-
Walter Schenk",Konzeptionelle Beratung zur Entwicklung des Web-Marketing,,2012,,4000
Schlepis Milchhof,Erarbeitung eines Marketingkonzeptes,,2011,,1050
Schlüschen Metallbau GmbH,Übernahme einer von Stilllegung bedrohten Betriebsstätte,,2011,,34600
Schlüter & Wellborg Gebäudetechnik GmbH,Beratung zur Erstellung einer professionellen Internetpräsentation,,2011,,3600
Schmettau & Fuchs GmbH,"Ausrichtung des Unternehmens vor der Übergabe an einen
Nachfolge r",,2009,,10000
Schneverdingen Touristik,Natur erleben im Pietzmoor,,2011,,"164518,16"
Schnitker GmbH,Kauf einer Maschine,,2011,,34900
Scholz Raumgestaltung GmbH,"Konzeption einer professionellen Internetpräsenz unter Beachtung
der bisherigen Web-Strategie",,2012,,5600
Schön Personalservice GmbH,Erarbeitung eines modernen Web-Marketing-Konzeptes,,2012,,4000
Schönes Wohnen Fachmarkt für Heimdecor GmbH,Optimierung der Internet-Marketinginstrumente,,2013,,5096
Schoon GmbH,Beratung zur Erstellung eines neuen Web-Markting-Konzeptes,,2014,,10000
Schulz AG,Optimierung des bestehenden Marketings, ,2010,,10000
Schwedhelm & Sohn GmbH,Stabilisierung der Marktposition,,2010,,4000
Schwindt Hydraulik GmbH,bauliche Investitionenen und Anschaffung v. Maschinen u. Anlagen,,2011,,"17607,24"
Securepoint GmbH,Einstellung eines Innovationsassistenten,,2010,,11200
Securepoint GmbH,Einstellung eines Innovationsassistenten,,2012,,12000
Segelwerkstatt Stade GmbH,Beratung zur Erstellung eines neuen Web-Marketing-Konzeptes,,2014,,"5119,5"
Segelwerkstatt Stade GmbH,Erarbeitung eines Web-Marketing-Konzeptes,,2011,,4480
Segler-Vereinigung Cuxhaven e. V.,Maßnahmen im Bereich des Yachthafens,,2011,,694200
SEMA AG,Erweiterung,,2011,,"57232,48"
Seminarhaus Struß - von Bargen,Beratung zur Entwicklung eines Corporate Design,,2013,,10000
Seniorenhaus Vögelsen OHG Inh. Klaus Reinhardt,Erstellung eines Web-Marketing-Konzeptes,,2013,,5000
SER Elektronik und Schweißtechnik GmbH,Mega-KE Kondensatorenentladungsschweißsystem,2014,,86300,
Serengeti-Park Hodenhagen GmbH,"Wettbewerbs- und Zielgruppenorientierte Bewertung geplanter Reat
traktivierungsmaßnahmen des Betriebes",,2009,,"3281,25"
Servicegesellschaft Nickl mbH,Einstellung eines Innovationsassistenten,2013,,16668,
Servicegesellschaft Nickl mbH,"Neuentwicklung eines Verfahrens zur Herstellung von zweifarbigen
Slushhäuten",2014,,100000,
Siemens & Kilian-Klinge Rechtsanwältinnen und Notarin,"Beratung zur Bindung der Bestandskunden und zur Neukunden-
gewinnung durch gezieltes Web-Marketing",,2013,,2200
Simone Scheper - Betreuungsservice,Beratung hinsichtlich Marketing und Werbemaßnahmen,,2009,,2000
SIS GmbH,Erweiterung der Betriebsstätte,,2013,,"284279,82"
Software Center Celle,Erstellung eines Web-Marketing-Konzeptes,,2013,,3160
Soiltec GmbH,"Entwicklung eines Verbund-Trägersystems zur Aufbringung von
Substraten für extensive Dachbegrünungen",2014,,43000,
Soiltec GmbH,Erstellen eines neuen Web-Marketing-Konzeptes,,2013,,7600
Soiltec GmbH,"Geozellen als Lastverteilungsschicht über vertikalen Tragelemen- ten
zur Stabilisierung von Verkehrsflächen über wenig tragfähige",2014,,51800,
SOLA BONUM GmbH & Co. KG,Erweiterung um eine Produktionshalle,,2011,,297500
SOLA BONUM GmbH & Co. KG,"Konzeptionelle Beratung zu Aufbau, Inhalten und interaktiven
Elementen auf der Website",,2014,,4800
Soltau Logistic Center GmbH & Co. KG,Kauf einer Betriebsstätte,,2011,,"693851,77"
Stadt Bad Bevensen,"Städtebaulicher Wettbewerb zur Vorbereitung d Maßnahme 11
(ISEK)",,2009,,43140
Stadt Bad Bevensen,Verbesserung der touristischen Infrastruktur im Bereich des Kurp arks,,2014,,"1727124,77"
Stadt Bergen,"Attraktivierung der zentralen ""Einkaufsmeile Celler Straße""",2014,,"453158,2",
Stadt Bergen,"Deichend - Neugestaltung der Gesamtfläche im Bereich
Marktplatz/Rathaus",,2013,,"183890,58"
Stadt Bergen,"Fußweg vom ""Volksbank-Parkplatz"" zur B3-Kreuzung",,2012,,"13957,9"
Stadt Bergen,"Gestalterische Aufwertung der Freiflächen am Museum
Römstedthaus und Neugestaltung der Straße ""Am Museum""",,2012,,"160767,74"
Stadt Bergen,"Kirchgasse - Neugestaltung der Fußwege/Grünflächen im westlichen
Kreuzungsbereich",,2012,,"25247,03"
Stadt Bergen,"Neugestaltung der Bundesstraße 3 im Bereich Marktplatz -
Verkehrsinsel, Fußgängerüberweg und Heckenabschirmung",,2013,,"124926,97"
Stadt Bergen,"Neugestaltung und Aufwertung des Friedensplatzes und des
Kirchengeländes",,2013,,"543764,14"
Stadt Bergen,"Planung für die Einzelmaßnahmen 2.1, 2.2, 2.3 und 7.5",,2011,,61938
Stadt Bergen,"Stadtbücherei - Gestaltung der Außenanlagen und Aufwertung der
Anbindung",,2012,,"15232,02"
Stadt Bergen,"Untersuchung zu Möglichkeiten zur Verknüpfung der Gedenkstätte
Bergen-Belsen",,2011,,34986
Stadt Bleckede,"Errichtung eines Elbe-Aquariums und einer Biberfreianlage am
Informationszentrum für das Biosphärenreservat Nds. Elbtalaue",,2012,,1336468
Stadt Bleckede,"Hochwasserschutz für die Ortslage Walmsburg, Stadt Bleckede",,2013,,"1442398,53"
Stadt Bleckede,"Neubau des Elbedeiches in der Stadt Bleckede, Ortsteil Alt
Wendischthun",,2010,,6000000
Stadt Bremervörde,"Attraktivierung des Natur- und Erlebnisparks Bremervörde sowie N
eubau eines zentralen Gebäudes im Bereich der ""Welt der Sinne""",,2015,,"561796,38"
Stadt Buchholz in der Nordheide,"Schmutzwasserentsorgung in Dibbersen und Dangersen, 4.
Bauabschnitt",,2014,,"363107,83"
Stadt Buchholz in der Nordheide,"Schmutzwasserkanalbau Dibbersen in fünf Bauabschnitten, 3.
Bauabschnitt 2011",,2012,,"399334,38"
Stadt Buchholz in der Nordheide,"Schmutzwasserkanalbau Dibbersen in vier Bauabschnitten Hier: 2.
Bauabschnitt 2010",,2011,,1220000
Stadt Buxtehude,"Auf den Spuren von Weidenröschen und Wachtelkönig:
Wanderwege rund um Buxtehude",2013,,"742506,09",
Stadt Buxtehude,"Neubau ""Stieglitzhaus"" als zentrale Einrichtung",,2012,,"2735129,32"
Stadt Buxtehude,"Regionaler touristischer Masterplan und Entwicklung wassertouris
tischer Infrastruktur",,2015,,43995
Stadt Buxtehude,Umgestaltung Bereich Nahversorgungszentrum am Torfweg,2013,,"959558,53",
Stadt Celle,"Hochwasserschutz in der Region Celle - 2. Planfeststellungs-
abschnitt von der Fuhsemündung bis zur Allerinsel -",,2015,,3755334
Stadt Celle,Kooperationsnetzwerk / Clustermanagement GeoEnergy Celle,,2014,,"657995,01"
Stadt Celle,Koordinierungsstelle Frauen und Wirtschaft,,2009,,"81134,23"
Stadt Celle,"Koordinierungsstelle Frauen und Wirtschaft von Stadt und Landkreis
Celle",,2010,,"134859,41"
Stadt Celle,"Koordinierungsstelle Frauen und Wirtschaft von Stadt und Landkreis
Celle",,2012,,"125233,95"
Stadt Celle,"Koordinierungsstelle Frauen und Wirtschaft von Stadt und Landkreis
Celle",,2012,,"126415,25"
Stadt Celle,"Koordinierungsstelle Frauen und Wirtschaft von Stadt und Landkreis
Celle",,2013,,"120320,58"
Stadt Celle,"Koordinierungsstelle Frauen und Wirtschaft von Stadt und Landkreis
Celle",,2014,,"122140,31"
Stadt Celle,"Koordinierungsstelle Frauen und Wirtschaft von Stadt und Landkreis
Celle",2013,,232500,
Stadt Celle,Modernisierung der Dauerausstellung Bomann-Museum,,2015,,"2984732,88"
Stadt Celle,Modernisierung Schlosstheater Celle,2009,,"6477089,1",
Stadt Celle,"Rückbau und Entsorgung des Betriebsgebäudes der ehememaligen
Furtex GmbH",,2010,,"485730,6"
Stadt Celle,"Umsetzung von Hochwasserschutzmaßnahmen nach dem
Planfeststellun gsbeschluss für den 3. Planfesstellungsabschnitt -
Allerinsel -",2014,,888400,
Stadt Cuxhaven,Ausbau des Lotsenganges,,2011,,"166610,22"
Stadt Cuxhaven,Ausbau Parkplatz Marienstraße u kleiner Schillerplatz,,2011,,"232406,62"
Stadt Cuxhaven,Erstellung einer Infobroschüre Cuxhavener Küstenheiden,,2009,,"11970,17"
Stadt Cuxhaven,Erweiterung des Nationalpark-Zentrums Cuxhaven,,2009,,"167091,5"
Stadt Cuxhaven,Landschaftspark Altenbruch - Aussichtsplattform und Steganlage,2014,,219436,
Stadt Cuxhaven,"Museum ""Windstärke 10"" Cuxhaven",,2014,,"6609247,21"
Stadt Cuxhaven,"Neubau des UNESCO-Weltnaturerbe Wattenmeer-
Besucherzentrums Cuxhaven (WattBZ)",2012,,"3046945,26",
Stadt Cuxhaven,Umbau Ritzebütteler Marktplatz,,2015,,"1846564,39"
Stadt Cuxhaven,"Umgestaltung ""Grüner Weg""",2013,,"98671,94",
Stadt Cuxhaven,Umgestaltung Alter Deichweg und Am Slippen,,2013,,"400714,24"
Stadt Cuxhaven,"Umgestaltung Lehfeldstr. u.-Platz, Lappestr. u.-Platz",,2012,,"1146352,98"
Stadt Cuxhaven,Umgestaltung Marquard-Schreye-Straße,2014,,"282532,96",
Stadt Cuxhaven,Umgestaltung Schillerplatz,,2014,,401760
Stadt Cuxhaven,Umgestaltung Schillerstraße,,2012,,"444942,6"
Stadt Cuxhaven,Wettbewerb Ritzebütteler Marktplatz,,2011,,"44882,5"
Stadt Dannenberg (Elbe),"Änderung B-Plan ""Ratswiesen""",,2009,,"13764,74"
Stadt Dannenberg (Elbe),"Arkade Schmidt, Verbreiterung des Fußweges (Marschtorstr. 49)",,2011,,77000
Stadt Dannenberg (Elbe),Ausbau des Vorplatzes Ostbahnhof in Dannenberg (Elbe),2013,,"806313,91",
Stadt Dannenberg (Elbe),Modellprojekt Ostbahnhof Dannenberg (Elbe),,2013,,"1036213,33"
Stadt Dannenberg (Elbe),"Sanierung, Umbau u. NeugestaltungJugendzentrum",,2011,,"1287149,21"
Stadt Hemmoor,Entwicklung/Ausbau der Zentrumstraße,,2013,,"731613,64"
Stadt Hemmoor,Entwicklung/Ausbau Otto-Peschel-Str.,,2012,,"418390,23"
Stadt Hemmoor,Gemeinschaftsmaßnahme Umbau OD Basbeck-Hemmoor/B73,2012,,"495928,38",
Stadt Hemmoor,Gestaltung Rathausplatz,2014,,"817754,65",
Stadt Hemmoor,"Gestaltung Rathausplatz (Bauabschnitt 2, 3 und 4)",2014,,"103383,93",
Stadt Hitzacker,"48. Änderung F-Plan (""Schweineweide"")",,2013,,"20026,11"
Stadt Hitzacker,"Aufhöhung und Neugestaltung des Parkplatzes ""Bleichwiese""",,2013,,"587258,06"
Stadt Hitzacker,Aufwertung des Weinberges in Hitzacker (Elbe),,2013,,"443219,07"
Stadt Hitzacker,Fähranleger Bitter,,2014,,231000
Stadt Hitzacker,Jugendfreizeitanlage Mehrzweckplatz in Hitzacker (Elbe),2014,,"35834,47",
Stadt Hitzacker,"Steigerung der Aufenthaltsqualität auf der Stadtinsel, Promenade",,2011,,"41206,16"
Stadt Hitzacker,"Teilneufassung und Erweiterung des Bebauungsplanes Hitzacker-
See",,2014,,"66383,44"
Stadt Hitzacker,Zwei Einbäume für das Archäologische Zentrum Hitzacker,,2012,,11100
Stadt Lüchow,Ausbau Berthold-Roggan-Ring,,2012,,"310714,63"
Stadt Lüchow,Ausbau Drawehner Straße und Lange Straße,,2013,,"1609874,93"
Stadt Lüchow,Ausbau Kreiselverkehr Drawehner Straße/Lange Straße,,2012,,"420427,48"
Stadt Lüchow,Ausbau Tarmitzer Straße,,2011,,"163084,32"
Stadt Lüchow,Ausbau Wiesengrund,,2013,,"297941,73"
Stadt Lüchow,Energetische Sanierung des Hallenbades Lüchow,,2014,,"2844041,92"
Stadt Lüchow,Erweiterung des Industriegebietes Dickstätte,,2013,,"1644497,56"
Stadt Lüchow,Sanierung des Amtsturmes,2013,,"540929,96",
Stadt Lüchow,Umbau Bergstraße,,2014,,130919
Stadt Lüchow,"Vorplanung zur Verbesserung der Verkehrserschließung
Innenstadt",,2011,,"33834,69"
Stadt Osterholz-Scharmbeck,"barrierefreie Zuwegung mit Treppenanlage zwischen zentralem Platz
(Campus) und Bildungshaus und Lernhaus",2014,,"200108,64",
Stadt Osterholz-Scharmbeck,"Entwicklung des Quartiers ""Am Barkhof""",,2014,,"1013303,47"
Stadt Osterholz-Scharmbeck,Erstellung Bebauungsplan für Quartier Am Barkhof,,2011,,"32927,15"
Stadt Osterholz-Scharmbeck,Neubau Mensa- und Medienzentrum,,2014,,"1621312,99"
Stadt Osterholz-Scharmbeck,Neugestaltung der öffentlichen Freifläche Campus,2012,,"609167,79",
Stadt Osterholz-Scharmbeck,Umlegung des Scharmbecker Baches,2011,,"370822,74",
Stadt Osterholz-Scharmbeck,"Umnutzung und Sanierung des Riegelgebäudes der ehemaligen
Haupt- und Realschule zum Bildungshaus im Campus",2014,,1355000,
Stadt Osterholz-Scharmbeck,"Vorbereitung des Wachstumsprojektes ""Green Tech Osterholz""",,2012,,"38964,06"
Stadt Otterndorf,"Aufbau einer breitbandigen elektr. Kommunikation im Bereich der
Gewerbe-, Misch- und Wohngebiete in der Stadt Otterndorf",2014,,68535,
Stadt Otterndorf,"Aufbau einer breitbandigen elektronischen Kommunikation in Ber-
eich Gew.- Misch- u Wohngebiete i Osten der Stadt Otterndorf",2014,,113315,
Stadt Otterndorf,"Erlebnisorientierte und qualitätsverbessernde Erweiterung der
""Seelandhallen"" um einen angegliederten Pavillon",2013,,350000,
Stadt Otterndorf,Errichtung von touristischen Erlebnisstationen,,2015,,240000
Stadt Otterndorf,Gästezentrum und Funhall,,2010,,"1276399,28"
Stadt Otterndorf,Ortsdurchfahrt Otterndorf 2. BA,2012,,"953807,08",
Stadt Otterndorf,"Rückbau der Ortsdurchfahrt (B73), 1. Bauabschnitt",,2014,,"818840,6"
Stadt Otterndorf,"Rückbau Ortsdurchfahrt Otterndorf (B73) und Inwertsetzung öff.
Straßenraum, 3. Bauabschnitt",2014,,"245034,79",
Stadt Schneverdingen,Entwurfsplanung innerstädtischer Straßen,,2011,,35000
Stadt Schneverdingen,Herstellung radfahrerfreundlicher u. barrierefreier Einmündungen,2014,,"75763,73",
Stadt Schneverdingen,Historische Grünfläche Am Brink,2014,,"61296,9",
Stadt Schneverdingen,Ost-West Radverkehrsspange,2014,,"96971,32",
Stadt Schneverdingen,"Schulstrasse/Rathauspassage Schaffung Infrastruktur für
Veranstaltungen",,2014,,"43399,3"
Stadt Schneverdingen,Umgestaltung Bergstraße,,2012,,"298224,4"
Stadt Schneverdingen,Umgestaltung der Friedenstraße und Kirchstraße,,2011,,"624526,06"
Stadt Schneverdingen,Umgestaltung des Alten Friedhofs zur öffentlichen Parkanlage,2014,,"93273,99",
Stadt Schneverdingen,Umgestaltung des Bahnhofsvorplatzes,,2012,,"200118,85"
Stadt Schneverdingen,"Umgestaltung Güterumschlagsflächen in Fuß- und Radweg mit
Grünflächen",,2013,,"120927,93"
Stadt Schneverdingen,Umgestaltung Schulstraße,,2012,,"141802,32"
Stadt Soltau,"Anpassung des Fabrikhofes der Firma GA Röders AG an die
Marktstraße",2014,,50400,
Stadt Soltau,Barrierefreier Umbau des Spielmuseums in Soltau,2013,,"651309,86",
Stadt Soltau,Illumination der Soltauer Innenstadt,,2009,,"29441,56"
Stadt Soltau,Illumination historischer Gebäude an der Rathauskreuzung,2014,,"29488,2",
Stadt Soltau,Umgestaltung Georges-Lemoine-Platz,,2011,,"279205,95"
Stadt Soltau,Umwandlung des Böhmeparks in einen Familienpark,,2012,,"233858,07"
Stadt Uelzen,Ausbau der Pastorenstraße,,2011,,"36701,14"
Stadt Uelzen,Ausbau des Parkplatzes an der Fritz-Röver-Straße,,2011,,"47211,53"
Stadt Uelzen,"Einbau von Toilettenräumen in das ""Alte Rathaus""", ,2009,,47150
Stadt Uelzen,Grüne Marktstraßen,,2012,,"75807,99"
Stadt Uelzen,"Illumination Stadtgraben am Neuen Rathaus, am Alten Amtsgericht
und an der Stadtmauer",,2011,,"109339,14"
Stadt Uelzen,Mehrgenerationenspielplatz Stelzer Brunnen,,2011,,"78468,6"
Stadt Uelzen,Neubau eines Aufzuges zum Parkhaus am ZOB,,2013,,"44956,27"
Stadt Uelzen,"Thermisch-Chemische Klärschlammdesintegration mit MAP-Fällung
auf der Kläranlage Uelzen",2013,,428400,
Stadt Uelzen,Umbau und Nutzungsänderung Altes Rathaus,2009,,"3044192,91",
Stadt Uelzen,Umgestaltung Bahnhofstraße,2013,,"172071,04",
Stadt Uelzen,Umgestaltung des Schnellenmarktes,2013,,"175033,49",
Stadt Uelzen,Umgestaltung Marktstraßen,2012,,"262376,55",
Stadt Verden,Alleruferpark mit Mehrgenerationenspielplatz,2012,,"701116,83",
Stadt Verden,"Anlegung eines Naturerlebnispfades im Verdener Stadtwald - 1.
Station: ""Verdener Dünen""",,2013,,"11709,77"
Stadt Verden,"Ausbau der Straße ""Reeperbahn""",2012,,"791883,6",
Stadt Verden,Bau eines Aussichtspunktes an der Allerniederung,,2013,,"64551,32"
Stadt Verden,energetische Sanierung Aller-Weser-Halle,,2012,,3666335
Stadt Verden,"Neubau einer Parkpalette ""Am Nordertor""",2014,,1242000,
Stadt Verden,Neubau Kreisverkehr am Stadteingang Nordertor,,2013,,"673764,62"
Stadt Verden,Parkplatz Nordbrücke mit Fortführung des Alleruferweges,,2011,,"258403,05"
Stadt Verden,"Umgestaltung Rathausplatz sowie Teilbereich Große Straße
zwischen Bäckerstraße und Herrlichkeit",2011,,"696723,75",
Stadt Verden,"Verbindung Große Straße (Rathausplatz) / Reeperbahn: Neubau Carl-
Hatzky-Weg",,2011,,"82104,25"
Stadt Visselhövede,Ausbau der stadttechnischen Infrastruktur für den Güterbahnhof,,2010,,624800
Stadt Visselhövede,Bürgerpark Visselseen,,2013,,"132173,11"
Stadt Visselhövede,"Neubau einer Schmutzwasser-Ortsentwässerung im Bereich
Drögenbos tel mit Anschluss an das Kanalnetz der Stadt
Visselhövede",,2011,,"450554,34"
Stadt Visselhövede,"Neubau einer SW-Ortsentwässerung im Bereich Ottingen u.
Riepholm mit Anschluss a. d. bestehendeSW-Kanalnetz d. Stadt
Visselhövede",2013,,1540000,
Stadt Visselhövede,Prozessleitsystem Kläranlage - neue Anlagensteuerung,2014,,"384548,98",
Stadt Visselhövede,"Umbau ""Haus des Gastes"" zum ""Haus der Bildung""",,2014,,"622495,07"
