NAME DES BEGÜNSTIGTEN,BEZEICHNUNG DES VORHABENS,Jahr der Bewilligung,Jahr der abschließenden Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Samtgemeinde Gartow,"Errichtung eines Aussichts- und Beobachtungsturms auf dem
Höhbeck - Schwedenschanze -",,2009,,"129.470,43"
Samtgemeinde Gellersen,Lehrpfade in der Samtgemeinde Gellersen,,2011,,"91.103,10"
Samtgemeinde Gellersen,Naturlehrpfad in Heiligenthal in der Samtgemeinde Gellersen,,2012,,"56.384,58"
Samtgemeinde Gellersen,"""Naturerleben in Gellersen"" Naturerlebniskarte",,2013,,"13.090,00"
Samtgemeinde Hambergen,Erschließung des Gewerbegebietes Bremer Straße,,2015,,"1.262.289,80"
Samtgemeinde Hemmoor,"Ausbau der Schmutzwasserkanalisation i.d. Samtgemeinde Hemmoor
Ortsteil Klint 2008",,2011,,"808.026,21"
Samtgemeinde Hemmoor,energetische Sanierung Hallenbad Hemmoor,,2015,,"1.585.079,40"
Samtgemeinde Hemmoor,"Aufbau einer breitbandigen elektronischen Kommunikation im Bereich
der Gew.-Misch-u Wohngebiete der Stadt Hemmoor u. Gem. Osten",,2015,,"361.423,27"
Samtgemeinde Lachendorf,städtebaulicher Rahmenplan zum ISEK,,2011,,"24.218,88"
Samtgemeinde Lachendorf,Verkehrserhebung,,2011,,"15.000,00"
Samtgemeinde Lachendorf,"Umbau Ackerstraße, Anlage Marktplatz, Aufwertung angr. Bereiche",,2013,,"849.389,92"
Samtgemeinde Lachendorf,"Freiraum- u. Straßengestaltung Oppershäuser Straße im Rahmen der
Aufwertung der zentralen Ortsmitte",,2014,,"333.830,64"
Samtgemeinde Land Hadeln,"Einrichtung einer Ausstellung im Moorinformationszentrum (MoorIZ) im
Ahlenmoor",,2010,,"218.135,80"
Samtgemeinde Land Hadeln,Hadler Sagenweg,,2014,,"63.899,76"
Samtgemeinde Land Hadeln,Torfmoosfeld in Wanna-Ahlenfalkenberg,,2015,,"67.029,32"
Samtgemeinde Land Hadeln,"Breitbandausbau in den Gewerbe- und Wohngebieten der Gemeinden
Wanna und Nordleda",,2015,,"91.269,41"
Samtgemeinde Land Hadeln,Erweiterung und Attraktivierung der Sole-Therme Otterndorf,,2015,,"4.184.853,36"
Samtgemeinde Lüchow (Wendland),Neukonzeption zur Nutzung sowie Umbau des Backhauses,,2015,,"102.990,90"
Samtgemeinde Nordkehdingen,Innenausbau Kornspeicher zu einem Kulturzentrum,,2015,,"708.287,49"
Samtgemeinde Nordkehdingen,Klassenzimmer Natur und Kultur Nordkehdingen,,2015,,"55.053,01"
Samtgemeinde Selsingen,"Abwasserbeseitigung des OT Rhadereistedt - Umbau des
Mischwasserkanal u. Ableitung d. Abwassers z. ARA Rockstedt",,2011,,"299.080,83"
Samtgemeinde Selsingen,Abwasserbeseitigung des Ortsteils Deinstedt,,2014,,"1.437.372,23"
Samtgemeinde Selsingen,Abwasserbeseitigung des Ortsteils Godenstedt,,2011,,"453.215,86"
Samtgemeinde Selsingen,Abwasserbeseitigung des Ortsteils Malstedt der Gemeinde Deinstedt,,2015,,"879.703,60"
Samtgemeinde Selsingen,Abwasserbeseitigung des Ortes Anderlingen,,2015,,"1.681.276,92"
Samtgemeinde Sittensen,"Druckentwässerung Gemeinde Vierden mit Anschluss an die SW-
Kanalisation Sittensen",,2012,,"934.614,19"
Samtgemeinde Sittensen,"Erneuerung der Druckentwässerung Wohnste mit Anschluss an die
Schmutzwasserkanalisation Sittensen",,2014,,"953.172,24"
Samtgemeinde Sittensen,"Druckentwässerung in Hamersen mit Anschluss an die SW-
Kanalisation in Sittensen",,2015,,"1.016.774,82"
Samtgemeinde Sottrum,Erweiterung Kläranlage Sottrum,,2011,,"327.999,90"
Samtgemeinde Tarmstedt,"Stilllegung der Teichkläranlagen Hanstedt u. Breddorf Anschluss an
die Kläranlage Tarmstedt",,2011,,"1.382.884,25"
Samtgemeinde Wathlingen,Erweiterung der Zentralkläranlage Wathlingen,,2012,,"4.251.000,00"
Samtgemeinde Zeven,"Abwasserbeseitigung in der gemeinde Gyhum, OT Bockel Erweiterung
des Schmutzwasserkanalnetzes",,2009,,"317.192,40"
Samtgemeinde Zeven,"Abwasserbeseitigung in der Stadt Zeven, OT Brüttendorf - Neubau
des Schmutzwasserkanalnetzes",,2013,,"1.121.428,06"
Samtgemeinde Zeven,"Abwasserbeseitigung in der Gemeinde Hesslingen, OT Wense",,2015,,"1.708.153,00"
Samtgemeindewerke Harsefeld,"Zentrale Entsorgung d. Raumes Ahlerstedt Hauptverbindungssammler
OT Wangersen- ZKA Ahlerstedt-Bockholt",,2009,,"259.827,78"
Samtgemeindewerke Harsefeld,Umbau und Erweiterung Schule zur Kindertagesstätte,,2010,,"157.509,39"
Samtgemeindewerke Harsefeld,"Freiflächengestaltung Klosterpark
und Klosterteiche",,2010,,"249.791,97"
Samtgemeindewerke Harsefeld,"Bauliche Erweiterung Betriebsgebäude u. Prozessleittechnik in
Harsefeld",,2011,,"767.024,00"
Samtgemeindewerke Harsefeld,Entwicklung der Bausubstanz der Eissporthalle Harsefeld,,2010,,"1.009.569,00"
Samtgemeindewerke Harsefeld,"Prozessleittechnik in der Abwasserentsorgung Kläranlage Ahlerstedt-
Bockholt, sowie 33 Pumpstationen",,2014,,"253.470,00"
Sand- und Kiesgrubengesellschaft Südheide mbH,Sicherstellung einer strukturierten Nachfolgeregelung,,2011,,"6.000,00"
Sand- und Kiesgrubengesellschaft Südheide mbH,"Erstellung eines Web-Marketing-Konzeptes für die Sand- und
Kiesgrubengesellschaft Südheide mbH",,2012,,"1.580,00"
Sand- und Kiesgrubengesellschaft Wedemark mbH,"Erstellung eines Web-Marketing-Konzeptes für die Sand- und
Kiesgrubengesellschaft Wedemark mbH",,2012,,"1.580,00"
Sandra Bruns - Mortimer English Club Verden,"Entwicklung von Strategien zur Kundenbindung und
Neukundengewinn ung",,2009,,"4.000,00"
Sartissohn GmbH,Erweiterung einer Betriebsstätte,,2008,,"171.604,82"
Sauter Bautenschutz Michael Sauter,"Beratung für eine neuentwickelte Internetseite sowie Bekannt- machen
der Dienstleistungen durch Werbemaßnahmen im Internet",,2014,,"1.400,00"
Scavix Software Ltd. & Co. KG,PhoneMondo,,2015,,"12.600,00"
Scharfenberg Bau- & Möbeltischlerei,Aufbau eines systematischen Personalentwicklungskonzeptes,,2012,,"5.700,00"
Scharnebecker-Mühle Dienstleistung- u. Handels GmbH,"Entwicklung eines Großhuhnfutters, das optimal auf die
ernährungsphysiologischen Bedürfnisse abgestimmt ist",,2015,,"87.600,00"
"Scharnow Stiftung Tier hilft Mensch c/o Landpark Lauenbrück
gGmbH",Aufwertung des Landparks Lauenbrück,,2013,,"1.144.700,00"
"Schenk GmbH Zimmerei, Dachdekerei und Sägewerk Jens-
Walter Schenk",Konzeptionelle Beratung zur Entwicklung des Web-Marketing,,2012,,"4.000,00"
Schlepis Milchhof,Erarbeitung eines Marketingkonzeptes,,2011,,"1.050,00"
Schlüschen Metallbau GmbH,Übernahme einer von Stilllegung bedrohten Betriebsstätte,,2011,,"34.600,00"
Schlüter & Wellborg Gebäudetechnik GmbH,Beratung zur Erstellung einer professionellen Internetpräsentation,,2011,,"3.600,00"
Schmettau & Fuchs GmbH,Ausrichtung des Unternehmens vor der Übergabe an einen Nachfolger,,2009,,"10.000,00"
Schneverdingen Touristik,Natur erleben im Pietzmoor,,2011,,"164.518,16"
Schnitker GmbH,Kauf einer Maschine,,2011,,"34.900,00"
Scholz Raumgestaltung GmbH,"Konzeption einer professionellen Internetpräsenz unter Beachtung der
bisherigen Web-Strategie",,2012,,"5.600,00"
Schön Personalservice GmbH,Erarbeitung eines modernen Web-Marketing-Konzeptes,,2012,,"4.000,00"
Schönes Wohnen Fachmarkt für Heimdecor GmbH,Optimierung der Internet-Marketinginstrumente,,2013,,"5.096,00"
Schoon GmbH,Beratung zur Erstellung eines neuen Web-Markting-Konzeptes,,2014,,"10.000,00"
Schulz AG,Optimierung des bestehenden Marketings,,2010,,"10.000,00"
Schwedhelm & Sohn GmbH,Stabilisierung der Marktposition,,2010,,"4.000,00"
Schwindt Hydraulik GmbH,bauliche Investitionenen und Anschaffung v. Maschinen u. Anlagen,,2011,,"17.607,24"
Securepoint GmbH,Einstellung eines Innovationsassistenten,,2010,,"11.200,00"
Securepoint GmbH,Einstellung eines Innovationsassistenten,,2012,,"12.000,00"
Segelwerkstatt Stade GmbH,Erarbeitung eines Web-Marketing-Konzeptes,,2011,,"4.480,00"
Segelwerkstatt Stade GmbH,Beratung zur Erstellung eines neuen Web-Marketing-Konzeptes,,2014,,"5.119,50"
Segler-Vereinigung Cuxhaven e. V.,Maßnahmen im Bereich des Yachthafens,,2011,,"694.200,00"
SEMA AG,Erweiterung,,2011,,"57.232,48"
Seminarhaus Struß - von Bargen,Beratung zur Entwicklung eines Corporate Design,,2013,,"10.000,00"
Seniorenhaus Vögelsen OHG Inh. Klaus Reinhardt,Erstellung eines Web-Marketing-Konzeptes,,2013,,"5.000,00"
SER Elektronik und Schweißtechnik GmbH,Mega-KE Kondensatorenentladungsschweißsystem,,2015,,"85.084,85"
Serengeti-Park Hodenhagen GmbH,"Wettbewerbs- und Zielgruppenorientierte Bewertung geplanter
Reattraktivierungsmaßnahmen des Betriebes",,2009,,"3.281,25"
Servicegesellschaft Nickl mbH,Einstellung eines Innovationsassistenten,,2015,,"16.668,00"
Servicegesellschaft Nickl mbH,"Neuentwicklung eines Verfahrens zur Herstellung von zweifarbigen
Slushhäuten",,2015,,"68.764,30"
Siemens & Kilian-Klinge Rechtsanwältinnen und Notarin,"Beratung zur Bindung der Bestandskunden und zur Neukunden-
gewinnung durch gezieltes Web-Marketing",,2013,,"2.200,00"
Simone Scheper - Betreuungsservice,Beratung hinsichtlich Marketing und Werbemaßnahmen,,2009,,"2.000,00"
SIS GmbH,Erweiterung der Betriebsstätte,,2013,,"284.279,82"
Software Center Celle,Erstellung eines Web-Marketing-Konzeptes,,2013,,"3.160,00"
Soiltec GmbH,Erstellen eines neuen Web-Marketing-Konzeptes,,2013,,"7.600,00"
Soiltec GmbH,"Entwicklung eines Verbund-Trägersystems zur Aufbringung von
Substraten für extensive Dachbegrünungen",,2015,,"43.000,00"
Soiltec GmbH,"Geozellen als Lastverteilungsschicht über vertikalen Tragelemen- ten
zur Stabilisierung von Verkehrsflächen über wenig tragf.",,2015,,"51.800,00"
SOLA BONUM GmbH & Co. KG,Erweiterung um eine Produktionshalle,,2011,,"297.500,00"
SOLA BONUM GmbH & Co. KG,"Konzeptionelle Beratung zu Aufbau, Inhalten und interaktiven
Elementen auf der Website",,2014,,"4.800,00"
Somplatzki GmbH,"Beratung und Konzeption zur Erstellung einer professionellen
Internetpräsenz",,2013,,"2.800,00"
Sonja Werner Idealekt,"Strukturanpassung des Unternehmens an das Erfordernis der
Aufnahme externer Beteiligungen",,2011,,"4.800,00"
Sozialkanzlei Axel Jäger,Einführung eines komplexen Marketingsystems,,2009,,"10.000,00"
Specht Erdarbeiten und Baustoffhandel GmbH,Planung der Unternehmensnachfolge,,2013,,"5.999,40"
Spielmuseum Soltau,Touristenmagnet Spielmuseum Soltau,,2015,,"189.345,35"
Sport & Schau GbR,Erstellung eines Web-Marketing-Konzeptes,,2013,,"3.200,00"
Staatliche Seefahrtschule Cuxhaven,Bauliche Erweiterung und Ausstattung der Seefahrtschule Cuxhaven,,2015,,"5.032.459,14"
Stader Geschichts- und Heimatverein e.V.,"Inwertsetzung und Umnutzung des ""Heimatmuseums Stade"" zum
""Landschaftshaus"" (regionales Forum) - Machbarkeitsstudie",,2015,,"64.101,85"
Stadt Achim,"Umbau ""Kreuzung Gieschen"" als Kreisverkehrsplatz",,2011,,"589.279,98"
Stadt Achim,Substanzentwicklung am Gebäude Obernstr. 16 (Außenfassade),,2011,,"47.621,84"
Stadt Achim,Beleuchtung westlicher Eingangsbereich Fußgängerzone,,2011,,"20.920,77"
Stadt Achim,Erweiterung des Stellplatzangebotes Berg-/Feldstraße,,2013,,"565.762,30"
Stadt Achim,Umgestaltung der Eingangsbereiche des Rathausparks,,2013,,"15.722,45"
Stadt Achim,"Substanzentwicklung am Gebäude Obernstraße 24 (Fassade und
Eingangsbereich)",,2014,,"35.538,23"
Stadt Achim,Innenstadtspiel am Alten Markt,,2014,,"45.800,11"
Stadt Achim,"Standortverlagerung der Stadtbibliothek Achim in das Rathaus der
Stadt Achim",,2015,,"855.295,55"
Stadt Achim,"Neugestaltung Parkplatz an der Langenstraße mit angrenzendem
Spielbereich",,2015,,"102.106,94"
Stadt Achim,"Bauliche Maßnahmen zur Reduzierung der Lärmemission am
Jugendhaus/Dröönland, Langenstr. 1",,2015,,"74.329,72"
Stadt Achim,"Beratungsleistung für den ""Energieoptimierten Gewerbepark 'Achim-
West'"" - Gewerbepark am Schnittpunkt von A1 und A27",,2016,,"28.500,50"
Stadt Bad Bevensen,Städtebaulicher Wettbewerb zur Vorbereitung d Maßnahme 11 (ISEK),,2009,,"43.140,00"
Stadt Bad Bevensen,"Gestaltung öffentlicher Raum: Lüneburger Str. - Kirchplatz -
Brückenstr. - Kirchenstr.",,2011,,"1.271.187,90"
Stadt Bad Bevensen,Verbesserung der touristischen Infrastruktur im Bereich des Kurparks,,2014,,"1.727.124,77"
Stadt Bad Bevensen,"Integratives freiraumplanerisches Konzept für den Kurpark und den
Talraum der Ilmenau",,2014,,"663.997,81"
Stadt Bergen,"Untersuchung zu Möglichkeiten zur Verknüpfung der Gedenkstätte
Bergen-Belsen",,2011,,"34.986,00"
Stadt Bergen,"Planung für die Einzelmaßnahmen 2.1, 2.2, 2.3 und 7.5",,2011,,"61.938,00"
Stadt Bergen,"Deichend - Neugestaltung der Gesamtfläche im Bereich
Marktplatz/Rathaus",,2013,,"183.890,58"
Stadt Bergen,"Fußweg vom ""Volksbank-Parkplatz"" zur B3-Kreuzung",,2012,,"13.957,90"
Stadt Bergen,"Kirchgasse - Neugestaltung der Fußwege/Grünflächen im westlichen
Kreuzungsbereich",,2012,,"25.247,03"
Stadt Bergen,"Stadtbücherei - Gestaltung der Außenanlagen und Aufwertung der
Anbindung",,2012,,"15.232,02"
Stadt Bergen,"Gestalterische Aufwertung der Freiflächen am Museum Römstedthaus
und Neugestaltung der Straße ""Am Museum""",,2012,,"160.767,74"
Stadt Bergen,"Neugestaltung der Bundesstraße 3 im Bereich Marktplatz -
Verkehrsinsel, Fußgängerüberweg und Heckenabschirmung",,2013,,"124.926,97"
Stadt Bergen,"Neugestaltung und Aufwertung des Friedensplatzes und des
Kirchengeländes",,2013,,"543.764,14"
Stadt Bergen,"Attraktivierung der zentralen ""Einkaufsmeile Celler Straße""",,2015,,"434.071,66"
Stadt Bleckede,"Neubau des Elbedeiches in der Stadt Bleckede, Ortsteil Alt
Wendischthun",,2010,,"6.000.000,00"
Stadt Bleckede,"Errichtung eines Elbe-Aquariums und einer Biberfreianlage am
Informationszentrum für das Biosphärenreservat Nds. Elbtalaue",,2012,,"1.336.468,00"
Stadt Bleckede,"Hochwasserschutz für die Ortslage Walmsburg, Stadt Bleckede",,2013,,"1.442.398,53"
Stadt Bremervörde,"Attraktivierung des Natur- und Erlebnisparks Bremervörde sowie
Neubau eines zentralen Gebäudes im Bereich der ""Welt der Sinne""",,2015,,"561.796,38"
Stadt Buchholz in der Nordheide,"Schmutzwasserkanalbau Dibbersen, 1.Baubschnitt",,2010,,"1.270.299,82"
Stadt Buchholz in der Nordheide,"Schmutzwasserkanalbau Dibbersen in vier Bauabschnitten Hier: 2.
Bauabschnitt 2010",,2011,,"1.220.000,00"
Stadt Buchholz in der Nordheide,"Schmutzwasserkanalbau Dibbersen in fünf Bauabschnitten, 3.
Bauabschnitt 2011",,2012,,"399.334,38"
Stadt Buchholz in der Nordheide,"Schmutzwasserentsorgung in Dibbersen und Dangersen, 4.
Bauabschnitt",,2014,,"363.107,83"
Stadt Buxtehude,"Neubau ""Stieglitzhaus"" als zentrale Einrichtung",,2012,,"2.735.129,32"
Stadt Buxtehude,"Auf den Spuren von Weidenröschen und Wachtelkönig: Wanderwege
rund um Buxtehude",,2015,,"414.940,75"
Stadt Buxtehude,Umgestaltung Bereich Nahversorgungszentrum am Torfweg,,2015,,"836.671,68"
Stadt Buxtehude,"Regionaler touristischer Masterplan und Entwicklung
wassertouristischer Infrastruktur",,2015,,"43.995,00"
Stadt Celle,"Rückbau und Entsorgung des Betriebsgebäudes der ehememaligen
Furtex GmbH",,2010,,"485.730,60"
Stadt Celle,Koordinierungsstelle Frauen und Wirtschaft,,2009,,"81.134,23"
Stadt Celle,Modernisierung der Dauerausstellung Bomann-Museum,,2015,,"2.984.732,88"
Stadt Celle,"Koordinierungsstelle Frauen und Wirtschaft von Stadt und Landkreis
Celle",,2010,,"134.859,41"
Stadt Celle,"Hochwasserschutz in der Region Celle - 2. Planfeststellungs- abschnitt
von der Fuhsemündung bis zur Allerinsel -",,2015,,"3.755.334,00"
Stadt Celle,Modernisierung Schlosstheater Celle,,2015,,"6.444.410,63"
Stadt Celle,"Koordinierungsstelle Frauen und Wirtschaft von Stadt und Landkreis
Celle",,2012,,"125.233,95"
Stadt Celle,Kooperationsnetzwerk / Clustermanagement GeoEnergy Celle,,2014,,"657.995,01"
Stadt Celle,"Koordinierungsstelle Frauen und Wirtschaft von Stadt und Landkreis
Celle",,2012,,"126.415,25"
Stadt Celle,"Koordinierungsstelle Frauen und Wirtschaft von Stadt und Landkreis
Celle",,2013,,"120.320,58"
Stadt Celle,"Koordinierungsstelle Frauen und Wirtschaft von Stadt und Landkreis
Celle",,2014,,"122.140,31"
Stadt Celle,"Koordinierungsstelle Frauen und Wirtschaft von Stadt und Landkreis
Celle",,2015,,"206.079,84"
Stadt Celle,"Umsetzung von Hochwasserschutzmaßnahmen nach dem
Planfeststellungsbeschluss für den 3. Planfesstellungsabschnitt -
Allerinsel -",,2015,,"888.400,00"
Stadt Cuxhaven,Erstellung einer Infobroschüre Cuxhavener Küstenheiden,,2009,,"11.970,17"
Stadt Cuxhaven,"Museum ""Windstärke 10"" Cuxhaven",,2014,,"6.609.247,21"
Stadt Cuxhaven,Erweiterung des Nationalpark-Zentrums Cuxhaven,,2009,,"109.684,47"
Stadt Cuxhaven,Umgestaltung Schillerstraße,,2012,,"444.942,60"
Stadt Cuxhaven,Wettbewerb Ritzebütteler Marktplatz,,2011,,"44.882,50"
Stadt Cuxhaven,Ausbau des Lotsenganges,,2011,,"166.610,22"
Stadt Cuxhaven,Ausbau Parkplatz Marienstraße u kleiner Schillerplatz,,2011,,"232.406,62"
Stadt Cuxhaven,"Umgestaltung Lehfeldstr. u.-Platz, Lappestr. u.-Platz",,2012,,"1.146.352,98"
Stadt Cuxhaven,"Geocaching ""CuXnatur""",,2013,,"14.490,16"
Stadt Cuxhaven,Umgestaltung Alter Deichweg und Am Slippen,,2013,,"400.714,24"
Stadt Cuxhaven,Umbau Ritzebütteler Marktplatz,,2015,,"1.846.564,39"
Stadt Cuxhaven,Umgestaltung Schillerplatz,,2014,,"401.760,00"
Stadt Cuxhaven,"Neubau des UNESCO-Weltnaturerbe Wattenmeer-Besucherzentrums
Cuxhaven (WattBZ)",,2015,,"3.046.945,26"
Stadt Cuxhaven,Landschaftspark Altenbruch - Aussichtsplattform und Steganlage,,2015,,"214.267,39"
Stadt Cuxhaven,"Umgestaltung ""Grüner Weg""",,2015,,"98.671,94"
Stadt Cuxhaven,Umgestaltung Marquard-Schreye-Straße,,2015,,"240.041,38"
Stadt Dannenberg (Elbe),"Änderung B-Plan ""Ratswiesen""",,2009,,"13.764,74"
Stadt Dannenberg (Elbe),"Sanierung, Umbau u. NeugestaltungJugendzentrum",,2011,,"1.287.149,21"
Stadt Dannenberg (Elbe),"Arkade Schmidt, Verbreiterung des Fußweges (Marschtorstr. 49)",,2011,,"77.000,00"
Stadt Dannenberg (Elbe),Modellprojekt Ostbahnhof Dannenberg (Elbe),,2013,,"1.036.213,33"
Stadt Dannenberg (Elbe),Ausbau des Vorplatzes Ostbahnhof in Dannenberg (Elbe),,2015,,"739.431,91"
Stadt Hemmoor,Entwicklung/Ausbau Otto-Peschel-Str.,,2012,,"418.390,23"
Stadt Hemmoor,Entwicklung/Ausbau der Zentrumstraße,,2013,,"731.613,64"
Stadt Hemmoor,Gemeinschaftsmaßnahme Umbau OD Basbeck-Hemmoor/B73,,2015,,"301.308,46"
Stadt Hemmoor,Gestaltung Rathausplatz,,2015,,"807.048,65"
Stadt Hemmoor,"Gestaltung Rathausplatz (Bauabschnitt 2, 3 und 4)",,2015,,"81.435,08"
Stadt Hitzacker,Natur erleben - Kultur begreifen,,2009,,"49.947,10"
Stadt Hitzacker,"Steigerung der Aufenthaltsqualität auf der Stadtinsel, Promenade",,2011,,"41.206,16"
Stadt Hitzacker,Teilneufassung und Erweiterung des Bebauungsplanes Hitzacker-See,,2014,,"66.383,44"
Stadt Hitzacker,"48. Änderung F-Plan (""Schweineweide"")",,2013,,"20.026,11"
Stadt Hitzacker,Zwei Einbäume für das Archäologische Zentrum Hitzacker,,2012,,"11.100,00"
Stadt Hitzacker,Aufwertung des Weinberges in Hitzacker (Elbe),,2013,,"443.219,07"
Stadt Hitzacker,"Aufhöhung und Neugestaltung des Parkplatzes ""Bleichwiese""",,2013,,"587.258,06"
Stadt Hitzacker,Fähranleger Bitter,,2014,,"231.000,00"
Stadt Hitzacker,Jugendfreizeitanlage Mehrzweckplatz in Hitzacker (Elbe),,2015,,"35.834,47"
Stadt Lüchow,"Vorplanung zur Verbesserung der Verkehrserschließung
Innenstadt",,2011,,"33.834,69"
Stadt Lüchow,Ausbau Berthold-Roggan-Ring,,2012,,"310.714,63"
Stadt Lüchow,Ausbau Tarmitzer Straße,,2011,,"163.084,32"
Stadt Lüchow,Ausbau Drawehner Straße und Lange Straße,,2013,,"1.609.874,93"
Stadt Lüchow,Ausbau Kreiselverkehr Drawehner Straße/Lange Straße,,2012,,"420.427,48"
Stadt Lüchow,Ausbau Wiesengrund,,2013,,"297.941,73"
Stadt Lüchow,Umbau Bergstraße,,2014,,"130.919,00"
Stadt Lüchow,Energetische Sanierung des Hallenbades Lüchow,,2014,,"2.844.041,92"
Stadt Lüchow,Erweiterung des Industriegebietes Dickstätte,,2013,,"1.644.497,56"
Stadt Lüchow,Sanierung des Amtsturmes,,2015,,"535.049,20"
Stadt Osterholz-Scharmbeck,Erstellung Bebauungsplan für Quartier Am Barkhof,,2011,,"32.927,15"
Stadt Osterholz-Scharmbeck,"Entwicklung des Quartiers ""Am Barkhof""",,2014,,"1.013.303,47"
Stadt Osterholz-Scharmbeck,Neubau Mensa- und Medienzentrum,,2014,,"1.621.312,99"
Stadt Osterholz-Scharmbeck,"Vorbereitung des Wachstumsprojektes ""Green Tech Osterholz""",,2012,,"38.964,06"
Stadt Osterholz-Scharmbeck,Umlegung des Scharmbecker Baches,2011,,"109.760,00",
Stadt Osterholz-Scharmbeck,Neugestaltung der öffentlichen Freifläche Campus,,2015,,"609.167,79"
Stadt Osterholz-Scharmbeck,"Umnutzung und Sanierung des Riegelgebäudes der ehemaligen
Haupt- und Realschule zum Bildungshaus im Campus",,2015,,"1.229.390,19"
Stadt Osterholz-Scharmbeck,"barrierefreie Zuwegung mit Treppenanlage zwischen zentralem Platz
(Campus) und Bildungshaus und Lernhaus",,2015,,"131.644,52"
Stadt Otterndorf,Gästezentrum und Funhall,,2010,,"1.276.399,28"
Stadt Otterndorf,"Barrierefreier Ausbau öffentl. WC-Anlage (""Hinter der Apotheke"")",,2011,,"72.025,00"
Stadt Otterndorf,"Rückbau der Ortsdurchfahrt (B73), 1. Bauabschnitt",,2014,,"818.840,60"
Stadt Otterndorf,Errichtung von touristischen Erlebnisstationen,,2015,,"240.000,00"
Stadt Otterndorf,Ortsdurchfahrt Otterndorf 2. BA,,2015,,"886.736,57"
Stadt Otterndorf,"Erlebnisorientierte und qualitätsverbessernde Erweiterung der
""Seelandhallen"" um einen angegliederten Pavillon",,2015,,"350.000,00"
Stadt Otterndorf,"Aufbau einer breitbandigen elektron. Kommunikation im Bereich Gew.-
Misch- u. Wohngebiete im Osten der Stadt Otterndorf",,2015,,"113.315,00"
Stadt Otterndorf,"Aufbau einer breitbandigen elektr. Kommunikation im Bereich der
Gewerbe-, Misch- und Wohngebiete in der Stadt Otterndorf",,2015,,"68.535,00"
Stadt Otterndorf,"Rückbau Ortsdurchfahrt Otterndorf (B73) und Inwertsetzung öff.
Straßenraum, 3. Bauabschnitt",,2015,,"236.856,57"
Stadt Schneverdingen,Entwurfsplanung innerstädtischer Straßen,,2011,,"35.000,00"
Stadt Schneverdingen,Umgestaltung der Friedenstraße und Kirchstraße,,2011,,"624.526,06"
Stadt Schneverdingen,Umgestaltung Schulstraße,,2012,,"141.802,32"
Stadt Schneverdingen,Umgestaltung Bergstraße,,2012,,"298.224,40"
Stadt Schneverdingen,Umgestaltung des Bahnhofsvorplatzes,,2012,,"200.118,85"
Stadt Schneverdingen,"Umgestaltung Güterumschlagsflächen in Fuß- und Radweg mit
Grünflächen",,2013,,"120.927,93"
Stadt Schneverdingen,"Schulstrasse/Rathauspassage Schaffung Infrastruktur für
Veranstaltungen",,2014,,"43.399,30"
Stadt Schneverdingen,Ost-West Radverkehrsspange,,2015,,"88.589,86"
Stadt Schneverdingen,Herstellung radfahrerfreundlicher u. barrierefreier Einmündungen,,2015,,"67.040,78"
Stadt Schneverdingen,Historische Grünfläche Am Brink,,2015,,"45.175,12"
Stadt Schneverdingen,Umgestaltung des Alten Friedhofs zur öffentlichen Parkanlage,,2015,,"73.233,25"
Stadt Soltau,Illumination der Soltauer Innenstadt,,2009,,"29.441,56"
Stadt Soltau,Umgestaltung Georges-Lemoine-Platz,,2011,,"279.205,95"
Stadt Soltau,Umwandlung des Böhmeparks in einen Familienpark,,2012,,"233.858,07"
Stadt Soltau,Barrierefreier Umbau des Spielmuseums in Soltau,,2015,,"651.309,86"
Stadt Soltau,"Anpassung des Fabrikhofes der Firma GA Röders AG an die
Marktstraße",,2015,,"50.400,00"
Stadt Uelzen,"Einbau von Toilettenräumen in das ""Alte Rathaus""",,2009,,"47.150,00"
Stadt Uelzen,Ausbau der Pastorenstraße,,2011,,"36.701,14"
Stadt Uelzen,Ausbau des Parkplatzes an der Fritz-Röver-Straße,,2011,,"47.211,53"
Stadt Uelzen,Grüne Marktstraßen,,2012,,"75.807,99"
Stadt Uelzen,"Illumination Stadtgraben am Neuen Rathaus, am Alten Amtsgericht
und an der Stadtmauer",,2011,,"109.339,14"
Stadt Uelzen,Umbau und Nutzungsänderung Altes Rathaus,,2015,,"3.044.192,91"
Stadt Uelzen,Mehrgenerationenspielplatz Stelzer Brunnen,,2011,,"78.468,60"
Stadt Uelzen,Neubau eines Aufzuges zum Parkhaus am ZOB,,2013,,"44.956,27"
Stadt Uelzen,Umgestaltung Marktstraßen,2012,,"226.384,67",
Stadt Uelzen,"Thermisch-Chemische Klärschlammdesintegration mit MAP-Fällung
auf der Kläranlage Uelzen",,2015,,"428.400,00"
Stadt Uelzen,Umgestaltung des Schnellenmarktes,2013,,"144.307,54",
Stadt Uelzen,Umgestaltung Bahnhofstraße,,2015,,"172.071,04"
Stadt Verden,Bau eines Aussichtspunktes an der Allerniederung,,2013,,"64.551,32"
Stadt Verden,energetische Sanierung Aller-Weser-Halle,,2012,,"3.666.335,00"
Stadt Verden,"Verbindung Große Straße (Rathausplatz) / Reeperbahn: Neubau Carl-
Hatzky-Weg",,2011,,"82.104,25"
Stadt Verden,Parkplatz Nordbrücke mit Fortführung des Alleruferweges,,2011,,"258.403,05"
Stadt Verden,Neubau Kreisverkehr am Stadteingang Nordertor,,2013,,"673.764,62"
