Begunstigde,Titel van het project (naam van de concrete actie),Titel van het project in het Engels,Fonds,Autoriteit,Samenvatting,Website project,EU-subsidie in Euro's,Overige publieke financiering,Overige private financiering,Totale kosten in Euro's,Medefinancieringspercentage van de Unie (per prioritaire as),Datum van laatste bijwerking,Begindatum,Einddatum,Thematische doelstelling
OTIB,Sleutel met ons aan je toekomst,,ESF,,"Het Regionaal Opleidingsbedrijf Installatietechniek (ROI) verzorgt sectorbreed praktijkonderwijs voor jongeren die in de installatietechniek aan het werk willen. Dat gebeurt binnen BBL-trajecten (Beroepsbegeleidende Leerweg), waarbij het streven is iedereen tot minimaal mbo-2-niveau te scholen. Ook sociale vaardigheden worden getraind. Als de leerlingen voldoende capaciteiten hebben voor vervolgonderwijs dan moedigt het ROI dat aan. Het ESF subsidieert al deze activiteiten.",,175.710,,,175.710,100,11.02.2016,01.11.2009,31.10.2010,
Stichting Fonds Arbeidsmarktbeleid Branche Verpleeg- en Verzorgingshuizen,Saffier op koers,,ESF,,"Saffier wil goede en vernieuwende zorg bieden en moet daarom voldoende gekwalificeerde medewerkers werven, opleiden en behouden. Met subsidie van het ESF biedt Saffier opleidingsmogelijkheden aan huidige en nieuwe werknemers zodat zij hun functie optimaal vervullen.",,106.094,,,106.094,100,11.02.2016,03.03.2009,02.03.2010,
St. Opleidingsfonds Vakopleiding Procesindustrie,Vredestein Productie opleidingen '09-'10,,ESF,,"De bandenindustrie blijft zich ontwikkelen. Vredestein Banden BV heeft daarom behoefte aan goed opgeleid personeel. Het bedrijf gebruikt ESF-subsidie om vaste en nieuwe medewerkers te scholen tot volwaardig mechanisch operator A. Een heftruckcertificaat is eventueel ter aanvulling. Medewerkers van de verschillende productieafdelingen, logistiek en technische dienst komen in aanmerking voor de opleiding.",,82.754,,,82.754,100,11.02.2016,24.08.2009,23.08.2010,
Stichting Arbeidsomstandigheden en Spoorwegveiligheid,Opleidingsprogramma VolkerRail 2009-2010,,ESF,,"VolkerRail Nederland B.V heeft een scholingsprogramma opgericht voor het verhogen en verdiepen van het opleidingsniveau van het personeel. Het bedrijf ontvangt daarvoor ESF-subsidie. Met het programma wil VolkerRail Nederland BV de inzetbaarheid van de medewerkers vergroten en hun vakbekwaamheid verbeteren. Opleidingen zijn er op het gebied van railinfrastructuur, veiligheid, persoonlijke vaardigheden en computervaardigheden.",,919.677,,,919.677,100,11.02.2016,01.07.2009,30.06.2010,
Stichting Arbeidsmarkt en Opleiding in de Metalektro (A+O),Anton Tijdink 2009,,ESF,,De Stichting Bedrijfstakschool Anton Tijdink is een regionaal opleidingscentrum voor de metaalbranche. Met ESF-subsidie krijgen leerlingen een BBL-traject (Beroepsbegeleidende Leerweg) met baangarantie aangeboden. De opleiding is een combinatie van theorie en praktijk. Tachtig bedrijven uit de sector werken hieraan mee.,,71.105,,,71.105,100,11.02.2016,03.03.2009,02.03.2010,
Stichting Fonds Arbeidsmarktbeleid Branche Verpleeg- en Verzorgingshuizen,Optimaal leren op de werkplek,,ESF,,"Het aantal ouderen neemt toe in Nederland. Voor het verlenen van diensten op het gebied van zorg, wonen en welzijn heeft BrabantZorg meer gekwalificeerde medewerkers nodig. BrabantZorg investeert daarom in het opleiden van leerlingen en het uitbreiden van het aantal leerlingen. Ze krijgt hiervoor ESF-subsidie. Nieuwe en huidige medewerkers behalen een opleiding tot en met mbo-4-niveau en zijn vervolgens beter inzetbaar.",,133.513,,,133.513,100,11.02.2016,01.09.2009,31.08.2010,
Stichting Beheer Collectieve Middelen (SBCM),ESF scholingsprogramma Betho Goes 2009-2010,,ESF,,"Betho voert met steun van het ESF een actief opleidingsbeleid uit voor alle medewerkers met een indicatie voor Sociale Werkvoorziening, hun leidinggevenden en stafmedewerkers. Dat is belangrijk voor de inzetbaarheid van de medewerkers en voor de continu��teit van de organisatie. Het programma voorziet in om- en bijscholing van alle ge��nteresseerde werknemers en in opleiding van hun toekomstige collegas. Deelnemers krijgen een opleiding tot hooguit mbo-4-niveau.",,53.948,,,53.948,100,11.02.2016,01.09.2009,31.08.2010,
Stichting Arbeidsmarkt en Opleiding in de Metalektro (A+O),De Vries Scheepsbouw Makkum 2009,,ESF,,In het ESF-project van Koninklijke De Vries Scheepsbouw Makkum BV mogen de medewerkers een opleiding volgen. Het bedrijf wil daarmee de aanwezige (vak)kennis en ervaring behouden of vergroten. De medewerkers verbeteren hun positie op de arbeidsmarkt en verbreden hun inzetbaarheid.,,104.960,,,104.960,100,11.02.2016,01.04.2009,31.03.2010,
Stichting Arbeidsmarkt Ziekenhuizen,Opleidingsplan Gelre Ziekenhuis ESF 2009,,ESF,,"Ziekenhuis Gelre is een snel wijzigende organisatie waar medewerkers hun vakkennis op peil moeten houden. Met steun van het ESF zijn drie opleidingstrajecten op poten gezet. Zo zijn er vakopleidingen verpleegkunde: opleiding van leerling-verpleegkundigen, verkorte opleiding voor ervaren medewerkers en verschillende specialisaties. Daarnaast geeft Gelre bijscholing voor ouderen: opleiding tot zorgco̦rdinator, werkbegeleider, en oncologieverpleegkundige. Ook is er aandacht voor samenwerking en effectiviteit: trainingen communicatie, teambuilding, omgaan met agressie etc.",,265.520,,,265.520,100,11.02.2016,01.09.2009,31.08.2010,
Stichting Beheer Collectieve Middelen (SBCM),Opleidingen 2009-2010 DCW Enschede,,ESF,,"De DCW wil het beste uit mensen halen en ontwikkelt zich als leerwerkbedrijf voor SW-medewerkers en andere personen met een afstand tot de arbeidsmarkt. Het bedrijf verzorgt opleidingen, cursussen en trainingen tot en met mbo-4-niveau bestemt voor medewerkers met een SW-indicatie, leiding, coaches en staf. Ook begeleidt DCW SW-ge��ndiceerden naar een zo regulier mogelijke arbeidsplek.",,180.065,,,180.065,100,11.02.2016,01.08.2009,31.07.2010,
Stichting FAOT,ZZG zorggroep ESF Thuiszorg,,ESF,,ZZG zorggroep besteedt veel aandacht aan het opleiden van medewerkers. Herintreders en nieuwe werknemers stromen in via de Beroepsbegeleidende Leerweg (BBL). Huidige medewerkers krijgen bijscholing zodat ze flexibeler inzetbaar zijn binnen de organisatie. Op deze manier functioneert ZZG zorggroep beter en professioneler.,,58.216,,,58.216,100,11.02.2016,01.11.2009,31.10.2010,
OTIB,Met ESF ��̩̩n niveau hoger��,,ESF,,"Steeds minder vmboers maken hun school af. Hierdoor krijgt de sector installatietechniek meer en meer te maken met onvoldoende gekwalificeerd personeel. Om dat te verhelpen start de sector met steun van het ESF een opleidingsprogramma. Dat is in het belang van de bedrijfstak en van de betrokken medewerkers, die daarmee hun maatschappelijke weerbaarheid verhogen. Deelnemers worden via BBL (Beroepsbegeleidende Leerweg) op een niveau van startkwalificatie (mbo-2) of hoger gebracht, tot maximaal mbo-4. Zij krijgen daarnaast training in sociale vaardigheden aangeboden. Er is speciale aandacht voor werklozen, gedeeltelijk arbeidsgeschikten, omscholers uit andere branches en vrouwen en herintreedsters.",,134.387,,,134.387,100,11.02.2016,01.10.2009,30.09.2010,
Stichting Fonds Arbeidsmarktbeleid Branche Verpleeg- en Verzorgingshuizen,Inspirerend leren binnen ViVa! Zorggroep,,ESF,,"De eisen die de gezondheidszorg aan haar medewerkers stelt, worden steeds hoger. Deze veranderingen vragen om goed opgeleid personeel. Met behulp van ESF-gelden mag het personeel van de ViVa! Zorggroep een opleiding volgen. Hiermee vergroten de deelnemers hun inzetbaarheid en hun kansen op werk. Bovendien vervullen ze hun functie beter. Nieuwe medewerkers krijgen de kans om in te stromen via lerend werken.",,139.634,,,139.634,100,11.02.2016,01.09.2009,31.08.2010,
OTIB,Scholing medewerkers Geas Energiewacht �� 2009,,ESF,,"Geas Energiewacht biedt onderhoud, service, lease, huur en koop van bijvoorbeeld warmwaterapparatuur en voert veiligheidskeuringen uit. Het bedrijf wil de kennis, vaardigheden en competenties van haar medewerkers verhogen en heeft daarvoor een ESF-project opgezet. Geas Energiewacht stimuleert de werknemers een opleiding te volgen. Vervolgens vervullen zij hun functie beter, wat goed is voor de kwaliteit van de aangeboden diensten. Ook krijgt het personeel meer doorgroeimogelijkheden.",,72.989,,,72.989,100,11.02.2016,01.04.2009,31.03.2010,
St. Opleidingsfonds Vakopleiding Procesindustrie,Miracles of Training 2009-2010,,ESF,,"Du Pont is een van de grootste chemieconcerns ter wereld. De producten van het bedrijf worden toegepast in kleding, voedingsmiddelen, gezondheidszorg, woningen en constructie, electronica en transport. DuPont hecht veel waarde aan het blijvend opleiden van haar medewerkers zodat ze beter inzetbaar zijn. Het concern krijgt hiervoor subsidie van het ESF. Het scholingsaanbod richt zich op de noodzakelijke beroepsvaardigheden en bedrijfsveiligheid.",,293.970,,,293.970,100,11.02.2016,15.03.2009,14.03.2010,
Stichting Arbeidsmarkt Gehandicaptenzorg,Op expeditie naar vernieuwing (2),,ESF,,"De vraag naar geschoolde zorgverleners neemt sterk toe, ook bij 's Heeren Loo West Nederland. Daarom is met steun van het ESF een project gestart om medewerkers tot gekwalificeerde beroepskrachten in de gehandicaptenzorg op te leiden. Alleen als de instelling goed gekwalificeerd personeel weet te werven en te behouden, kan zij haar zorgtaken blijven vervullen.",,122.897,,,122.897,100,11.02.2016,01.11.2009,31.10.2010,
Stichting Arbeidsmarkt en Opleiding in de Metalektro (A+O),Siemens 2009,,ESF,,Siemens wil de competenties van haar medewerkers in lijn brengen met de gewenste ontwikkeling van de onderneming. Het bedrijf kijkt naar wat de medewerker kan en wil en stemt dat af met huidige en mogelijke toekomstige functies. Met behulp van ESF-gelden verzorgt de Siemens Academy opleidingen waarmee de medewerkers hun kennis en vaardigheden ontwikkelen. Daarnaast zijn er opleidingen voor bijvoorbeeld competentiemanagement en ondernemerschap.,,322.835,,,322.835,100,11.02.2016,01.05.2009,30.04.2010,
Stichting Fonds Arbeidsmarktbeleid Branche Verpleeg- en Verzorgingshuizen,Pieter van Foreest: kwalificaties in de lift,,ESF,,Goede zorg en dienstverlening is belangrijk en hangt af van hoe medewerkers hun functie uitoefenen. Zorgpersoneel moet daarom goed op de hoogte zijn van de actuele ontwikkelingen binnen het vakgebied. Met behulp van ESF-subsidie mag het personeel van Pieter van Foreest een opleiding volgen. Op deze manier leren de medewerkers optimaal te functioneren.,,286.685,,,286.685,100,11.02.2016,01.09.2009,31.08.2010,
Stichting Arbeidsmarkt en Opleiding in de Metalektro (A+O),Nedcar 2009,,ESF,,Werknemers van Nedcar krijgen de mogelijkheid interne trainingen en vakopleidingen te volgen. Daarmee zijn ze breder inzetbaar en verhogen zij hun perspectief op de arbeidsmarkt. Voor dit project ontvangt Nedcar subsidie van het ESF.,,462.640,,,462.640,100,11.02.2016,01.04.2009,31.03.2010,
Stichting Fonds Arbeidsmarktbeleid Branche Verpleeg- en Verzorgingshuizen,Deskundigheidsbevordering en scholingsproject,,ESF,,"Zorgcentra Pantein streeft naar een hoge kwaliteit van zorgverlening. Goed opgeleid personeel is daarbij onmisbaar. Het is dus belangrijk dat de medewerkers hun kennis en vaardigheden blijven ontwikkelen. Met behulp van ESF-gelden biedt de organisatie in- en externe opleidingen, cursussen, intervisie en themadagen. Het leerproces wordt op de werkvloer ondersteund door begeleiding en coaching van de leidinggevende.",,186.438,,,186.438,100,11.02.2016,01.09.2009,31.08.2010,
Stichting Fonds Arbeidsmarktbeleid Branche Verpleeg- en Verzorgingshuizen,Leren en Werken bij Trivium MeulenbeltZorg,,ESF,,"TriviumMeulenbeltZorg levert huishoudelijke zorg, persoonlijke verzorging, verpleging, begeleiding en behandeling bij mensen thuis en in verzorgings- en verpleeghuizen. De organisatie wil dat iedere werknemer zich optimaal ontwikkelt. Ze verzorgt hiervoor opleidingen met behulp van ESF-subsidie. De kwaliteit van de dienstverlening gaat hierdoor omhoog en het personeel heeft meer doorgroeimogelijkheden.",,144.352,,,144.352,100,11.02.2016,01.08.2009,31.07.2010,
Stichting Beheer Collectieve Middelen (SBCM),!GO bedrijfsaanvraag 2009,,ESF,,"!Go heeft als doel zoveel mogelijk medewerkers succesvol aan een baan te helpen. Het bedrijf verzorgt hiervoor training en scholing aan medewerkers met een SW-indicatie, leiding en staf. De SW-medewerkers zijn vervolgens beter inzetbaar, hebben meer doorstromingsmogelijkheden en vergroten hun kansen op werk.",,168.213,,,168.213,100,11.02.2016,01.10.2009,30.09.2010,
A+O fonds Rijk,Integrale Beroepsvaardigheid Training KLPD,,ESF,,"Politieagenten komen tijdens hun werk soms in een positie waarin ze geweld mogen gebruiken. Ze zijn daarom uitgerust met diverse geweldsmiddelen. Ook moeten ze aanhoudings- en zelfverdedigingstactieken kunnen toepassen. Hiervoor is de regeling Toetsing Geweldsbeheersing Politie (RTGP) opgesteld. De Nederlandse politie stelt (wettelijke) minimumeisen aan agenten. Om deze te handhaven, krijgen politiebeambten een integrale beroepsvaardigheidstraining. Als een medewerker de toetsen niet haalt, mag hij zijn functie niet meer bekleden. Voor uitoefening van specifieke functies volgen de agenten aanvullende trainingen. De Nederlandse politie leidt haar personeel op met behulp van ESF-subsidie.",,1.888.822,,,1.888.822,100,11.02.2016,01.11.2009,31.10.2010,
O&amp;O fonds voor de Bouwnijverheid,Opleiden Bouwsector 2009-2010,,ESF,,"Veel medewerkers in de bouwsector ontbreekt het aan voldoende startkwalificatie, vooral ouderen. Voortdurende bijscholing is ook noodzakelijk, want wettelijk eisen en technische mogelijkheden veranderen voortdurend. Bouwvakkers kunnen zich met steun van het ESF laten om- of bijscholen. Ook het behalen van een ervaringscertificaat behoort tot de mogelijkheden. Meedoen aan het scholingstraject verbetert de positie van de werknemers op de arbeidsmarkt, binnen of buiten de sector.",,788.000,,,788.000,100,11.02.2016,01.10.2009,30.09.2010,
Stichting Fonds Arbeidsmarktbeleid Branche Verpleeg- en Verzorgingshuizen,ZorgBalans op koers,,ESF,,"Zorgbalans leidt diverse groepen medewerkers op tot gediplomeerde beroepskrachten (maximaal mbo-4-niveau) in de verpleging en verzorgingssector. Dat gebeurt met steun van het ESF. De organisatie is dat verplicht aan de maatschappij en aan zichzelf. De zorgvraag wordt namelijk steeds complexer en om daaraan te voldoen, is goed geschoold personeel nodig.",,166.147,,,166.147,100,11.02.2016,01.09.2009,31.08.2010,
Stichting Arbeidsmarkt en Opleiding in de Metalektro (A+O),Rollecate 2009,,ESF,,Nieuwe en huidige medewerkers van Rollecate en Stork Food Systems spijkeren met steun van het ESF hun vakkennis bij. De medewerkers krijgen een op maat gesneden opleidingsplan. Ze lopen interne stages of krijgen professionele begeleiding op de werkvloer. Het niveau van de bijscholing is mbo-2 en 3. De werknemers vervult zijn functie beter en kan makkelijker aan nieuw werk komen.,,346.723,,,346.723,100,11.02.2016,01.09.2009,31.08.2010,
Stichting Beheer Collectieve Middelen (SBCM),Scholing van werkenden bij Wezo 2009-2010,,ESF,,"Bij SW-bedrijf Wezo werken mensen met een lichamelijke, verstandelijke, of psychische beperking. Door deze beperkingen hebben zij een afstand tot de reguliere arbeidsmarkt. Wezo kijkt naar de talenten van iedere werknemer, biedt ze de mogelijkheid zich te ontwikkelen en begeleidt ze naar een passende baan. De werknemers van Wezo volgen met behulp van ESF-subsidie opleidingen, trainingen en cursussen en sluiten die af met een diploma of certificaat. Ook voert het bedrijf EVC-trajecten (Erkenning van Verworven Competenties) uit.",,120.739,,,120.739,100,11.02.2016,01.09.2009,31.08.2010,
OTIB,Ontwikkeling in Bedrijf - Strukton Worksphere,,ESF,,Technologische ontwikkelingen en marktontwikkelingen in de installatiebranche vragen om goed opgeleid personeel. Strukton Worksphere biedt met behulp van ESF-gelden onderwijs aan haar medewerkers. De werknemers ontwikkelen zo hun vakkennis en communicatieve vaardigheden en zijn vervolgens breder inzetbaar.,,344.797,,,344.797,100,11.02.2016,01.06.2009,31.05.2010,
St. Opleidingsfonds Vakopleiding Procesindustrie,Extra Kwalificering Vakmanschap Procesindustrie 09,,ESF,,"Bedrijven in de procesindustrie zijn hard getroffen door de economische crisis. Daarnaast kampt de industrie met vergrijzing en uittreding en met concurrentie uit lagelonenlanden. Het is daarom belangrijk om goed opgeleide werknemers te hebben en te behouden. Zij maken meer kans op de arbeidsmarkt en zijn sneller en beter inzetbaar, eventueel ook in andere sectoren. Met behulp van ESF-subsidie verzorgt de branche operatortrainingen, veiligheidsopleidingen en EVCtrajecten (Erkenning Verworven Competenties).",,1.438.950,,,1.438.950,100,11.02.2016,01.09.2009,31.08.2010,
Stichting Arbeidsmarkt en Opleiding in de Metalektro (A+O),Zalco 2009,,ESF,,Zalco (Zeeland Aluminium Company NV) verzorgt diverse opleidingen en trainingen voor haar medewerkers met behulp van ESF-gelden. Hiermee verkrijgt het personeel de nodige kennis en vaardigheden. Ook zijn de medewerkers sneller en breder inzetbaar.,,143.391,,,143.391,100,11.02.2016,03.03.2009,02.03.2010,
Stichting Fonds Arbeidsmarktbeleid Branche Verpleeg- en Verzorgingshuizen,Talent door beweging in ontwikkeling,,ESF,,In de wereld van de zorg worden de verlangens van de cli��nt steeds complexer. Om daaraan te voldoen en om de kwaliteit van de zorg te waarborgen is goed geschoold personeel nodig. Holding OranjehaeveDe IJpelaar-Aeneas schoolt haar medewerkers dan ook bij. De organisatie voorziet zodoende tegelijkertijd in de behoefte van de medewerkers zich te ontwikkelen. Het ESF betaalt mee aan deze scholingsactiviteiten.,,106.470,,,106.470,100,11.02.2016,01.05.2009,30.04.2010,
Stichting Fonds Arbeidsmarktbeleid Branche Verpleeg- en Verzorgingshuizen,Beter zichtbaar in zorg,,ESF,,"De zorg kampt met een krappe arbeidsmarkt, een toenemende vergrijzing en veranderingen in de branche. Het opleiden en bijscholen van medewerkers is daarom belangrijk. Zo kan het Parkhuis goede zorg bieden, nu en in de toekomst. Met ESF-subsidie verzorgt de organisatie opleidingen voor verplegenden, leiding en deelnemers van de opleiding Verzorgende Individuele Gezondheidszorg/Verkort verpleegkundige.",,127.347,,,127.347,100,11.02.2016,01.06.2009,31.05.2010,
Gemeente Emmen,Re-integratie doelgroep belemmerden,,ESF,,"Met dit ESF-project in Emmen en omliggende gemeenten volgen deelnemers met een arbeidsbeperking een re-integratietraject dat hen aan een betaalde baan helpt. Voordat zij aan het traject beginnen, ondergaan zij een medische test. Het programma is maatwerk en biedt intensieve fysieke en mentale begeleiding.",,1.831.527,,,1.831.527,100,11.02.2016,01.11.2009,31.10.2010,
Stichting Beheer Collectieve Middelen (SBCM),IBN Groep BBL 2009 -2010,,ESF,,"De IBN-groep begeleidt haar medewerkers naar een beschermde baan of naar detachering. De opleidingskosten daarvoor zijn gedeeltelijk voor rekening van het ESF. Het onderwijsprogramma voorziet in opleidingen tot maximaal mbo-4-niveau en is bestemd medewerkers met een SW-indicatie, leiding en staf. Ervaren deelnemers kunnen binnen het project ook het ervaringscertificaat behalen. Uiteindelijk doen 133 werknemers mee.",,128.946,,,128.946,100,11.02.2016,01.09.2009,30.08.2010,
Stichting Sectorfonds Financiele Dienstverlening,Scholing UVIT 2009-2010 ESF,,ESF,,Met behulp van ESF-subsidie mogen medewerkers van UVIT een opleiding of training volgen. Het laagopgeleide personeel kwalificeert zich daarmee en is breed en flexibel inzetbaar binnen het bedrijf en op de arbeidsmarkt.,,312.328,,,312.328,100,11.02.2016,01.11.2009,31.10.2010,
Stichting Beheer Collectieve Middelen (SBCM),WSD Academie 2009,,ESF,,"WSD voert de Wet Sociale Werkvoorziening uit voor mensen met een arbeidshandicap in de regio Zuidoost Brabant. Daarnaast begeleidt WSD mensen die hulp nodig hebben bij het vinden en behouden van werk. Binnen de organisatie staat mensontwikkeling centraal. Opleiden is daarbij een belangrijk instrument. Dankzij de ESF-bijdrage, worden opleidingen voor medewerkers en kaderpersoneel, tot en met mbo-4-niveau, mede mogelijk gemaakt. Binnen dit specifieke project worden 130 medewerkers opgeleid naar een diploma, vari��rend van mbo-1 tot mbo-4.",,98.870,,,98.870,100,11.02.2016,01.09.2009,30.08.2010,
O&amp;O fonds voor de Bouwnijverheid,Scholing Bouw en Infra 2009-2010,,ESF,,"Met subsidie van het ESF krijgen oudere, laaggekwalificeerde of deels arbeidsongeschikte bouwvakkers nieuwe kansen. Door aan een scholingsprogramma mee te doen, houden zij hun vakkennis op peil en voldoen zij aan de wettelijke verplichte beroepseisen. Ook kunnen zij een ervaringscertificaat behalen. Veel werknemers blijven zodoende behouden voor de sector en zij vergroten hun inzetbaarheid en doorstroommogelijkheden. Maar ook volledige omscholing behoort tot de mogelijkheden.",,500.000,,,500.000,100,11.02.2016,01.11.2009,31.10.2010,
Stichting FAOT,Scholing Personeel MagentaZorg 2009-2010,,ESF,,"De zorgsector verandert. De zorg wordt complexer en het aanbod meer uitgebreid. Naast zorg is er nu ook aandacht voor wonen en welzijn. Om professionele zorg op maat te kunnen bieden, heeft MagentaZorg goed geschoold personeel nodig. De instelling besteedt daarom veel aandacht aan de loopbaan- en ontwikkelingskansen van haar medewerkers. De persoonlijke ontwikkeling van de werknemers staat daarbij centraal. MagentaZorg krijgt ondersteuning van het ESF.",,183.696,,,183.696,100,11.02.2016,01.09.2009,31.08.2010,
Stichting Fonds Arbeidsmarktbeleid Branche Verpleeg- en Verzorgingshuizen,ZZG zorggroep ESF 2009/2010 V&amp;V,,ESF,,ZZG zorggroep besteedt veel aandacht aan het opleiden van medewerkers. Herintreders en nieuwe werknemers stromen in via de Beroepsopleidende Leerweg. Huidige medewerkers krijgen bijscholing zodat ze flexibeler inzetbaar zijn binnen de organisatie. Op deze manier functioneert ZZG zorggroep beter en professioneler.,,93.492,,,93.492,100,11.02.2016,01.11.2009,31.10.2010,
Stichting Arbeidsmarkt en Opleiding in de Metalektro (A+O),W�_rtsil�_ 2009,,ESF,,De grootmetaalsector is een dynamische branche die veel veranderingen kent. De bedrijven maakten de afgelopen jaren een automatiseringsslag door en moesten voldoen aan diverse veiligheids- en kwaliteitseisen. Vernieuwing en verbetering van kennis is daarom belangrijk. W�_rtsil�_ investeert met behulp van het ESF in de scholing van haar medewerkers.,,80.024,,,80.024,100,11.02.2016,01.04.2009,31.03.2010,
Stichting Arbeidsmarkt Ziekenhuizen,Verpleegkundige Opleidingen Antonius Academie,,ESF,,De maatschappij en de bevolkingsopbouw veranderen en de medisch-technische ontwikkelingen nemen in een snel tempo toe. Daarnaast moeten ziekenhuizen inspelen op vraaggestuurde zorg. Dit alles vraagt om goed opgeleid personeel. Met het ESF-project zorgt het Sint Antonius Ziekenhuis voor scholing van medewerkers van haar ziekenhuizen. Het Sint Antonius Ziekenhuis heeft een locatie in Nieuwegein en twee in Utrecht. Het interne opleidingscentrum Antonius Academie biedt zeventien opleidingen aan de medewerkers. Ze brengen hiermee hun kennis en kunde op peil en ze krijgen meer doorstroommogelijkheden. Daarnaast zorgt de academie voor de instroom van nieuw personeel.,,416.502,,,416.502,100,11.02.2016,01.08.2009,31.07.2010,
OTIB,BBL-trajecten Heijmans Techniek en mobiliteit B.V,,ESF,,Heijmans Techniek en Mobiliteit biedt nieuwe en huidige werknemers de mogelijkheid een opleidingstraject te volgen op niveau mbo-2 of mbo-3. Ze krijgt hiervoor subsidie van het ESF. De leerlingen krijgen theorieles op een ROC in Nederland. Het praktijkdeel leren ze aan tijdens de werkzaamheden. Gediplomeerde praktijkopleiders begeleiden hen daarbij.,,38.628,,,38.628,100,11.02.2016,01.09.2009,31.08.2010,
Stichting Arbeidsmarkt en Opleiding in de Metalektro (A+O),Stork 2009,,ESF,,Nieuwe en huidige medewerkers van Stork brengen met steun van het ESF hun vakkennis op peil. Nieuwe medewerkers lopen interne stages of krijgen professionele begeleiding op de werkvloer. Huidige medewerkers krijgen onderwijs op maat. Ze vergroten daarmee hun inzetbaarheid en hun kansen op werk. Het niveau van de bijscholing loopt tot mbo-3.,,375.429,,,375.429,100,11.02.2016,01.09.2009,31.08.2010,
Stichting FAOT,Long life learning. In Europees perspectief!,,ESF,,"Ontwikkelingen binnen de verzorgings- en verpleeghuiszorg nemen in snel tempo toe. Daarnaast vragen een veranderd zorgstelsel, mondige cli��nten, en de toenemende vergrijzing om goed opgeleid personeel. Met behulp van ESF-gelden mag het zorgpersoneel een opleiding volgen. Hiermee vergroten de deelnemers hun inzetbaarheid en hun kansen op werk. Bovendien vervullen ze hun functie beter. Nieuwe medewerkers krijgen de kans om in te stromen via lerend werken. Het gaat om opleidingen tot en met mbo-4-niveau.",,78.860,,,78.860,100,11.02.2016,30.07.2009,31.07.2010,
Stichting Fonds Arbeidsmarktbeleid Branche Verpleeg- en Verzorgingshuizen,ESF 21009 Argos Zorggroep Zorgen voor de toekomst,,ESF,,"Werknemers van de Argos Zorggroep mogen met behulp van ESF-subsidie een opleiding volgen. Hiermee verkrijgen ze de kennis, inzichten en vaardigheden die nodig is voor het goed uitvoeren van hun functie. Argos Zorggroep besteedt daarbij aandacht aan de persoonlijke ontwikkeling en de leerbehoefte van de medewerkers.",,96.481,,,96.481,100,11.02.2016,01.05.2009,30.04.2010,
Stichting Fonds Arbeidsmarktbeleid Branche Verpleeg- en Verzorgingshuizen,Leren en Werken bij De Zorgboog,,ESF,,"De Zorgboog is een organisatie voor zorg, wonen en welzijn. Medewerkers van de Zorgboog krijgen de mogelijkheid zichzelf te ontplooien via scholingstrajecten gesubsidieerd door ESF. Ongeveer 104 medewerkers krijgen een opleiding tot verplegende, verzorgende of helpende in een BBL-traject (Beroepsbegeleidende Leerweg).",,133.962,,,133.962,100,11.02.2016,01.08.2009,31.07.2010,
Stichting Samenwerkende Sociale Fondsen Brood en Banket,Scholing van werkenden in de bakkerijbranche,,ESF,,De bakkerijbranche wil met behulp van ESF-subsidie zoveel mogelijk medewerkers opleiden. Hiermee gaat de (vak)kennis- en het opleidingsniveau van het personeel en de branche omhoog. Medewerkers vergroten vervolgens hun kansen op een baan en vervullen hun functie beter.,,980.902,,,980.902,100,11.02.2016,01.08.2009,31.07.2010,
Stichting Fonds Arbeidsmarktbeleid Branche Verpleeg- en Verzorgingshuizen,Blijven opleiden 2009-2010,,ESF,,"Ontwikkelingen binnen de verzorgings- en verpleeghuiszorg nemen in snel tempo toe. Daarnaast vragen een veranderd zorgstelsel, mondige cli��nten, en de toenemende vergrijzing om goed opgeleid personeel. Met behulp van ESF-gelden mag het zorgpersoneel een opleiding volgen. Hiermee vergroten de deelnemers hun inzetbaarheid en hun kansen op werk. Bovendien vervullen ze hun functie beter. Nieuwe medewerkers krijgen de kans om in te stromen via lerend werken. Het gaat om opleidingen tot en met mbo-4-niveau.",,66.062,,,66.062,100,11.02.2016,01.08.2009,31.07.2010,
Stichting Arbeidsmarkt Gehandicaptenzorg,Arduin de lerende organisatie 2009-2010,,ESF,,"Arduin, een organisatie die ondersteuning verleent aan mensen met een verstandelijke beperking, voert met steun van ESF een actief opleidingsbeleid uit. Dat is belangrijk voor de inzetbaarheid van de medewerkers en voor de continu��teit van de organisatie. Het programma voorziet in om- of bijscholing van alle ge��nteresseerde werknemers en in opleiding van hun toekomstige collegas. Deelnemers krijgen een opleiding tot hooguit mbo-4-niveau.",,234.111,,,234.111,100,11.02.2016,01.09.2009,31.08.2010,
Stichting FAOT,H+B Thuiszorg opleidingen,,ESF,,"H+B Thuiszorg verzorgt scholing voor haar laagopgeleide personeel en voor bijvoorbeeld verzorgende, verpleegkundige en ondersteunende medewerkers. De organisatie ontvangt daarvoor ESF-subsidie. Met een opleiding brengen de werknemers hun vakkennis op peil. Ze vergroten de kans op een baan en vervullen hun functie beter. Klantgericht handelen en denken van alle zorgmedewerkers is een kritieke succesfactor voor de organisatie.",,401.272,,,401.272,100,11.02.2016,01.04.2009,31.03.2010,
