Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge 1,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge 1
WAZV Bode-Wipper,"Schmutzwasserentsorgung Stadt Staßfurt - An der Liethe
An der Liethe (S3620 - PW; S3618 - S3617; S3610 - S1
(PW); DES - S3621vorh.)
An der Liethe (Druckleitung von PW ""An der Liethe"" - DES)
- 691 m  Schmutzwasserkanal DN 150/200
- 12 Schächte
-",2014,2015," 598.361,29"," 598.361,29"
WAZV Bode-Wipper,"Schmutzwasserkanal Börde-Hakel, Ortsteil Etgersleben
Bereich 1:
- Rudloffsche Straße / Karl-Liebknecht-Straße 2041500002 -
3042200234
- Fleischergasse 2040700002 - 3042300124
Bereich 3:
- Mittelstraße 2041900288 - 2041900287
- 42,5m Schmutzwasse",2013,2015," 160.434,64"," 160.434,64"
WAZV Bode-Wipper,"Schmutzwasserkanal Stadt Güsten/OT Warmsdorf, 2.BA
Unterland, Oberland
Oberland (S1 - 12vorh, S42 - S5)
Unterland (S43 - S13vorh)
946 m Schmutzwasserkanal DN 200 Ultra-Rib 2
18 SchächteSSCG-006),
- Hecklinger Str. (SSCG18-012 - SSCG18-017vorh.)
- 638,14 m Schmutzwasserleitung DN",2012,2013," 319.971,89"," 319.971,89"
WAZV Bode-Wipper,"Schmutzwasserkanalisation Schackenthal 3. BA
- Bernburger Straße L72, Lindenallee (S208 - S201)
- Lindenallee L72 (S212 - S201)
- Sanderslebener Straße L72 (S216 - S211)
- 895 m Schmutzwasserleitung DN 200 Ultra Rib 2 mit 16
Schächten",2010,2012," 385.658,54"," 385.658,54"
WAZV Bode-Wipper,"Schmutzwasserkanalisation Stadt Güsten mit Ortsteil
Osmarsleben
Stadt Güsten:
- Neue Anlage S04300 - S04090vorh
Stadt Güsten, Ortsteil Osmarsleben:
- Lindenstraße S08128 - S08105vorh
- Mühlenweg S08132 - S08100vorh
- 784,50 m Schmutzwasserkana",2013,2015," 310.778,25"," 310.778,25"
WAZV Bode-Wipper,"Schmutzwasserkanalisation Stadt Güsten, Ortsteil
Warmsdorf, 3. BA Oberland
BA3.1 Oberland: SSCW22-020 - SSCW22-019vorh,
SSCW22-023 - SSCW22-009vorh
BA3.2 Oberland: SSCW22-028 - SSCW-004vorh, SSCW22-
029 - PW,SSCW22-036 - SSCW22-035, SSCW22-037 -
SSCW22-0- Krumme Straße (M263a vorh - S40)
- Freytagstraße (S53 - S44, S52 - M3104vorh)
- Petrikirchstraße (S61 - S5",2013,2015," 476.659,79"," 476.659,79"
WAZV Bode-Wipper,"Schmutzwasserkanalisation Stadt Staßfurt
Neundorfer Straße (Mitte) S 210 - S 217 - S 10
Damaschkepromenade S 10 - S 14 - PW
Hinter dem Neundorfer Hauptgraben S 1 - S 3 - PW
Damaschkepromenade S 20 - S 21 - S 14
Südstraße S 31 - S 30 - S 12
- 920 m S",2008,2009," 668.333,33"," 668.333,33"
WAZV Bode-Wipper,"Schmutzwasserkanalisation Stadt Staßfurt
Salzhofstraße S4324 - S4325 - S4292vorh.
Moorstraße S4330 - S4332 - S4326; S4328 - S4329 -S4326
Am Anger S4320 - S4324; S4327 - S4324
Rathausstraße bis Holzmarkt S4304 - S4309vorh.
-922,50 m Freigefällekanal",2008,2011," 260.312,92"," 260.312,92"
WAZV Bode-Wipper,"Schmutzwasserkanalisation Stadt Staßfurt OT Neu
Staßfurt, Überleitung und Pumpwerk, Schmutzwasserkanal 1.
BA
Neu Staßfurt (SSCN01-007 - SSCN01-006 - PW;
SSCN01-001 - SSCN01-002);
L 71 (SSCN01-002 - SSCN01-006 - PW)
-    313,20 m Freigefällekanal D",2008,2011," 334.820,57"," 334.820,57"
WAZV Bode-Wipper,"Schmutzwasserkanalisation Stadt Staßfurt, OT
Hohenerxleben, Kreisstraße, Kastanienallee, Kurze Straße
Kreisstraße, östlicher Abschnitt (S 26 - S 24 - S 25vorh).;
Kreisstraße, westlicher Abschnitt (S 21 - S 18 - S 20 - S
4vorh.);
Kreisstraße (S 30 - S153,50 m Schmutzwasserkanal DN 200 PE-HD, SDR 33
4 Schächte",2008,2011," 399.422,10"," 399.422,10"
WAZV Bode-Wipper,"Schmutzwasserkanalisation Stadt Staßfurt;
Neundorfer Straße (Süd) (S5133 - PW, Druckleitung von PW
- S5134, S5134 - S5033),
Uhlandweg / Friedensstraße (Süd) (S5135 - S5127)
925 m Schmutzwasserkanal DN 200 Stz mit 15 Schächten
11 m Druckrohrleitung",2012,2013," 573.516,09"," 573.516,09"
WAZV Bode-Wipper,"Stadt Güsten, OT Warmsdorf
-Pumpwerk und Überleitung nach Güsten
-Schmutzwasserkanal Unterland, 1. BA
-1.425,80 m DRL DA 90,
-1 PW
-701,40 m FGL  DN 200 mit 22 Schächten
-Unterland (SSCW22-001-SSCW21012/SSCW21-001-
SSCW21011)",2011,2012," 658.736,11"," 658.736,11"
WAZV Bode-Wipper,"Stadt Hecklingen, Resterschließung Schmutzwasser
Hermann-Danz-Straße, Karl-Liebknecht-Platz
Hermann-Danz-Straße (S03 - S(vorh)01)
Karl-Liebknecht-Platz (S02.1 - S(vorh)01)
138 m Mischwasserkanal DN 250
32 m Mischwasserkanal DN 200 Ultra-Rib 2
5 ScBodestraße (Druckleitung von PW Wassertorstraße - S5111;
S5111 - M1293vorh)
Zollstraße Nord (S5117 - S5093vorh)
216 m Schmutzwasserkan",2012,2014," 80.118,86"," 80.118,86"
WAZV Oberharz,"Trinkwasserleitung Hasselfelde - Stiege mit Hochbehälter
- 2.480 m PE - HD 160 x 14,6 (PN 10) überörtliche
Trinkwasserleitung
-    260 m PE - HD 160 x 14,6 (PN 10) Trinkwasserleitung
Tännchenstraße
-        1 Stück Ertüchtigung Hochbehälter",2009,2011," 480.486,07"," 480.486,07"
WAZV Saalkreis,"Fäkalspeicher Kläranlage Pfützthal
Bau eines Fäkalspeichers auf dem Gelände der Kläranlage
Pfützthal als 40 m3 - Rundbecken mit Anschlussleitung zum
Rechen und mit Rührwerk, einen MID als Durchflussmesser,
einem Motorschieber und Rückschlagkappen sowie",2013,2015," 247.266,24"," 247.266,24"
WAZV Saalkreis,"Neubau Pumpwerk Benkendorf als 2. Ausbaustufe
Neubau Pumpwerk Benkendorf als Tiefbau mit zwei
Schneckenrohrpumpen und Verlegung von 35 m
Freispiegelkanal DN 200 und DN 500 mit einem Schacht",2011,2013," 486.506,75"," 486.506,75"
WAZV Saalkreis,"Schmutzwasserkanalisation Gemeinde Petersberg, Ortsteil
Gutenberg, Volkshof
Volkshof 81181343, 1344, 1345, 1346 und 81181347;
81180783, 0784, 0785 und 81180786
- 187 m Schmutzwasserleitung DN200
- 9 Schächte1. Schmutzwasserkanalisation DN 200 in Gimritz
Hauptstraße: S19 - Pumpwerk Gimritz; S15 - S8; S11 - S9;
S72 - S70b
Spielberg: S23 - S7
Wettiner Straße: S49 - S30; S84 - S83;",2014,2015," 89.343,33"," 89.343,33"
WAZV Saalkreis,"Schmutzwasserkanalisation Görbitz und Verbindungsleitung
Görbitz - Lettewitz
1. Schmutzwasserkanalisation Görbitz
Haltungen: S10 - Pumpstation Görbitz
S9.1 - S9
S6 - S5
2. Verbindungsleitung Görbitz - Lettewitz als Druckleitung
und Kanal
Haltungen",2013,2014," 334.481,09"," 334.481,09"
WAZV Saalkreis,"Schmutzwasserkanalisation Teutschenthal - Flurstraße, Alte
Südstraße
Flurstraße:FS2      Pumpstation
Alte Südstraße:ASS10 Pumpstation
DES  S1 (vorh.)
Druckleitung:Pumpstation - DES
- 370 m Schmutzwasserkanal DN 200
- 15 m Druckleitung DN 90
-- 499 m Schmutzwasserkanal DN 200
- 18 Schächte",2013,2015," 256.647,09"," 256.647,09"
WAZV Saalkreis,"Schmutzwasserkanalisation Teutschenthal, Vitzenburg, Am
Bach
1. Schmutzwasserkanal
Neuvitzenburg: S1 - Pumpstation
S4 - S2
S6 - S10
DES - S80 (vorh.)
Am Bach: S1 - Pumpstation
S6 - S3
S8 - S5
DES - S1 (vorh.)
2. Druckleitungen
Neuvitzenburg: Pu",2013,2015," 483.028,41"," 483.028,41"
WAZV Saalkreis,"Schmutzwasserkanalisation und Druckleitung Pfützthal 3. BA
1. Schmutzwasserleitung
Gödewitzer Straße: EUS2 - S147c(vorh.)
Neuer Weg: S21 - Pumpstation
S13 - S15
EUS1 - S1
2. Druckleitung
Neuer Weg: Pumpstation - EUS1
- 906 m Schmutzwasserkan- 90 m Schmutzwasserkanal DN 200/300 + 4 Schächte
- 1 Hauptpumpwerk mit IDM - Schacht",2013,2014," 358.956,53"," 358.956,53"
WAZV Saalkreis,"Schmutzwasserüberleitung in der Gemeinde Petersberg vom
OT Krosigk zum OT Drehlitz
Überleitung nach Drehlitz
-2.560 m Abwasserdruckleitung DN 100 PEHD 125 * 11,4
-8 m Schmutzwasserkanal DN 200 PP
-1 Schacht
-1 Druckleitungsendschacht
-1 Stück",2013,2014," 480.888,93"," 480.888,93"
WBD JobConcept GmbH,Organisationsoptimierung,2008,2009," 3.000,00"," 3.000,00"
"WBM Wärmebehandlung GmbH
Magdeburg","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2008,2010," 110.000,00"," 110.000,00"
WEB PRINT CONCEPT GmbH,Errichtung einer Betriebsstätte,2010,2012," 111.652,36"," 111.652,36"
Weckenmann GmbH & Co.KG,CTT  ́2014  Ort: Moskau,2014,2014," 709,44"," 709,44"
Weckenmann GmbH & Co.KG,"Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2011,2014," 91.044,59"," 91.044,59"
Weckenmann GmbH & Co.KG,bauma  ́2010 Ort: München,2010,2010," 6.500,00"," 6.500,00"
Weckenmann GmbH & Co.KG,bauma  ́2013 Ort: München,2013,2013," 6.500,00"," 6.500,00"
"Wehling Anlagen- und Maschinenbau
GmbH",Energie-/Umweltberatung,2007,2008," 3.600,00"," 3.600,00"
"Wehling Anlagen- und Maschinenbau
GmbH",Entwicklung einer Trocknungsanlage,2008,2009," 88.555,00"," 88.555,00"
"Wehling Anlagen- und Maschinenbau
GmbH","Entwicklung einer innovativen Düngertechnologie für den
Ökolandbau, bestehend aus Biodünger, der
Herstellungstechnologie und Anlagentechnik zur Produktion
von Biodünger",2010,2012," 57.000,00"," 57.000,00"
Weinor GmbH & Co. KG,"Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2012,2014," 305.188,81"," 305.188,81"
Weißenfels,Brachflächengestaltung Klingenplatz/Leipziger Straße,2008,2010," 574.433,19"," 574.433,19"
Weißenfels,Brachflächengestaltung Stadtwerke-Grundstück,2008,2010," 503.604,81"," 503.604,81"
Weißenfels,Erschließungsmaßnahmen E-Werk,2009,2010," 72.214,05"," 72.214,05"
Weißenfels,Fortführung Stadtbalkon - südliches Altstadt-Saaleufer,2012,2013," 91.304,21"," 91.304,21"
Weißenfels,Freifläche Umfeld  E-Werk,2008,2012," 739.336,72"," 739.336,72"
Weißenfels,Gewerbebrache ehemalige Getreidewirtschaft,2008,2010," 416.957,46"," 416.957,46"
Weißenfels,"Innenausbau E-Werk, 1. BA",2009,2012," 798.893,30"," 798.893,30"
Weißenfels,"Marienstraße 2-10 - Technisches Rathaus BA 2.2,
Innenausbau und technische Einbauten",2011,2012," 416.866,31"," 416.866,31"
Weißenfels,Neubau Grundstückseinfassung Mauer Rathaushof,2012,2013," 98.723,92"," 98.723,92"
Weißenfels,Neugestaltung Rathaushof (3. BA Technisches Rathaus),2011,2013," 420.811,59"," 420.811,59"
Weißenfels,Neustadtpark - Nordachse,2007,2010," 484.798,35"," 484.798,35"
Weißenfels,Planung E-Werk,2007,2009," 146.907,37"," 146.907,37"
Weißenfels,"Radweg nach Tagewerben auf der ehem. Bahntrasse
""Roßbacher Bahn"" zw. Heuweg Weißenfels und
Gemarkungsgrenze Tagewerben (84-RW-0002)",2011,2015," 239.264,03"," 239.264,03"
Weißenfels,Stadtbalkon südliches Altstadt-Saaleufer,2008,2010," 364.251,68"," 364.251,68"
Weißenfels,Stadtteilentwicklungsplan Altstadt-Fortschreibung SEK,2007,2009," 18.492,60"," 18.492,60"
Weißenfels,Statisch-konstruktive Sicherung und Instandsetzung E-Werk,2008,2011," 1.978.460,90"," 1.978.460,90"
Weißenfels,Verbindungsbau zwischen Rathaus und Marienstraße 2,2011,2012," 846.074,53"," 846.074,53"
Weißenfels,Öffentlichkeitsarbeit,2007,2010," 21.087,64"," 21.087,64"
"Weißenfelser Draht-Ketten- Nagel
GmbH ""DRAKENA""","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2008,2011," 213.700,00"," 213.700,00"
Wendt OHG,Risikomanagement,2012,2012," 3.000,00"," 3.000,00"
"Werbat Wernigeröder Batterie
Gesellschaft mit",InnoTrans `2008                                              Ort: Berlin,2008,2009," 2.831,15"," 2.831,15"
"Werbat Wernigeröder Batterie
Gesellschaft mit",InnoTrans  ́2010 Ort: Berlin,2010,2011," 3.403,27"," 3.403,27"
"Werbat Wernigeröder Batterie
Gesellschaft mit","Innovationsunterstützende Technologieberatung zur
Gebrauchswertsteigerung elektrochemischer
Speichersysteme durch die Integration intelligenter
Steuerungs- und Überwachungselektronik - smart products",2013,2014," 45.000,00"," 45.000,00"
Wergona Schokoladen GmbH,Erweiterung einer Betriebsstätte,2010,2014," 1.089.957,95"," 1.089.957,95"
Werkzeugbau GmbH Schönebeck,Erweiterung einer Betriebsstätte,2012,2014," 118.408,60"," 118.408,60"
Werkzeugbau GmbH Schönebeck,Organisationsoptimierung,2010,2010," 9.000,00"," 9.000,00"
Werkzeugbau GmbH Schönebeck,Risikomanagement,2010,2010," 9.000,00"," 9.000,00"
Werkzeugbau GmbH Schönebeck,Stärkung des Innovationspotentials,2008,2010," 2.400,00"," 2.400,00"
Werkzeugbau GmbH Schönebeck,Stärkung des Innovationspotentials,2008,2010," 3.600,00"," 3.600,00"
Werkzeugbau GmbH Schönebeck,"Virtueller Prozessplanung und -gestaltung zur Optimierung
der Beschnittsermittlung in Folgeverbundwerkzeugen",2008,2009," 65.812,00"," 65.812,00"
"Werkzeugbau und Kunststoff- technik
Kruse GmbH",Organisationsoptimierung,2010,2016," 0,00"," 0,00"
"Werkzeugbau und Kunststoff- technik
Kruse GmbH",Z `2011 - Die Zuliefermesse Ort: Leipzig,2011,2011," 1.524,96"," 1.524,96"
"Werkzeugbau und Kunststoff- technik
Kruse GmbH",Z  ́2009 - Zuliefermesse Ort: Leipzig,2009,2010," 983,76"," 983,76"
"Werkzeugbau und Kunststoff- technik
Kruse GmbH und",Erweiterung einer Betriebsstätte,2009,2014," 52.017,43"," 52.017,43"
"Werkzeugbau und Maschinen-
handelsgesellschaft mbH","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2008,2009," 75.000,00"," 75.000,00"
Werkzeugprofi KG,Organisationsoptimierung,2008,2010," 1.800,00"," 1.800,00"
Werkzeugprofi KG,Organisationsoptimierung,2007,2010," 1.800,00"," 1.800,00"
Werkzeugprofi KG,Risikomanagement,2008,2009," 3.600,00"," 3.600,00"
Wernigerode,"Aufwertung öffentliche Straßen/Wege, Stadtteilpromenade, 3.
Bauabschnitt Heidebreite",2010,2012," 360.000,00"," 360.000,00"
Wernigerode,"Barrierefreie Gestaltung öffentlicher Einrichtungen, Straßen,
Plätze",2007,2009," 120.000,00"," 120.000,00"
"WERSOMA  Werkzeug- u.
Sondereinrichtungsbau GmbH","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2009,2010," 124.339,66"," 124.339,66"
"WERSOMA  Werkzeug- u.
Sondereinrichtungsbau GmbH","Entwicklung einer innovativen, verschleißarmen und
kostengünstigen Drehwinkelarretierung für extern gelagerte
Spindelwerkzeuge",2013,2015," 93.017,91"," 93.017,91"
"WERSOMA  Werkzeug- u.
Sondereinrichtungsbau GmbH","Entwicklung eines innovativen Dosiersystems zur
Realisierung des Gleichlaufs für einfachwirkende
hydraulische Spannzylinder in hydraulischen Spannsystemen",2014,2015," 92.068,05"," 92.068,05"
"WERSOMA  Werkzeug- u.
Sondereinrichtungsbau GmbH",Organisationsoptimierung,2013,2014," 3.600,00"," 3.600,00"
"WERSOMA  Werkzeug- u.
Sondereinrichtungsbau GmbH",Organisationsoptimierung,2010,2010," 9.000,00"," 9.000,00"
"WERSOMA  Werkzeug- u.
Sondereinrichtungsbau GmbH",Risikomanagement,2010,2010," 9.000,00"," 9.000,00"
"WERSOMA  Werkzeug- u.
Sondereinrichtungsbau GmbH","Wissens- und Technologietransfer zur Entwicklung einer
innovativen Technologie und Anlage zum Entgraten von
Tieflochbohrungen in mittels Hydraulik betriebenen
Sondermaschinen und -vorrichtungen",2011,2012," 65.812,50"," 65.812,50"
"Wessels + Müller AG und H.-Heiner
Müller Verwaltungs-",Erweiterung einer Betriebsstätte,2010,2013," 705.691,60"," 705.691,60"
"WEVO Metalltechnik Herrmann
GmbH",Marketing,2008,2009," 6.000,00"," 6.000,00"
"WEVO Metalltechnik Herrmann
GmbH",Organisationsoptimierung,2008,2010," 2.400,00"," 2.400,00"
"WEVO Metalltechnik Herrmann
GmbH",Organisationsoptimierung,2008,2010," 3.600,00"," 3.600,00"
WFW Umformtechnik GmbH,"Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2011,2014," 95.838,38"," 95.838,38"
WFW Umformtechnik GmbH,Unternehmensnachfolge,2011,2012," 9.000,00"," 9.000,00"
"WGM Winter Gerätebau und
Metallverarbeitung GmbH","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2008,2011," 127.005,13"," 127.005,13"
"WGM Winter Gerätebau und
Metallverarbeitung GmbH","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2010,2012," 269.000,00"," 269.000,00"
"WGM Winter Gerätebau und
Metallverarbeitung GmbH","Entwicklung eines Systems sicherheitstechnischer
Ausrüstungen für die Gewährleistung des Brandschutzes in
Tunnelbauwerken",2009,2011," 60.000,00"," 60.000,00"
"WGM Winter Gerätebau und
Metallverarbeitung GmbH",Grundlegende Änderung des Gesamtproduktionsverfahrens,2012,2014," 480.000,00"," 480.000,00"
"WGM Winter Gerätebau und
Metallverarbeitung GmbH",InnoTrans  ́2012 Ort: Berlin,2012,2015," 1.148,16"," 1.148,16"
"WGM Winter Gerätebau und
Metallverarbeitung GmbH",Organisationsoptimierung,2010,2011," 9.000,00"," 9.000,00"
"WGM Winter Gerätebau und
Metallverarbeitung GmbH",Z `2013 - Die Zuliefermesse Ort: Leipzig,2013,2013," 2.663,50"," 2.663,50"
Wicon Elektronik GmbH,Organisationsoptimierung,2014,2014," 3.000,00"," 3.000,00"
Wicon Elektronik GmbH,Stärkung des Innovationspotentials,2008,2010," 2.400,00"," 2.400,00"
Wicon Elektronik GmbH,Stärkung des Innovationspotentials,2014,2015," 3.000,00"," 3.000,00"
Wiebke Schulz,Errichtung einer Betriebsstätte,2008,2010," 1.772,60"," 1.772,60"
Wiegel Parey GmbH & Co KG,Erweiterung einer Betriebsstätte,2009,2013," 376.691,60"," 376.691,60"
Wiere Metallbau GmbH,Erweiterung einer Betriebsstätte,2009,2012," 18.100,00"," 18.100,00"
WIESE Förderelemente GmbH,"Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2010,2013," 200.000,00"," 200.000,00"
"Wiesheu Wolfen GmbH und Wiesheu
GmbH","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2011,2013," 143.950,02"," 143.950,02"
"Wiesheu Wolfen GmbH und Wiesheu
GmbH",Erweiterung einer Betriebsstätte,2012,2015," 147.612,10"," 147.612,10"
WIGO-Zelte GmbH & Co.KG,Errichtung einer Betriebsstätte,2009,2010," 4.507,00"," 4.507,00"
"Wikana Keks- und Nahrungsmittel
GmbH",Außenwirtschaftsberatung,2008,2008," 3.600,00"," 3.600,00"
"Wikana Keks- und Nahrungsmittel
GmbH",ISM '2014 Internationale Süßwarenmesse Ort: Köln,2014,2014," 6.500,00"," 6.500,00"
"Wikana Keks- und Nahrungsmittel
GmbH",ISM Internationale Süßwarenmesse '2012 Ort: Köln,2012,2012," 6.500,00"," 6.500,00"
"Wikana Keks- und Nahrungsmittel
GmbH",ISM `2011 Ort: Köln,2011,2011," 6.500,00"," 6.500,00"
"Wikana Keks- und Nahrungsmittel
GmbH",ISM `2013 Internationale Süßwarenmesse Ort: Köln,2013,2013," 6.500,00"," 6.500,00"
"Wikana Keks- und Nahrungsmittel
GmbH",Organisationsoptimierung,2013,2014," 3.600,00"," 3.600,00"
"WIKO Elektronische Bauelemente
Klötze GmbH und Fehse
Grundstücksgesellschaft GbR","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2010,2014," 51.504,00"," 51.504,00"
Wilfried Sturm,Organisationsoptimierung,2010,2011," 7.200,00"," 7.200,00"
Willfried Wiebeck,"Beräumung der Flächen Flugplatz, Gem. Uenglingen, Flur 1,
Flurstück 35/1",2015,2015," 28.083,34"," 28.083,34"
Winfried Schwinzer,Erweiterung einer Betriebsstätte,2008,," 44.650,76",
Winfried Schwinzer,Risikomanagement,2014,2015," 3.600,00"," 3.600,00"
Winfried Schwinzer,Risikomanagement,2008,2009," 3.600,00"," 3.600,00"
Winkelmann Recycling GmbH,"Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2011,2012," 165.000,00"," 165.000,00"
Winkelmann Recycling GmbH,Errichtung einer Betriebsstätte,2009,2010," 720.751,50"," 720.751,50"
Winzervereinigung,Organisationsoptimierung,2007,2007," 3.600,00"," 3.600,00"
Winzervereinigung,Organisationsoptimierung,2013,2014," 4.200,00"," 4.200,00"
Winzervereinigung,Organisationsoptimierung,2009,2010," 7.312,50"," 7.312,50"
Winzervereinigung,Organisationsoptimierung,2010,2011," 9.000,00"," 9.000,00"
Winzervereinigung,ProWein '2010 Ort: Düsseldorf,2010,2011," 6.037,15"," 6.037,15"
Winzervereinigung,ProWein `2011  Ort: Düsseldorf,2011,2011," 6.194,10"," 6.194,10"
Winzervereinigung,ProWein `2012 Ort: Düsseldorf,2012,2012," 6.318,36"," 6.318,36"
Winzervereinigung,ProWein  ́2013 Ort: Düsseldorf,2013,2014," 6.343,77"," 6.343,77"
Winzervereinigung,Risikomanagement,2014,2015," 3.600,00"," 3.600,00"
WIPAG Nord GmbH & Co. KG,Erweiterung einer Betriebsstätte,2008,2010," 406.200,00"," 406.200,00"
wipro system GmbH & Co. KG,Erweiterung einer Betriebsstätte,2008,2011," 200.900,00"," 200.900,00"
"Wipro System Verwaltungs GmbH
wipro System GmbH & Co. KG",Erweiterung einer Betriebsstätte,2011,2015," 1.284.053,00"," 1.284.053,00"
Wirth GmbH,BAU `2011 Ort: München,2011,2011," 6.500,00"," 6.500,00"
Wirth GmbH,BAU  ́2009 Ort: München,2009,2009," 5.200,00"," 5.200,00"
Wirth GmbH,CONSTRUMAT '2009 Ort: Barcelona,2009,2009," 7.327,60"," 7.327,60"
Wirth GmbH,DACH + HOLZ '2010 Ort: Köln,2010,2010," 6.500,00"," 6.500,00"
Wirth GmbH,DACH + HOLZ International '2012 Ort: Stuttgart,2012,2012," 6.500,00"," 6.500,00"
Wirth GmbH,Glasstec `2008                                               Ort: Düsseldorf,2008,2009," 5.200,00"," 5.200,00"
Wirth GmbH,"fensterbau/frontale + HOLZ-HANDWERK '2014 Ort:
Nürnberg",2014,2014," 6.500,00"," 6.500,00"
Wirth GmbH,"fensterbau/frontale + HOLZ-HANDWERK  ́2012 Ort:
Nürnberg",2012,2012," 6.500,00"," 6.500,00"
Wirth GmbH,fensterbau/frontale + Holz-Handwerk' 2010 Ort: Nürnberg,2010,2010," 6.045,60"," 6.045,60"
Wirth GmbH,glasstec '2010  Ort: Düsseldorf,2010,2011," 6.500,00"," 6.500,00"
Wirth GmbH,glasstec '2014 Ort: Düsseldorf,2014,2015," 6.500,00"," 6.500,00"
Wirth GmbH,glasstec `2012 Ort: Düsseldorf,2012,2016," 0,00"," 0,00"
"Wirtschaftsförderungsgesellschaft
Anhalt-Bitterfeld / Dessau /
Wittenberg mbH","Ausbau des Kunstprojektes Sachsen-Spiegel zu einem
touristischen Produkt",2008,2010," 16.895,78"," 16.895,78"
"Wissenschaftlich-Technisches
Zentrum für Motoren und
Maschinenforschung Roßlau gGmbH","1-Zylinder-Forschungsmotor - Entwicklung und Bau eines 1-
Zylinder-Forschung motors zur Realisierung zukünftiger
Anforderungen",2009,2012," 2.022.241,00"," 2.022.241,00"
"Wissenschaftlich-Technisches
Zentrum für Motoren und
Maschinenforschung Roßlau gGmbH","Modulare Leichtbaukomponenten für periphere E-
Mobilitätslösungen",2013,2015," 182.424,20"," 182.424,20"
"Wissenschaftlich-Technisches
Zentrum für Motoren und
Maschinenforschung Roßlau gGmbH","Schaffung eines vereinfachten Motormodells für mittelschnell-
und schnelllaufende Diesel- und Gasmotoren zur
Prozesssimulation der zweistufigen Aufladung (TSTC)",2012,2014," 407.420,56"," 407.420,56"
"Wissenschaftlich-Technisches
Zentrum für Motoren und
Maschinenforschung Roßlau gGmbH","Untersuchung von Möglichkeiten einer beschleunigten
Verbrennung in Gasmotoren zur Verbesserung des
Wirkungsgrades",2009,2012," 766.651,00"," 766.651,00"
Wittenberg Gemüse GmbH,Errichtung einer Betriebsstätte,2012,2014," 1.562.600,00"," 1.562.600,00"
"WIWOG - Wittenberger
Wohnungsbaugesellschaft mbH","Abriss und Entsiegelung von Flächen, Woltersdorfer Straße
34, 35 in 06895 Zahna-Elster",2015,2015," 70.619,13"," 70.619,13"
"WK Hydraulik Walter und Kieler
GmbH",Errichtung einer Betriebsstätte,2010,," 46.700,00",
"WK Hydraulik Walter und Kieler
GmbH",Erweiterung einer Betriebsstätte,2012,2013," 59.300,00"," 59.300,00"
"WK Hydraulik Walter und Kieler
GmbH",Erweiterung einer Betriebsstätte,2008,2014," 156.500,00"," 156.500,00"
"WKT Wittenberger Kunststofftechnik
GmbH & Co.KG",Erweiterung einer Betriebsstätte,2011,2014," 297.749,90"," 297.749,90"
WMB Werkzeugmaschinenbau,"Entwicklung eines innovativen Verfahrens zur kraftadaptiven
CNC-Präzisionsbearbeitung von Seriengussteilen",2012,2014," 46.569,38"," 46.569,38"
WMB Werkzeugmaschinenbau,"Entwicklung von Spann- und Automatisierungslösungen zur
Reduzierung der Rüst- und Nebenzeiten für die
Komplettbearbeitung in der Einzelteil- und
Großserienfertigung",2013,2014," 58.200,00"," 58.200,00"
WMB Werkzeugmaschinenbau,"Entwicklung von innovativen Lösungen für eine
kostenoptimierte ganzheitliche Bearbeitungs- und
Fertigungstechnologie, insbesondere für Oberflächen von
komplexen Bau- und Einzelteilen sowie
Zulieferungskomponenten aus Graugusswerkstoffen",2011,2012," 53.400,00"," 53.400,00"
WMB Werkzeugmaschinenbau,Grundlegende Änderung des Gesamtproduktionsverfahrens,2010,2014," 500.000,00"," 500.000,00"
WMB Werkzeugmaschinenbau,Marketing,2011,2016," 0,00"," 0,00"
WMB Werkzeugmaschinenbau,Organisationsoptimierung,2010,2011," 9.000,00"," 9.000,00"
"WOLA Chemisch-technische
Erzeugnisse GmbH",Erweiterung einer Betriebsstätte,2009,," 0,00",
Wolf-Dieter Wittig,Erweiterung einer Betriebsstätte,2011,2015," 67.842,05"," 67.842,05"
Wolfgang Aldag,SaaleBau  ́2009 Ort: Halle,2009,2009," 2.035,58"," 2.035,58"
Wolfgang Dietrich e.K.,Erweiterung einer Betriebsstätte,2010,2012," 450.000,00"," 450.000,00"
Wolfgang Ey,Erweiterung einer Betriebsstätte,2009,2012," 384.900,00"," 384.900,00"
Wolfgang Ey,Risikomanagement,2010,2011," 3.900,00"," 3.900,00"
Wolfgang Ey,Risikomanagement,2012,2014," 4.050,00"," 4.050,00"
