Recipient of funds,Name of Project,Type of fund,Summary of project (max 100 words),Start date,End date,ERDF/ESF investment £m,Total project costs £m,Percent of project funded by EU,Location (postcode),Local Enterprise Partnership area,Country,Type and focus of support (*Category of intervention)*
Big Lottery Fund (CFO),Cumbria LEP Big Lottery Fund Opt In T2,ESF,"This project is part of the Building Better Opportunities (BBO) programme, which is made up of all ESF activities in England match-funded and delivered through the Big Lottery Fund Opt In Organisation. BBO will improve peoples life chances by building better opportunities for education, training and employment. Projects will work with people furthest from the labour market, who face significant disadvantages and barriers to social inclusion. Within Cumbria LEP, there are three projects, focussed on supporting those furthest from the labour market split by geography- Allerdale and Copeland, Carlisle and Eden and Barrow & South Lakeland.",01. Jan 14,31. Dez 19,2500000,4166667,60%,EC4A 1DE,Cumbria, England ,"109. Active inclusion, including with a view to promoting equal opportunities and active particpation, and improving employability."
Department for Work and Pensions (DWP CFO),ESF 2014-2020 Provision,ESF,"This Provision is voluntary and aims to support participants with a mental health condition into employment.  The Provision will deliver tailored packages of support to increase wellbeing, and will provide in-work support where appropriate to aid transition to unsupported and sustained employment.  The Provider will engage with Participants to identify and address barriers to work using a range of specialist support/provision, improving the Participants chances of securing and sustaining employment. This provision will prioritise the hardest to help claimants and who are furthest from the labour market. It is therefore anticipated that more intensive support will be required.",01. Jan 14,30. Sep 21,2000000,4000000,50%,SA11 1LY,Cheshire and Warrington, England ,"102. Access to employment for job-seekers and invactive people, including the long-term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility,"
Department for Work and Pensions (DWP CFO),ESF 2014-2020 Provision,ESF,"The aim of this Project is to help unemployed and economically inactive people enter, progress in and sustain employment. Through flexible, bespoke support to eligible individuals, it will deal with the underlying causes of unemployment with the aim of supporting people into sustained work. The Project will provide tailored support through individual Key Workers and an Action Plan for Participants which will contain activities that will tackle barriers to employment. The ultimate purpose of the Project is to achieve sustained employment outcomes.",01. Jan 14,30. Sep 21,3500000,5833333,60%,SA11 1LY,Cumbria, England ,"102. Access to employment for job-seekers and inactive people including the long term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility."
Department for Work and Pensions (DWP CFO),ESF 2014-2020 Provision,ESF,"This Provision will aim to tackle the worklessness of disadvantaged individuals who have been unemployed or inactive for three months or more. The Provider will engage with Participants to identify and address barriers to work using a range of specialist support/provision, improving the Participants chances of securing and sustaining employment at the earliest opportunity. This Provision is voluntary and will provide personalised, flexible, tailored employment support for those with mental health conditions who are in receipt of a health related benefit. The ultimate objective of the Provision is for Participants to secure sustained employment.",01. Jan 14,30. Sep 21,2060000,3509000,50% more developed & 60% transitional,SA11 1LY,Liverpool City Region, England ,"102. Access to employment for job-seekers and inactive people, including the long-term unemployed and people far from the labour market, also through local employment initiative and support for labour mobility,"
Department for Work and Pensions (DWP CFO),ESF 2014  2020 Provision,ESF,"The aim of this Project is to help unemployed and economically inactive people enter, progress in and sustain employment. Through flexible, bespoke support to eligible individuals, it will deal with the underlying causes of unemployment with the aim of supporting people into sustained work. The Project will provide tailored support through individual Key Workers and an Action Plan for Participants which will contain activities that will tackle barriers to employment. The ultimate purpose of the Project is to achieve sustained employment outcomes.",01. Jan 14,30. Sep 21,3000000,5000000,60%,SA11 1LY,Lancashire, England ,"102. Access to employment for job-seekers and inactive people including the long term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility."
St Helens Chamber,Merseyside Enterprising Young People,ESF [ inc YEI],"The project will support young people aged 15-29 into enterprising activity achieving 64 new businesses in a wide range of sectors, sustained at six months after start up.  We will run a range of engagement activities to ensure a wide group of young people are presented with the opportunity to consider self-employment as a viable choice.   Each young person who wishes to progress will then benefit from a wide range of support both pre-start and after start-up, including a business mentor, to support the achievement of their goals.",01. Jan 16,31. Dez 18,106482,283954,60%,WA10 1FY, Liverpool City Region , England ,"103: Sustainable integration into the labour market of young people, in particular those not in employment, education or training, including young people at risk of social exclusion and young people from marginalised communities, ncluding through the implementation of the Youth Guarantee."
Merseyside Youth Assoication,Talent Match Plus,ESF [ inc YEI],"Talent Match Plus will effectively re-engage young people aged 15-29 from across LCR, including hidden NEETs and those who are detached from other services, who are furthest away from the labour market. Innovative interventions through Intensive Mentoring and individualised career coaching will develop a unique, person centred pathway of support that is bespoke, individual and flexible to meet the needs of each young person and progress them into education, employment or training. Young people will develop the resilience to overcome barriers, apply work related skills and gain confidence to access and progress into employment opportunities.",01. Nov 15,31. Jul 18,3646816,6087086,"42,77%",L1 3DY,Liverpool City Region, England ,"103: Sustainable integration into the labour market of young people, in particular those not in employment, education or training, including young people at risk of social exclusion and young people from marginalised communities, ncluding through the implementation of the Youth Guarantee."
NSC,Access To Work,ESF,"This is a combination of a 6 and 12 month ILM project, which will target disadvantaged young people 18-24 and who are NEET or unemployed, to provide work experience and training. Beneficiaries will be placed in work where there is growth and opportunities for employment in the City Region, and in the social enterprise sector.  Beneficiaries will receive basic skills assessment and training, and will have a mentor who will supervise placements and provide advice and guidance for progression into further employment, self-employment and/or training. The project will support 50% of beneficiaries into employment and further training as a result of their work placement and provide them with a vocational certificate.",01. Dez 15,31. Dez 18,4350000,5875000,"58,78%",L11 0BS,Liverpool City Region, England ,"103: Sustainable integration into the labour market of young people, in particular those not in employment, education or training, including young people at risk of social exclusion and young people from marginalised communities, ncluding through the implementation of the Youth Guarantee."
Greenbank Project,Working Futures,ESF [ inc YEI],"The Working Futures Programme brings together a unique partnership of Greenbank College and VOLA (the Liverpool City Region (LCR) Third Sector Learning Consortium) to provide tailored, flexible interventions to integrate NEET young people into the labour market. The Programme addresses the diversity, complexity and geographical profile of NEET young people in the LCR LEP area, through a proven multi-agency approach delivering employability and skills development, work experience and barrier removal support to the target group. The Programme will complement and add value to mainstream and other local ESIF/YEI provision and enable participants to progress into work, education and training. ",11. Jan 16,31. Jul 18,1380253,3760000,58%,L17 1AG,Liverpool City Region, England ,"103: Sustainable integration into the labour market of young people, in particular those not in employment, education or training, including young people at risk of social exclusion and young people from marginalised communities, ncluding through the implementation of the Youth Guarantee."
Prince's Trust,Pathway to Success,ESF,"The Pathway to Success project will support 459 of the hardest-to-reach, unemployed, young people aged 16-25 in the North East, with particular emphasis on those facing mental health challenges. Tailored to individual needs, our flexible provision comprising our Fairbridge, Get Started and Get Into personal development and employability programmes will offer young people different entry points and progression pathways into work and training suitable to their individual needs and vocational interests.  The project will achieve the following outputs and results: 
 459 unemployed young people, including long term unemployed, engaged
 215 participants progressing into education or training upon leaving",01. Jan 16,01. Dez 16,314686,629373,50%,EC2M 7LS,North East, England ,"102. Access to employment for job-seekers and inactive people, including the long-term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility."
Durham County Council,Durham Works,ESF [ inc YEI],"DurhamWorks is a ground-breaking, partnership solution to youth unemployment in County Durham.  DurhamWorks creates a matrix of provision from a broad range of Delivery Partners who will work simultaneously with employers, identifying and creating employment opportunities, and with young people (particularly those who are vulnerable or disadvantaged) to ensure they benefit from those opportunities. Young people will access a package of activities and personalised support to enter and remain in employment (including self-employment and social enterprises) and specialist and mainstream training and education.  New labour market opportunities will be developed which set 5830 young people on their sustained career pathway.",28. Jul 15,31. Jul 18,12780000,17040000,75%,DH1 5UQ,North East, England ,"103: Sustainable integration into the labour market of young people, in particular those not in employment, education or training, including young people at risk of social exclusion and young people from marginalised communities, ncluding through the implementation of the Youth Guarantee."
New College Durham,Young Ambition Tees Valley,ESF [ inc YEI],"It will provide young people, aged 15 to 29, not currently in employment, education or training, with case worker support and access to independent and impartial careers guidance, in order to:   access personalised learning pathways and routeways to employment
 access other learning/training provision
 progress into positive destinations, including mainstream education and/or employment.  
Participants will be supported by a flexible-fund to support access and remove barriers.  The project will provide effective support to progress young people into training and employment, including self-employment through an integrated approach to inclusion in learning and work.",01. Okt 15,31. Jul 18,1240665,3384667,75%,DH1 5ES,TEES Valley, England ,"103: Sustainable integration into the labour market of young people, in particular those not in employment, education or training, including young people at risk of social exclusion and young people from marginalised communities, ncluding through the implementation of the Youth Guarantee."
New College Durham,Defining Futures,ESF,"Defining Futures will operate throughout Tees Valley. It will provide young people, aged 15 to 29, who are not currently engaged in employment, education or training with personalised education, employment and enterprise pathways which will serve to engage, build confidence, develop key employability and basic skills, in order to function as a launchpad for and progress young people into further learning and/or mainstream learning or employment.  The project will be supported by a flexible fund for participants, and underpinned by IAG and TEEMS support and will include opportunities for work-related experience including volunteering and work placement opportunities. ",01. Okt 15,31. Jul 15,2833568,3778091,75%,DH1 5ES,TEES Valley, England ,"103: Sustainable integration into the labour market of young people, in particular those not in employment, education or training, including young people at risk of social exclusion and young people from marginalised communities, ncluding through the implementation of the Youth Guarantee."
Northumberland County Council,Northumberland and North Tyneside CLLD Prep Stage,ESF,"This project will deliver the preparatory work required for the development of a full CLLD programme.  It will cover a geographic area of wards in Northumberland and two wards within North Tyneside, included to create geographic coherence and also access to employment and business opportunities.  Using procured consultancy, an active programme of engagement with local communities and organisations will identify and confirm a Lead Accountable Body, Local Action Group drawn from VCS, private and public bodies and will develop a CLLD Local Development Strategy, through the LAG, identifying priorities for eligible activities from both ERDF and ESF funds. ",11. Feb 16,30. Nov 16,15000,30000,50%,NE61 2EF,North East, England ,114: Community-led local development strategies.
Durham County Council,North Durham CLLD Prep Stage,ESF,"The project will look to confirm an Accountable Body, establish a Local Action Group and produce a Local Development Strategy. North Durham CLLD area has been identified based on the top 20% most deprived SOAs and the eligible adjacent wards including Chester le Street, Stanley and the eastern edge of Consett. The population totalling 63,751 . In order to achieve this we will engage with the local communities. To develop the LAG and the LDS we will use existing networks that have been developed and are operational through the Area Action Partnerships, within the identified area. ",01. Feb 16,30. Sep 16,6900,11500,60%,DH1 5UQ,North East, England ,114: Community-led local development strategies.
Durham County Council,South Durham CLLD Prep Stage,ESF,"The project will look to confirm an Accountable Body, establish a Local Action Group and produce a Local Development Strategy. South Durham CLLD area has been identified based on the top 20% most deprived SOAs and the eligible adjacent wards including Bishop Auckland, Shildon and Spennymoor, as per attached map. The population totalling 62,548.  In order to achieve this we will engage with the local communities.  To develop the LAG and the LDS we will use existing networks that have been developed and are operational through the Area Action Partnerships, within the identified area.",02. Feb 16,01. Okt 16,6900,11500,60%,DH1 5UQ,North East, England ,114: Community-led local development strategies.
Cambridgeshire ACRE,Wisbech Community-Led Local Development prep stage,ESF,"This project will support the activation of a Local Action Group (LAG) and the development of a Community Led Local Development Strategy (LDS) in a geographical area based around Wisbech and its adjacent communities in North Cambridgeshire and West Norfolk.  The geographic area has been selected to include the wards of Clarkson, Kirkgate, Waterlees, Hill, Peckover, Staithe and Medworth, as well as part of Roman Bank and Walsoken part of Walton Ward; the Emneth part of Emneth with Outwell Ward and the Elm and Friday Bridge parts of the Elm and Christchurch Ward.",01. Mrz 16,31. Okt 16,12179,24357,50%,CB7 4LS,Greater Cambridge/Peterborough, England ,114: Community-led local development strategies.
Peterborough City Council,Peterborough CLLD prep stage,ESF,"Gladstone, New England and Millfield are 3 neighbourhoods in Peterborough, spanning Central, North and Park wards, that face particularly high levels of multiple deprivation. The challenges faced by these communities have historically been difficult to address because of the complex cultural environment. The Peterborough CLLD programme will build on the existing efforts of local stakeholder groups to address the root causes of deprivation and barriers to work experienced in the area. Workshops will be held in order to reinforce existing collaboration, form a Local Action Group and produce a Local Development Strategy.",01. Mrz 16,30. Sep 16,19187,38375,50%,PE1 1QT,Greater Cambridge/Peterborough, England ,114: Community-led local development strategies.
Cornwall Development Company (CDC),AMLAG  CLLD Preparatory Support ESF,ESF,"This project is designed to secure preparatory funding to enable the AMLAG to develop a Community Led Local Development (CLLD) Local Development Strategy (LDS) for ESF for the most deprived communities in our area.  This preparatory phase will support the engagement and training of local stakeholders; support the costs of targeted consultation activity; studies and evidence gathering and related administrative costs.  At the end of this phase a fully evidenced based LDS for CLLD (ERDF/ESF) will be submitted to the Managing Authorities, the CLLD LAG will be established and the Accountable Body for the Delivery phase will be identified.",01. Mrz 16,31. Okt 16,16000,20000,80%,TR15 3QG,Cornwall and Isles of Scilly, England ,114: Community-led local development strategies.
Cornwall Development Company (CDC),C2CLAG  CLLD Preparatory Support ESF,ESF,"This project is designed to secure preparatory funding to enable the C2CLAG to develop a Community Led Local Development (CLLD) Local Development Strategy (LDS) for ESF for the most deprived communities in our area.   This preparatory phase will support the engagement and training of local stakeholders; support the costs of targeted consultation activity; studies and evidence gathering and related administrative costs.  At the end of this phase a fully evidenced based LDS for CLLD (ERDF/ESF) will be submitted to the Managing Authorities, the CLLD LAG will be established and the Accountable Body for the Delivery phase will be identified.",01. Mrz 16,31. Okt 16,16000,20000,80%,TR15 3QG,Cornwall and Isles of Scilly, England ,114: Community-led local development strategies.
Cornwall Development Company (CDC),South and East Cornwall Local Action Group (SELAG)  CLLD Preparatory Support ESF ,ESF,"This project is designed to secure preparatory funding to enable the SELAG to develop a Community Led Local Development (CLLD) Local Development Strategy (LDS) for ESF for the most deprived communities in our area.   This preparatory phase will support the engagement and training of local stakeholders; support the costs of targeted consultation activity; studies and evidence gathering and related administrative costs.  At the end of this phase a fully evidenced based LDS for CLLD (ERDF/ESF) will be submitted to the Managing Authorities, the CLLD LAG will be established and the Accountable Body for the Delivery phase will be identified.",01. Mrz 16,31. Okt 16,16000,20000,80%,TR15 3QG,Cornwall and Isles of Scilly, England ,114: Community-led local development strategies.
Cornwall Development Company (CDC),West Cornwall Local Action Group (WCLAG)   CLLD Preparatory Support ESF ,ESF,"This project is designed to secure preparatory funding to enable the WCLAG to develop a Community Led Local Development (CLLD) Local Development Strategy (LDS) for ESF for the most deprived communities in our area.  This preparatory phase will support the engagement and training of local stakeholders; support the costs of targeted consultation activity; studies and evidence gathering and related administrative costs.  At the end of this phase a fully evidenced based LDS for CLLD (ERDF/ESF) will be submitted to the Managing Authorities, the CLLD LAG will be established and the Accountable Body for the Delivery phase will be identified.",02. Mrz 16,01. Nov 16,16000,20000,80%,TR15 3QG,Cornwall and Isles of Scilly, England ,114: Community-led local development strategies.
Northamptonshire LEP,Delivering the Northamptonshire ESF Technical Assistance Strategy,ESF,"The project addresses the Northamptonshire Technical Assistance ambition, by providing a comprehensive service to ESF applicants, including hard to reach groups, supporting them to develop compliant and effective projects; and ensuring that EU publicity requirements are met, and the benefits of the funds are widely communicated. It will result in early delivery and expenditure as the applications submitted will be compliant and deliverable. It will ensure inclusivity as the needs of all client groups, including hard to reach groups, are addressed. Finally, it will publicise the benefits and successes of the programme and ensure that EU publicity requirements are met.  ",20. Jul 15,31. Mrz 18,200000,399995,50%,NN1 5DQ, Northamptonshire , England ,"121: Preparation, implementation, monitoring and inspection"
NIACE,Festival  Learning,ESF,"The Festival of Learning builds on Adult Learners' Weeks 25 year history, establishing a targeted national/regional promotion and engagement campaign, fostering partnership across City and LEP boundaries to promote and publicise ESF funded provision and outcomes achieved by learners and employers.  It will: 1. Profile successful outcomes from and recruitment to ESF funded learning and skills programmes across England 2. Celebrate learning via a focussed adult learners awards programme, a targeted digital communications strategy, a new City of Learning designation, and extensive local and national PR activity.",11. Sep 15,31. Dez 16,259269,518538,50%,LE1 7GE,National,England,123: Information and Communication
Gingerbread,Single Parent Employment Pathways,ESF,"Single Parent Employment Pathways will target the distinct needs of unemployed and inactive single parents across the Liverpool City Region. We will provide a wrap-around service for parents designed to help them overcome their barriers to employment and move into/closer to the labour market. Activities will include tackling issues with childcare, confidence and motivation, employment experience and low skills through intensive 1:1 support, employability skills training, basic IT, life skills, work placements, and embedded information advice and guidance. Sustained employment results will be targeted alongside progression into further education or training for parents who are furthest from the labour market.  ",25-Jan-2016,31. Dez 18,657915,1118388,"58,83%",NW5 1TL,Liverpool City Region, England ,"102. Access to employment for job-seekers and inactive people, including the long-term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility."
Liverpool Hope University,Hope Internship Programme,ESF,"HIP will support the Liverpool City Regions aim of increasing its graduate retention rates in a number of key growth sectors (professional services, creative & digital, visitor economy and life sciences). Through a structured and supported graduate internship programme, it will reduce graduate unemployment/underemployment across Merseyside, increase the number of people with high level skills active in the Liverpool City Region economy and increase business competitiveness levels of local employers.Over a 3 year period, the project will:

 Provide 170 unemployed graduates with bespoke careers advice, employability training and practical assistance in transitioning into the labour market at a level commensurate with their skills base.
 Deliver 170 graduate internship projects
 Create 60 new graduate-level jobs",04. Jan 16,01. Sep 18,375301,625502,60%,L16 9JD,Liverpool City Region, England ,"103: Sustainable integration into the labour market of young people, in particular those not in employment, education or training, including young people at risk of social exclusion and young people from marginalised communities, ncluding through the implementation of the Youth Guarantee."
Blackpool Council,Blackpool Mental Health & Employment Trailblazer,ESF,"This project, one of four national trailblazers, aims to test an integrated model of employment and clinical health support for up to 1,000 jobseekers in the Blackpool unitary authority area.  The target group will be active Employment Support Allowance (ESA) and Jobseekers Allowance (JSA) claimants who are assessed as having a common mental health or behavioural disorder, likely to act as a significant barrier to gaining and sustaining employment.  The primary aim of this model is to improve job outcomes for one the hardest to help cohorts in the labour market, evaluating its effectiveness alongside other national pilots.",01. Jul 16,31. Jul 18,1000000,1666667,60%,FY1 1NF,Lancashire, England ,"102. Access to employment for job-seekers and inactive people, including the long-term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility."
Career Connect,Pathways to Success,ESF,"Pathways to Success will support young people identified by schools, colleges, providers and Childrens Services who are at risk of becoming NEET.Pathways to Success will focus on developing resilience - in particular confidence, commitment, self-control, ability to withstand challenge - through a bespoke programme of interventions and support designed to overcome individual barriers to participation. Pathways to Success will ensure young people make informed and appropriate post-16 choices and are equipped with the necessary skills to sustain their positive progression.As the LCR local authorities provider of NEET services we will ensure the integration and additionally of this programme.",11. Apr 15,01. Dez 18,558801,931335,60%,L1 8LT,Liverpool City Region, England ,"102. Access to employment for job-seekers and inactive people, including the long-term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility."
North West Universities European Unit,Cheshire & Warrington TA,ESF,The project will aid the LEP to assist with the delivery of the ESIF Strategy and will aid the development and shaping of potential applicants activity to remove duplication; create better alignment with mainstream and ERDF programmes as well as increase the capacity of organisations across Cheshire to engage.This project will provide co-ordinated advice and guidance to organisations that wish to apply for Cheshire ESF funding; provide effective linkages e.g. from DWP to the LEP; LEP to partners; LEP to applicants and act as an intermediary between applicants and the Managing Authority. It will also serve as a link between the ESF Opt-ins and wider stakeholders to maximise engagement.,01. Okt 15,30. Jun 18,130212,260424,50%,M1 3HZ,Cheshire and Warrington, England ,123: Information and Communication
Liverpool City Region LEP,Liverpool City Region TA,ESF,"The Project will deliver integrated support to all partners and stakeholders wishing to develop projects for the ESIF programme aligned to the LCR strategy. The project will deliver dedicated LCR wide TA activity across ERDF and ESF, so this ESF TA application s a companion application to the ERDF TA application. It will focus on development of the project pipeline in key areas of the programme and with additional support through partnership engagement, continued support for projects progressing through the application process, promotion and publicity. It will work closely with the DWP ESF team (and GDT and EAFRD as required to ensure relevant linkages). The project will form part of the governance and management of the LCR Combined Authority. There will be a joint CA and LEP steering group. This application covers the ESF element of the TA project.",01. Okt 15,30. Jun 18,303845,514121,"59,10%",L69 3HN,Liverpool City Region, England ,123: Information and Communication
Liverpool City Region Combined Authority,Ways to Work YEI,ESF,"Ways to Work is a local intelligence-driven, comprehensive and integrated programme for young people and adults, designed to improve personal resilience and progress to sustainable employment. Incorporating our existing successful Youth Employment Gateway (YEG), workless and inactive people, including those furthest from the labour market will access a suite of individually tailored products which will add value to mainstream provision, respond to employer needs and yield better outcomes. High quality Information, Advice and Guidance (IAG), transitional employment (ILMs), and skills development are essential components of our offer, anchored by needs-led assessment, conducted by experienced mentors in this flexible support system.  ",01. Jan 16,31. Dez 18,19123499,42707132,59%,L69 3HN,Liverpool City Region, England ,"103: Sustainable integration into the labour market of young people, in particular those not in employment, education or training, including young people at risk of social exclusion and young people from marginalised communities, ncluding through the implementation of the Youth Guarantee."
Crosby Training ,Inspiring Futures,ESF,"The project will provide access to employment for adult jobseekers and other adult inactive people, targeting long term workless adults. We will focus on the most disadvantaged, for example those with health conditions, lone parents, carers and the BME community.  The project will deliver Information, Advice and Guidance (IAG), training (including job related and job seeking skills), Basic Skills, confidence building, advice / support regarding debt, volunteering, work experience and travel support. The project will achieve progression to employment, education or training, skills, qualifications, personal and social development for beneficiaries, including job-related skills and Basic Skills.",01. Mrz 16,31. Dez 18,247561,417000,59%,L20 4DY,Liverpool City Region, England ,"102. Access to employment for job-seekers and inactive people, including the long-term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility."
Cumbria county Council,Cumbria Technical Assistance,ESF,"The Cumbria Technical Assistance project will support the successful delivery of the Cumbria ESIF Strategy through enabling the development of eligible, compliant and deliverable projects that align with the needs of the calls for proposals.  The project will promote and communicate opportunities available through the ESIF Programme in Cumbria as well as providing a central point of contact for requests for support linked to EU funding.The project will work to ensure that Cumbria is fairly and effectively represented in any national or regional bids, will capture lessons learned and disseminate good practice from within Cumbria as well as that gathered from elsewhere in the country.

",01. Okt 15,30. Jun 18,101511,169185,60%,CA3 8NA,Cumbria,England,
Hartlepool Borough Council,Tees Valley Pathways,ESF,"This project will deliver personalised education, employment and enterprise pathways for young people aged 15 to 29. It will ensure existing best practice, such as Talent Match, is rolled out across the Tees Valley through the development and delivery of alternative education, work-related learning, sector routeways, virtual learning and enterprise programmes. Quality work experience will be secured for all participants through volunteering, traineeships, internships, work trials and work placements with employers. Ring-fenced flexible funds will offer additional learning and skills removing final barriers to ensure progression into education, employment and training.",01. Okt 15,31. Jul 18,6608670,17623120,60%,TA24 8AY,Tees Valley,England,"103- Sustainable integration into the labour market of young people, in particular those not in employment, education or training, including young people at risk of social exclusion and young people from marginalised communities, including through the implementation of the Youth Guarantee"
Hartlepool Borough Council,Tees Valley Routeways,ESF,"This project will provide tailored routeways for young people aged 15 to 29 years old to enter into priority employment sectors which are detailed within the Tees Valley Strategic Economic Plan including Digital and Logistics. The routeways will include employability and enterprise training, wrap-around support, work experience and one-to-one careers advice and guidance which will ensure hard to reach young people move closer to the labour market. Key to the success of the project will be employer engagement with companies across the sub-region to ensure that participants completing the routeways will progress into priority sector employment placements already secured",01. Okt 15,31. Jul 18,626211,1669896,60%,TA24 8AY,Tees Valley,England,"103- Sustainable integration into the labour market of young people, in particular those not in employment, education or training, including young people at risk of social exclusion and young people from marginalised communities, including through the implementation of the Youth Guarantee"
Tees Valley Combined Authority,Tees Valley ESF Technical Assistance Support 2015 - 18,ESF ,"This project will provide technical support to applicants seeking to access ESF funding in the Tees Valley. This support will ensure projects are designed and developed in a compliant manner, thus supporting the delivery of the ESF Operational Programme. It will support the Managing Authority (MA) in the delivery of its Communication Strategy by raising awareness of ESIF, holding workshops/events to publicise bidding rounds, promoting collaboration and cooperation, and sharing best practice.",01. Okt 15,30. Sep 18,177642,296070,60%,TS17 6QY,Tees Valley,England,123- Information and communication
Leeds College of Building,Step Up Into Construction,ESF ,"The Step Up Into Construction project will raise the profile of the Construction Industry through the engagement of a broad range of eligible participants, including under-represented groups.  A collaborative partnership (12 delivery partners, 10 strategic partners, and a network of employers) will use innovative market strategies and engagement activities to interest, excite, enthuse and attract potential individuals into training, construction and related industries, linked to Leeds City Region building programmes.  
560 participants will be engaged through activities in employability, vocational and professional construction interventions, work experience / visits to construction and associated sites, 205 will progress into further education or training and 180 into employment to help meet the expanding skills shortages in the construction industry
",01. Sep 15,30. Jun 17,500000,1000000,50%,LS2 7QT,Leeds City Region,England,"102-Access to employment for job-seekers and inactive people, including the long-term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility"
South East Midlands Local Enterprise Partnership (SEMLEP),South East Midlands European Social Fund Technical Assistance Programme 2015-18.,ESF ,This project will provide local support and advice for potential applicants for ESF to enable them to develop robust and compliant projects proposals. This support will enable organisations to apply for and deliver ESF co-funded projects to support residents and SMEs across the SEMLEP geography. There will also be activity to raise awareness of Community Led Local Development (CLLD) in the relevant areas in Luton and Corby.,21. Jul 15,31. Jul 18,203579,407157,50%,MK43 0BT ,South East Midlands LEP,England,123- Information and communication
Leicester City Council,LLEP (ESF) Technical Assistance Project 2015-18,ESF ,"This project will enhance the provision of services by approved providers through identifying the specific local needs relevant to the call for tenders as relevant to our local strategies.  Through the deployment of technical and specialist knowledge, the assistance has been designed to enable improved connectedness between all of the constituent parts of the ESF programme by supporting the Opt-In partners and providers delivering on the open calls in the ESF programme and to benefit from key learning, information and best practice to inform current as well as future policy direction for the provision and ultimately future LLEP strategies",01. Sep 15,31. Aug 18,425245,850491,50%,LE1 1FZ,Leicester and Leciestershire,England,123- Information and communication
Coventry City Council,Coventry and Warwickshire ESIF TA,ESF ,"Through a core team (1.7 FTE), the project will deliver technical assistance support to prospective ESIF applicants and projects within Coventry & Warwickshire.  This will facilitate the development of a strong pipeline of projects for each Thematic Objective that will address key Coventry & Warwickshire ESIF priorities, and maximise the impacts of ESIF-funded activities on the local economy. This activity will be directed at projects prepared in response to open calls for ESIF rather than for the opt-ins where support is already being made available. It will be achieved by delivering communications on Calls for Applications, supporting applicants at Outline and subsequently Full Application stage to ensure compliance with ESIF regulations, and facilitating the exchange of good practice and learning points between projects and applicants.",01. Jan 16,31. Dez 18,184059,368118,50%,CV1 2PY,Coventry and Warwickshire,England,123- Information and communication
Stoke-on-Trent City Council,Staffordshire Technical Assistance ESF,ESF ,"The project will increase the capacity of the organisations across Staffordshire to engage successfully with the 2014-2020 ESF programme.  Delivery Partners will:
Local Authority  Support bid development and co-ordination of ESF eligible/compliant projects and programmes.  FE Sector  Establish Skills Staffordshire to publicise and coordinate eligible ESF    activities.  VCSE Sector  Provide support to develop eligible projects and co-ordinate proposals,    playing a full and active part in the ESF programme. The project will ensure robust programme and financial management, forecasting and reporting to enable achievement of targets, focusing on adherence to ESF regulations ensuring compliance during the programme period
",01. Jan 16,31-Nov-18,472387,787311,60%,ST4 1HH,Stoke-on-Trent and Staffordshire,England,123- Information and communication
Herefordshire Council,Marches Technical Assistance Project,ESF ,"The Marches LEP was given a £41.4 million ESF notional allocation for 2014-2020. The Marches ESIF strategy describes how the Marches will invest its ESF allocation. This project application is being made for a Technical Assistance post to support the effective delivery of the Marches ESIF strategy (skills and employment and social inclusion priority themes), the ESF Operational Programme and the Marches Skills Plan by ensuring the applicants submit good quality and compliant applications, publicise calls and success stories.  Activities to be undertaken to achieve this include communication and awareness building, and sharing of best practice.  ",01. Jan 16,31. Dez 18,155879,275387,50% More Developed and 40% Transitional,HR4 0LE,The Marches,England,123- Information and communication
Voluntary Impact Northamptonshire,Unlocking ESF Potential,ESF ,"This Technical Assistance project will support VCS organisations to access European Funding, as within Northamptonshire, there is an identified lack of knowledge, confidence and readiness in Voluntary and Community Sector (VCS) organisations of how to access and deliver ESIF funded programmes. 
These organisations will in turn support hard to reach key ESF target groups that other providers find more difficult to access. 
We will deliver these outputs by addressing gaps in support to VCS organisations looking to access and deliver ESF through: 
 Awareness Raising 
 Support for bidding 
 Support for compliance 
",01. Apr 16,30. Apr 19,60979,121957,50%,NN1 1JA,Northamptonshire,England,123- Information and communication
Coventry City Council,Ambition Coventry,ESF (inc YEI),"Ambition Coventry will deliver coherent, quality marked services harnessing cross sector skills, knowledge and experience to support young people (YP) who are disengaged, or at risk of disengagement, into jobs. Ambition Coaches will provide personalised  support, directing referrals into an in place portfolio of Ambition Coventry quality marked barrier breaking, education, training and employability provision, delivered by a public, private and third sector consortium to provide tailored packages for each YP.  3,100 YP (including NEETS accessing no other support) will receive personalised support to meet their needs. At least 70% (2,170) will secure or make demonstrable progress towards securing employment.",01. Jan 16,31. Jul 18,7026944,10540416,66%,CV1 5RR,Coventry and Warwickshire,England,"103- Sustainable integration into the labour market of young people, in particular those not in employment, education or training, including young people at risk of social exclusion and young people from marginalised communities, including through the implementation of the Youth Guarantee"
