Name des Begünstigten ,Bezeichnung des Vorhabens,Zusammenfassung des Vorhabens ,Beginn des Vor-habens ,Ende des Vor-habens ,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens ,Unions-Kofinan- zierungssatz  pro Prioritäts-achse  ,Postleitzahl des Vorhabens ,Land ,Bezeichnung der Interventionskategorie
Kinder- und Familiencafé Konfetti Inh. Tatjana Lusik,Beratung durch selbständige Unternehmensberater im Bereich Unternehmenswachstum und Wettbewerbsfähigkeit,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,17.12.2014,15.11.2015,"9.000,00",80.00%,99084 Erfurt,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
Kindersprachbrücke Jena e.V.,GALILEO +,"Kurzbeschreibung „Galileo+“    Die Maßnahme soll an der TCMS „Galileo“ im Jenaer Stadtteil Winzerla stattfinden. Der Stadtteil und die Schule zeichnen durch eine sozial prekäre Mischung aus. Die Schule verlassen ca. 10% der Schüler/innen ohne qualifizierten Abschluss.    Die Projekte in dieser Maßnahme wirken auf drei Ebenen:  - Stärkung sozialer und motivationaler Kompetenzen von Schülern der Klasse 8 und 9  - Einführung und Etablierung alternativer Unterrichtsformen (WerkSTAflUnterricht) und Einbindung von Eltern  - Coaching und Schulentwicklung für das gesamte Pädagogenteam    Der Projektzeitraum ist vom 1.11.2015 bis 30.7.2018.    Die Maßnahmen bauen auf den guten Erfahrungen des Teamteachings, ein Zwei-Pädagogensystem von Lehrer und Sozialarbeiter, auf und setzen dies in der Klasse 8 und 9 modifiziert fort. Der WerkSTAflunterricht bietet die Möglichkeit mit externen Honorarkräften an den lebenspraktischen Kompetenzen der Schülerinnen und Schüler anzusetzen und die Motivation zu erhöhen, Schule als  Raum für die Erweiterung persönlicher Kompetenzen zu nutzen.    Träger der Maßnahme ist die Kindersprachbrücke Jena e.V.",01.11.2015,31.07.2018,"193.358,16",80.00%,07745 Jena,DE,"Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
Kindervereinigung e.V. Gera,ThINKA Gera,"Gera- Lusan ist der einwohnerreichste Stadtteil von Gera.Er liegt im Süden der Stadt zwischen  Zeulsdorf und der Bundesstrasse 92 und gliedert sich in drei Gemeindeteile. Hier leben 23.087  Menschen, das sind 22,9% der Geraer Bevölkerung.  Durch Rücbau und Sanierung sind in den letzten Jahren große Grünflächen und Freiräume enstanden,  es gibt Kindertagesstätten, Schulen, Einkaufsmöglichkeiten, viele Spielplätze und eine gute  Anbindung an den Öffentlichen Nahverkehr.  Aber es gibt auch 1.517 Lusaner Bürger, die arbeitslos sind. Das entspricht 27,6% der Arbeitslosen in  ganz Gera.      Unser Projekt ThINKA Gera soll in seiner Differenziertheit als sozialraumbezogene Konzeption  einen aktiven Beitrag zur sozialen Integration aller Lusaner Bürger leisten, helfen das Prinzip der  Chancengleichheit und Nichtdiskriminierung umzusetzen, einen Beitrag zur Herstellung bzw.  Verbesserung der Beschäftigungsfähigkeit und letztendlich auch zum Abbau von Armut leisten.  Wir setzen dabei verstärkt auf die Qualifizierung unserer Netzwerke, einer passgenaueren,  individuellen Beratung des Einzelnen und einer engen Verzahnung mit den Projekten TIZIAN und  LAP. Dafür haben wir die aktive Unterstützung der Stadt Gera und viele Kooperationspartner an  unserer Seite.",01.01.2015,31.12.2017,"367.466,28",80.00%,07549 Gera,DE,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
Kipper Schulz OHG,Beratung durch selbständige Unternehmensberater in den Bereichen Unternehmenswachstum und Wettbewerbsfähigkeit,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,18.03.2016,30.06.2016,"6.400,00",80.00%,36433 Moorgrund,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
Kirsch & Pabst GmbH & Co. KG,Beratung durch selbständige Unternehmensberater im Bereich Unternehmenswachstum und Wettbewerbsfähigkeit,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,02.04.2015,15.11.2015,"8.000,00",80.00%,98724 Sonneberg,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
Knut und Kerstin Bremer GbR Kühltransporte,"Beratung durch selbständige Unternehmensberater in den Bereichen Rationalisierungsmaßnahmen und Kostensenkungen, Technologietransfer und zur Technologieanwendung",Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,14.09.2015,15.11.2015,"8.850,00",80.00%,36469 Dönges,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
Kolping-Bildungswerk Thüringen e.V.,CHANCE - Perspektive für die soziale und berufliche Integration,"Für das Projekt „CHANCE“ ist eine Kapazität von 15 TN-Plätzen vorgesehen. Teilnehmer des Projektes kommen aus dem Rechtskreis des SGB II und gehören vorwiegend zur Altersgruppe U 25 in Ausnahmefällen bis zur Vollendung des 27. Lebensjahres.   Im Projekt werden sozial benachteiligte und/oder lernbeeinträchtigte/-behinderte Jugendliche mit multiplen Integrationshemmnissen betreut.    Zielgruppe des Projektes sind vor allem: Schulverweigerer und Jugendliche ohne Schulabschluss, Ausbildungsabbrecher, Jugendliche mit seelischen Behinderungen, Jugendliche, für die Hilfe zur Erziehung geleistet worden ist, ehemals drogenabhängige Jugendliche, Jugendliche mit Suchtproblemen, strafentlassene Jugendliche ohne Verhaltenskorrektur ,  junge Strafgefangene,  wenn die Aufnahme oder Fortsetzung einer Ausbildungsvorbereitung strafmindernd wirkt, jugendliche Migranten/Spätaussiedler mit Sprachschwierigkeiten deren Schul- oder Bildungsabschlüsse nicht anerkannt werden, jugendliche Lernbehinderte (Legasthenie, Dyskalkulie), Jugendliche mit einer ADHS (Aufmerksamkeitsdefizit – Hyperaktivitätsstörung), Jugendliche mit dissozialen Persönlichkeitsstörungen (geringes Unrechtsbewusstsein, unempfindlich gegen Strafen...), Jugendliche mit psychosomatischen Problemen, Jugendliche mit individuellen psychischen Störungen.    Das Projekt verfolgt das Ziel, individuelle Integrationshemmnisse abzubauen. Eng damit verbunden ist die Vermittlung eines positiven Lern- und Arbeitsverhaltens. Neben Schnittstellen zur Integrationsbegleitung, wie der Austausch förderrelevanter Informationen, Krisenintervention und familienunterstützende Hilfen, gibt es eine klare Abgrenzung zwischen den Aufgabengebieten der Integrationsbegleitung und denen des Teams  „CHANCE“ - Perspektiven für die soziale und berufliche Integration.  In „CHANCE“  steht die individuelle Ausbildungsreife und der nachträgliche Erwerb eines dem Hauptschulabschlusses gleichgestellten Abschlusses im Mittelpunkt.   Mit der Zielstellung des Projektes „CHANCE“ leisten wir in Zeiten des demografischen Wandels und eines Wandels des Arbeitsmarktes einen entscheidenden Beitrag, zur sozialen und beruflichen Integration junger Menschen in Thüringen. Wir unterstützen Jugendliche in der Phase ihrer beruflichen Orientierung und bereiten sie auf eine anschließende Ausbildung entsprechend der individuellen Bedarfe Farbe/Raumgestaltung, Hauswirtschaft, Bürowirtschaft Lager/Handel, Gartenbau und Möglichkeiten optimal vor. Neben beruflichen Inhalten in den Bereichen  stehen vor allem der Erwerb bzw. die Ausprägung und weitere Festigung von Schlüsselqualifikationen im Mittelpunkt des Projektes.",01.10.2015,31.08.2016,"145.524,52",80.00%,99089 Erfurt,DE,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
Kolping-Bildungswerk Thüringen e.V.,Sprungbrett Zukunft - Perspektive für gute Arbeit,"Mit dem Projekt „Sprungbrett Zukunft – Perspektiven für gute Arbeit“ werden 30 Teilnehmer in der kreisfreien Stadt Erfurt durch Einzelcoaching und modulare Gruppenarbeit individuelle Vermittlungshemmnisse von erwerbsfähigen Hilfebedürftigen abgebaut. Zur Erreichung der Projektziele ist eine wöchentliche Beteiligung der Teilnehmenden am Projekt von 15 Stunden angestrebt. Diese beinhaltet mindestens eine wöchentliche Veranstaltung, wenn sich die Teilnehmer in keinem individuellen Angebot befinden.  Das Strategiekonzept basiert auf dem Grundsatz „Leistung und Gegenleistung“, d.h. den Projektteilnehmern werden eine ganze Reihe von Betreuungs- und Beratungsleistungen, bei gleichzeitiger Intensivierung ihrer eigenen Anstrengungen, zur Lösung ihrer Problemlagen und zur Integration in den Arbeitsmarkt zur Verfügung gestellt. Nach Stabilisierung der persönlichen-sozialen Kompetenzen sammeln die Teilnehmer in betrieblichen Erprobungen Arbeitserfahrungen mit dem Ziel einer langfristigen, nachhaltigen Vermittlung in Arbeit.",01.11.2015,31.10.2018,"516.047,33",80.00%,99089 Erfurt,DE,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
Kolping-Bildungswerk Thüringen e.V.,Sprungbrett Zukunft - Perspektiven für gute Arbeit,"Mit dem Projekt Sprungbrett Zukunft - Perspektiven für gute Arbeit werden durch Einzelcoaching und modulare Gruppenarbeit individuelle Vermittlungshemmnisse von erwerbsfähigen Hilfebedürftigen mit psychischen Problemen und von Haftentlassenen abgebaut. Das Strategiekonzept basiert auf dem Grundsatz Leistung und Gegenleistung, d.h. den Projektteilnehmern werden eine ganze Reihe von Betreuungs- und Beratungsleistungen, bei gleichzeitiger Intensivierung ihrer eigenen Anstrengungen, zur Lösung ihrer Problemlagen und zur Integration in den Arbeitsmarkt zur Verfügung gestellt. Nach Stabilisierung der persönlich-sozialen Kompetenzen sammeln die Teilnehmer in betrieblichen Erprobungen Arbeitserfahrungen mit dem Ziel einer langfristigen, nachhaltigen Vermittlung in Arbeit.",01.06.2016,31.12.2018,"297.039,56",80.00%,99610 Sömmerda,DE,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
Konradi Ladenbau GmbH,"Beratung durch selbständige Unternehmensberater in den Bereichen Produktportfolio, Marktanalysen und Marketing",Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,30.07.2015,31.01.2016,"12.040,00",80.00%,37308 Heilbad Heiligenstadt,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
Kraftfahrzeug-Innung Westthüringen,Überbetriebliche Ergänzungslehrgänge für 75 Personen,"Im Bereich der überbetrieblichen Ausbildung zeigten sich in  der Vergangenheit häufig Defizite im Ausbildungsstand der  Auszubildenden. Weiterhin fehlten laut Aussage der  Ausbildungsbetriebe einige Ausbildungsinhalte in der  Ausbildung zum Kfz-Mechatroniker (Schweißen). Deshalb  sollen Lehrgangsinhalte aus den verschiedenen  überbetrieblichen Lehrgängen (ÜLU-Lehrgang) vertieft und  erweitert werden. Die Anwendung unterschiedlicher Meß  und Prüfgeräte, sowie der Umgang mit den  Werkstatinformationsprogrammen und den  Werkstattinformationssystemen sollen gefestigt werden.  Verschiedene unterschiedliche Ausbildungsinhalte wie z. 8.  Motormechanik / Schweißtechnische Unterweisung, die nicht  mehr Bestandteil des Ausbildungsrahmenplanes sind, die  aber für den beruflichen Wertegang sehr wichtig sind, sollen  durch die Ergänzungslehrgänge vermittelt werden. Die  Lehrgangsteilnehmer werden nach Anleitung, je nach  Lehrgangsinhalt, an verschiedenen fachpraktischen  Aufgabenstellungen z.B. an Schulungsmodellen,  Funktionsmodellen oder Schulungsfahrzeugen arbeiten.",05.01.2015,31.08.2015,"39.390,00",80.00%,"99867 Gotha, Thür",DE,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege"
Kraftfahrzeug-Innung Westthüringen,Überbetriebliche Ergänzungslehrgänge für 180 Personen,"Im Bereich der überbetrieblichen Ausbildung zeigten sich in der Vergangenheit häufig  Defizite  im Ausbildungsstand der Auszubildenden.   Weiterhin fehlten laut Aussagen der Ausbildungsbetriebe einige für sie wichtige Ausbildungsinhalte  in der Ausbildung zum Kfz-Mechatroniker (Schweißen).   Deshalb sollen im Rahmen der überbetrieblichen Ergänzungs-lehrgänge Lehrgangsinhalte aus den verschiedenen über-betrieblichen Lehrgängen (ÜLU-Lehrgang)  vertieft und erweitert werden.    Die Anwendung unterschiedlicher Meß- und Prüfgeräte, sowie der Umgang mit den Werkstattinformationsprogrammen und den Werkstattinformationssystemen  sollen gefestigt werden.     Verschiedene  unterschiedliche  Ausbildungsinhalte wie z. B. Motormechanik / Schweißtechnische Unterweisung, die nicht mehr Bestandteil des Ausbildungsrahmenplanes sind, die aber für den beruflichen Wertegang sehr wichtig sind, sollen durch die überbetrieblichen Ergänzungslehrgänge  vermittelt werden.    Die Lehrgangsteilnehmer werden nach Anleitung, je nach Lehrgangsinhalt,  an verschiedenen fachpraktischen  Aufgabenstellungen z.B. an Schulungsmodellen, Funktionsmodellen oder Schulungsfahrzeugen arbeiten.",09.11.2015,14.08.2016,"35.100,00",80.00%,"99867 Gotha, Thür",DE,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege"
Kreishandwerkerschaft Nordthüringen (Eichsfeld-Nordhausen),Überbetriebliche Ergänzungslehrgänge für 106 Personen,"Die Kreishandwerkerschaft Nordthüringen möchte den Auszubildenden im Handwerk auch dieses Jahr wieder die Möglichkeit geben, ihr bisher erlangtes Wissen mit Hilfe den von uns angebotenen Ergänzungslehrgängen zu festigen bzw. zu ergänzen.  Wir verfolgen das Ziel, vorwiegend den Auszubildenden im 2. und 3. Ausbildungsjahr, aber auch teilweise im 1. Ausbildungsjahr, die verschiedensten Qualifikationsmöglichkeiten anzubieten.  So können eventuelle Bildungsdefizite nicht nur in den theoretischen, sondern auch in den praktischen Ausbildungen abgebaut werden.  Wir werden den Unterrichtsstoff der Ergänzungslehrgänge praxisorientiert bzw. den praktischen Bedürfrissen unserer Handwerksbetriebe umsetzen. Unsere angebotenen Ergänzungslehrgänge werden dazu beitragen können, in den verschieden  Gewerken die teilnehmenden Auszubildenden mit den handlungsorientierten Fähigkeiten, nach ihrer hoffentlich erfolgreich abgeschlossenen Berufsausbildung, noch bessere Chancen auf dem heutigen Arbeitsmarkt zu haben. Im Jahr 2015 werden wir nur Ergänzungslehrgänge für die Kraftfahrzeugmechatroniker anbieten. Besonders im Bereich Kfz (speziell Kfz E 2.5, Kfz E 2.6 und Kfz E 2.8) haben wir oft Nachfragen von Auszubildenden. Somit haben wir dort eine höhere Anzahl an Teilnehmern eingeplant.  Für das Jahr 2015 haben wir für den Kfz Bereich folgende Lehrgänge geplant:  Kfz-Mechatroniker:  Kfz E 1.1 = Verfahren der Metallbearbeitung  Kfz E 2.1 = Kunststoffverarbeitung  Kfz E 2.2 = Elektrische Anlagen im Kfz  Kfz E 2.3 = Motorinstandsetzung  Kfz E 2.4 = Widerstandspunktschweißen / Hartlöten  Kfz E 2.5 = Gasschweißen und Löten im Kar  Kfz E 2.6 = MSG-Dünnblechschweißen im Karosseriebau  Kfz E 2.8 = Verbindungsteclmik (Löten, Schweißen, Trennen)  Kfz E 4.2 = Diagnose an elektronischen Fahrzeugsystemen",01.02.2015,31.08.2015,"0,00",80.00%,37327 Leinefelde-Worbis,DE,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege"
Kreishandwerkerschaft Nordthüringen (Eichsfeld-Nordhausen),Praxisnahe Berufsorientierung in den Schuljahren 2015/2016 und 2016/2017 in der Gebietskörperschaft Landkreis Eichsfeld,"Kurzbeschreibung    „Praxisnahe Berufsorientierung in den Schuljahren 2015/2016 und 2016/2017 in der Gebietskörperschaft Landkreis Eichsfeld“    Die Kooperationsmaßnahme besteht aus der Trägervereinigung Kreishandwerkerschaft Nordthüringen, Internationaler Bund - IB Mitte gGmbH und der Bildungs-Zentrum-Deuna gGmbH, die in gemeinschaftlicher Arbeit die Berufs-orientierung in Form von Berufsfelderkundungen und Berufsfelderprobungen für alle Förderschulen, Regelschulen und Gymnasien im Eichsfeldkreis durchführen.    Auf der Grundlage der Thüringer Landesstrategie zur praxisnahen Berufsorientierung und der strategischen Arbeitsfelder aus dem Trendatlas Thüringen 2020 werden Zugänge zu ausgewählten Berufsfeldern in unterschiedlichster Weise und geschlechtersensibel eröffnet. Berufe und Tätigkeiten außerhalb der Schule werden vorgestellt und erlebbar gemacht. So findet das „Erleben“ in Laboren, beruflichen Ausbildungskabinetten und direkt im Unternehmen statt.    Das Angebot gilt für Schülerinnen und Schüler der Klassenstufen 7 bis 9, die auf den Erwerb des Haupt- und Regelschulabschlusses vorbereiten und insbesondere Schülerinnen und Schüler mit sonderpädagogischem Förderbedarf auch für die Klassenstufe 10.     Für Schülerinnen und Schüler der Klassenstufen 9 bis 11 unserer Gymnasien gilt das Angebot im Bereich MINT- Berufe im Bereich Mathematik, Informatik, Naturwissen-schaft und Technik.    In der Klassenstufe 7 werden mit den Schülern im Umfang von 30 Stunden Berufsfelderkundungen (Metall/Elektro, Gesundheits- und Pflegeberufe, Bau/Holz, Farbe & Raum, Lager/Logistik), realisiert, die dann Grundlage für spezielle Berufsfelderprobungen in der Klassenstufe 8 bilden. Schülerinnen und Schüler mit sonderpädagogischem Förderbedarf können etwa den dreifachen Umfang an Erkundungs- und Erprobungsstunden wahrnehmen.    Für Schülerinnen und Schüler der beteiligten Gymnasien realisieren wir als Trägerverbund hier in ausgewählten MINT Berufsfeldern (Produktionstechnik, Informatik, Mathematik & Naturwissenschaften, Bau- und Gebäudetechnik) eine 30 stündige Berufsfelderprobung in den Klassen 9 oder 10.    Die Maßnahme soll dazu beitragen, dass weniger Schulabgänger unvorbereitet eine Ausbildung beginnen, also keine bzw. zu geringe Kenntnisse zu späteren Berufserwartungen besitzen. Dies sind auch Ergebnisse von Schul- und Bildungskonferenzen. Durch eine gezielte Berufswahlvorbereitung und praktisches erleben der Berufe werden Eignungen und Neigungen für bestimmte Berufsfelder deutlich gemacht. Der für Mädchen typischen Angst oder Abneigung gegenüber technischen Bereichen gilt es entgegenzuwirken, ebenso erhalten Jungen die Möglichkeit soziale Berufe, wie Altenpfleger, kennen zu lernen.    Schülerinnen und Schüler erfahren durch eigene Praxis, welche Tätigkeiten ihnen liegen und welchen sie nicht in ihrem späteren Beruf nachgehen möchten.    Dabei nutzen wir im Rahmen von Kooperationen zwischen den Bildungsträgern die jeweils vorhandenen Kernkompetenzen in den Berufsfeldern zur Erweiterung des Gesamtspektrums der Angebote. Eine umfassende Berufsorientierung soll dazu führen, dass die Jugendlichen ihre Berufs- bzw. Ausbildungswahl so treffen, dass zukünftige Ausbildungsabbrüche reduziert oder gänzlich vermieden werden können. Die Kooperationspartner sind in der Lage, alle für die Region relevanten Ausbildungsbereiche im Projekt anzubieten.    Unser Konzept basiert auf hoher Effektivität und den Vorgaben unserer Qualitäts-Management-Systeme.   Wir arbeiten als Kooperationsmaßnahme mit regionaler und zielgruppenspezifischer Schwerpunktsetzung. Während der Altkreis Worbis schwerpunktmäßig durch die Kreishandwerkerschaft Nordthüringen und der BZD gGmbH betreut wird, arbeitet im Altkreis Heilbad Heiligenstadt die IB-Mitte gGmbH an dem Thema der Berufsvorbereitung.    Der vorliegende Maßnahmeteil der Kreishandwerkerschaft wird im Schuljahr 2015/16 insgesamt 410 Regelschüler beinhalten, im Schuljahr 2015/16 etwa 399 Regelschüler.",01.09.2015,31.07.2016,"88.098,60",80.00%,37327 Leinefelde-Worbis,DE,"Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
Kreishandwerkerschaft Nordthüringen (Eichsfeld-Nordhausen),Praxisnahe Berufsorientierung in den Schuljahren 2015/2016 und 2016/2017 in der Gebietskörperschaft Nordhausen (Los 6) - Berufsstart Regio Nord,"Das Konzept richtet sich an Schülerinnen und Schüler der Klassenstufen 7-9 mit und ohne besonderen Förderbedarf an Regelschulen.    Anfassen, Ausprobieren und Hinterfragen“  - ein Verbundkonzept von 7 Bildungsdienstleistern und der Hochschule Nordhausen zur qualifizierten praxisnahen Berufsorientierung auf der Basis der „Landesstrategie Berufsorientierung“.     Die Berufsfelderkundungen und Berufsfelderprobungen in MINT-Berufen und technischen Studiengängen sowie im Bereich Pflege unterstützen mit gezielten praxisnahen Angeboten die Ausbildungsbereitschaft in technischen Berufen sowie in Gesundheits- und Pflegeberufen und binden die regionale Wirtschaft mit Angeboten zur Berufsfelderprobung ab Klasse 8 ein.  Dazu werden auch junge Auszubildende aus den Kooperationsbetrieben der Träger genutzt, die ihre positiven Erfahrungen und ihre Zukunftsperspektiven in der regionalen Wirtschaft schildern. Unser Motto: Anfassen, Ausprobieren und Hinterfragen soll die Attraktivität der Ausbildung in Betrieben der Region unterstützen und wird von unserem pädagogischen Konzept begleitet.  An der praxisnahen Berufsorientierung im Landkreis Nordhausen nehmen alle allgemein bildenden Schulen, 3 Förderzentren und die Gymnasien der Stadt und des Landkreises teil.    Das Projekt verfolgt folgende Ziele:  - Vorbereitung der Berufs- bzw. Studienwahlentscheidung  - Vorbereitung auf Ausbildungsverhältnisse  - Vermeidung von späteren Ausbildungsabbrüchen  - Unterstützung des Bewerbungsprozesses    Der Bezug zu naturwissenschaftlichen Fächern, zu verschiedenen Materialien oder Stoffen wird durch die Maßnahme anschaulicher. Die Anwendung von mathematischen Grundkenntnissen wird mit Sicherheit weiter gefestigt und verinnerlicht.    In den jährlichen Berichten wird die Agentur für Arbeit, Berufsberatung über die Anzahl der teilnehmenden Schülerinnen und Schüler, die erzielten Ergebnisse, das Berufsfeldwahlverhalten und die Entwicklung der Berufsreife in Kenntnis gesetzt.    Dabei achten wir besonders auf die Ausbildungsbereitschaft und das Ausbildungsniveau in den angebotenen Berufsfelderprobungen. Jeder Träger führt einen Praktikakatalog mit Ausbildungsbetrieben, die zur Auswahl stehen. Die Praktikakapazität beträgt ca. 250 Betriebe in der Stadt und im Landkreis Nordhausen bezogen auf alle Verbundpartner. Zu diesen in der Ausbildung erfahrenen Betrieben bestehen zu den verantwortlichen Ausbildern langjährige persönliche Kontakte, die die Betreuung während der Berufsfelderprobungen gewährleisten.     Der vorliegende Maßnahmeteil der Kreishandwerkerschaft wird im Schuljahr 2015/16 insgesamt 219 Regelschüler beinhalten, im Schuljahr 2016/17 etwa 159 Regelschüler.    Die Maßnahme wird in Nordhausen in der Bleicheröder Str. 6 im Ausbildungszentrum der Kreishandwerkerschaft Nordthüringen durchgeführt.    Die angebotenen Berufsfelder der Kreishandwerkerschaft Nordthüringen sind:   Holztechnik   Bautechnik",01.09.2015,31.07.2016,"25.185,60",80.00%,"99734 Nordhausen, Thür",DE,"Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
Kreishandwerkerschaft Nordthüringen (Eichsfeld-Nordhausen),Qualifizierung in Handwerksbetrieben in Nordthüringen,"Zielgruppe:  - Inhaber und Beschäftigte von Handwerksbetrieben    Inhalte:  - Schweißerkurse  - Auto-CAD  - Motorsägenschein  - Turmdrehkran  - Büro- / Betriebswirtschaft  - VOB  - Kurse Vorarbeiter, Poliere, Obermonteuere  - Boden, Lehm, Pflaster    Ziele:  - Erhaltung der Wettbewerbsfähigkeit  - Sicherung der Beschäftigung während der Wintermonate  - Fachkräftesicherung",15.02.2016,31.12.2016,"192.828,48",80.00%,37327 Leinefelde-Worbis,DE,"Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen Rahmen, Steigerung des Wissens sowie der Fähigkeiten und Kompetenzen der Arbeitskräfte sowie die Förderung flexibler Bildungswege, unter anderem durch Berufsberatung und die Bestätigung erworbener Kompetenzen"
Kreisjugendring Nordhausen e.V.,ThINKA Nordhausen,"Der Kreisjugendring Nordhausen e.V. möchte das soziale Miteinander fördern und gesellschaftlicher  Vereinzelung und Ausgrenzung in der jungen Landgemeinde Harztor entgegenwirken. Ziel ist es  bedarfsgerechte Unterstützungsangebote und sozialintegrative Netzwerke aufzubauen und  weiterzuentwickeln.  Im Rahmen der th.inka-Projektideen betreut der Kreisjugendring Nordhausen e.V. seit März 2013  unter dem Namen Bürgerservice Harztor eine aktivierende, bürgernahe und unkomplizierte  Anlaufstelle für Beratungsthemen zu jeder Lebenslage. Hierbei stehen Bürgerinteressen und -  bedürfnisse im Fokus und werden mit sozialen Angeboten zusammengeführt.  Durch den Bürgerservice werden unter anderem die beiden Bürgertreffs in den Ortsteilen  Niedersachswerfen und Ilfeld betrieben. Hier bieten sich die Möglichkeiten Gesprächsrunden zu  etablieren, Einzel- und Gruppenberatungen anzubieten oder Vorträge durchzuführen. Damit sind die  Bürgertreffs Begegnungsstätten für Jeden. Soziale Aktivitäten werden gemeinsam geplant und  durchgeführt. Die Bürgertreffs sind mindestens 2x wöchentlich für jeden Interessierten geöffnet.  Angebote wie Einzelfallhilfe, Beratung bei familiären Konflikten, Unterstützung bei der Jobsuche,  Hilfe bei der Bewältigung persönlicher Krisen, Vertretung der Bürgerinteressen, Unterstützung bei  sozialen Projekten, Vereinen und ehrenamtlichem Engagement stellen nur einge wichtige Schritte dar,  um die Ziele der Inklusion von BürgerInnen mit arbeitsmarktfernen Profillagen, Armutsrisken oder  weiteren Problemlagen wieder in das Gemeinwesen und bestenfalls in ein Erwerbsleben zu erreichen.  Wichtigste Methoden dabei bleibt die Person des Sozialarbeiters, der Empowermentansatz (Hilfe zur  Selbsthilfe) und das schaffen von tragfähigen professionellen Beziehungen zu den Zielgruppen und  den wichtigen Kooperationspartnern.  Mit 87 Einzelfallberatungen, 97 abgeschlossenen Kooperationen und der deutlichen Anerkennung und  Unterstützung durch die Landgemeinde selbst und den Landkreis Nordhausen. Ist das Projekt in  Harztor erfolgreich verwurzelt und bedarf nun einer Fortführung und Verstetigung.",01.01.2015,31.12.2017,"312.155,66",80.00%,"99734 Nordhausen, Thür",DE,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
