projekttitel,start_dato,slut_dato,ordning,Indsatsområde,budget,eu,tas_projekt_besk,region,cvr,navn,vejnavn,postnr,bynavn,parter,
Nordjysk Iværksætter Netværk,04.10.2010,31.08.2015,ESFN,Etab. og udvikling af nye virksomh.,"39102787,95","18726912,51","Nordjysk Iværksætter Netværk v. Væksthus Nordjylland og de nordjyske erhvervskontorertilbyder rådgivning før, under og efter start af egen virksomhed. Erfaringsmæssigt giver det enforøget vækst og omsætning i de deltagende iværksætteres virksomheder, ligesom de skaberAnsøgerID: 10175 - Version: 1- Dato: 22. Juni 2011-14:8 28flere arbejdspladser end andre iværksættere. Rådgivningen sker i et samarbejde med over 2000private rådgivere, primært revisorer, advokater og reklamebureauer. Ordningen er beskrevet påhjemmesiden www.NiN.dk.",Nordjylland,29826358,Væksthus Nordjylland,Niels Jernes Vej 10,9220,Aalborg Øst,Thy Erhvervsråd. Aalborg Erhvervsråd. Frederikshavn Erhvervsråd. Hjørring Erhvervscenter.,
"Mit Nordjylland - aktiv, kreativ og tid til det gode liv",01.01.2008,28.02.2012,ERDFN,Innovation og videndeling,"39160016,54","19580008,27","Mit Nordjylland - aktiv, kreativ og tid til det gode liv er en samlet strategi for nordjysk turisme 2008 ¿ 2010. De i alt syv strategiske indsatser er det aktive Nordjylland, det kreative Nordjylland, det gode liv i Nordjylland og MICE mødeprogram samt nordjysk helårsturismeprojekt, nordjysk turismeinfrastruktur og nordjysk gæstfrihedsprogram. Dette er samlet i et rammeprogram. Gæstfrihedsprogrammet søges særskilt i Socialfonden. De strategiske indsatser og programmer iværksættes med en række delindsatser, hvor det overordnet handler det om at udvikle samspillet og innovationskraften blandt interessenter i nordjysk turisme som platform for produktudvikling, information, formidling og tilgængelighed. VisitNordjyllands opgave er at koordinere, stille værktøjer til rådighed, skabe kontakter, facilitere netværk, komme med ny viden, markedsføre og skabe sammenhæng mellem lokal, regional og national indsats. Alt i alt en indsats, som i høj grad involverer både offentlige og private aktører. Den samlede strategi for nordjysk turisme 2008 ¿ 2010 er udarbejdet på baggrund af en visionsproces i nordjyske turisme, hvor ""Vision 2020 Mit Nordjylland ¿ aktiv, kreativ og tid til det gode liv¿ er sigtelinien, som strategien rettes imod gennem den strategiske målsætning:Nordjysk turisme skaber værdi og vækst for Nordjylland ved være et internationalt fristed med kvalitetsbevidste, kreative, og gæstfrie oplevelser, rekreation og samvær til gæster året rundt.Det er dermed de fælles mål for de strategiske indsatser i nordjysk turisme, som præsenteres i projektkataloget. De strategiske indsatser bygger på den fælles opgave, som nordjysk turisme har i de nordjyske oplevelseserhverv: Nordjysk turisme udvikler og markedsfører nyskabende, internationale helårsturismeprodukter og turismeservice i nordjysk oplevelsesøkonomi. I processen med at udvælge konkrete indsatser har grundlaget været koblingen mellem nordjysk turisme som en selvstændig udviklingsplatform i oplevelsesøkonomien og det nordjyske vækstforums erhvervsudviklingsstrategi og den regionale udviklingsplan. Herudover er der kobling til VisitDenmarks nationale tiltag.",Nordjylland,24245950,Turistudviklingsfonden Nordjylland,Skeelslundvej 99,9440,Aabybro,,
Århundredets Skipperskole,10.11.2008,30.06.2012,ERDFN,Innovation og videndeling,"39251254,45","8383984,9","Skagen Skipperskole, den eneste tilbageværende skipperskole i Danmark, har de seneste år oplevet en øget søgning til skolens uddannelser til Fiskeskipper og Sætteskipper, samt en øget interesse for skolens efteruddannelseskurser indenfor bl.a. radio og navigation. Skolens elever kommer primært fra Danmark, men der ses også en øget søgning fra international side, især fra de øvrige nordiske lande.Det øgede aktivitetsniveau har gjort, at skolen har sprængt rammerne i de nuværende bygninger, og derfor ønsker at opføre en ny skipperskole - Århundredets Skipperskole - på det nyetablerede areal på Skagen Vesthavn. Århundredets Skipperskole skal sikre de fysiske rammer for et fortsat kompetenceløft i dansk fiskeri og søfart, bl.a. gennem udvikling af en ny simulator til undervisning i navigation og skibsføring, en simulator som vil bygge på det ypperste der teknologisk er muligt i dag, og hvori der vil kunne simuleres på alle de faktorer, der spiller ind i forhold til en økonomisk og miljømæssigt bæredygtig sejllads i såvel fiskeri- som handelsflåden.Århundredets Skipperskole skal endvidere sikre, at Nordjylland fastholder og udvikler sin position som Danmarks vigtigste fiskeriregion og et aktivt uddannelsessted indenfor det maritime område.",Nordjylland,25017617,Skagen Skipperskole,Kuttervej 13,9990,Skagen,,
Den Innovative Virksomhed,02.09.2010,31.05.2015,ESFD,Innovation og videndeling,"39322094,1","19661047,05","Projekt ¿Den Innovative Virksomhed¿ er et innovations- og kompetenceudviklingsprojekt, hvis partnere kommer fra Tønder, Ærø, Langeland, Svendborg, Faaborg-Midtfyn, Assens og Odensekommuner. Projektet er bygget op omkring indsigt i industrivirksomheders udfordringer og behov opnået gennem to forprojekter, som har været baseret på direkte dialog med 80 virksomheder.Projektet har som formål at skabe vækst og arbejdspladser i en række industribrancher i Syddanmark, der på den ene side udgør en lokal og regional styrkeposition, men som på den anden side er under stærkt pres på globalt niveau og på relativt kort sigt står over for en risiko for massive afskedigelser. Projektet arbejder ud fra den antagelse, at der fortsat er et uforløst innovationspotentiale i virksomhederne og at en omstilling til systematiseret innovation og vægtning af medarbejderkompetencer vil kunne bidrage til, at virksomhederne fortsat kan klare sig i en globalkonkurrence. Projektet vil gennem en målrettet indsats for det første udvikle virksomhedernes innovative evne og konkurrencedygtighed, hvilket vil generere efterspørgsel efter kvalificeret arbejdskraft, og for det andet levere den fornødne efteruddannelse af den eksisterende arbejdskraft. Projektets arbejder med et helhedssyn på virksomheden og målgrupperne er derfor hhv. 1) virksomheden/ledelsen og 2)medarbejderne.Projektet har samtidig som målsætning at benytte eksisterende tilbud i det omfang, disse i forvejen leverer ydelser, som virksomheder i projektet har behov for.Projektet har fire kerneaktiviteter: 1)Opstartsfase 2) virksomhedsanalyse, 3) opkvalificering af virksomheder og medarbejdere og 4) samarbejder og netværksdannelser. Aktiviteterne retter sig mod både virksomheder og medarbejdere og indeholder individuelle såvel som fælles tiltag til gavn for hele virksomheden.Det er projektets mål, at flest mulige virksomheder gennemgår det samlede aktivitetsforløb, men for fleksibilitetens skyld og for at imødekomme virksomheder, der er interesserede i én bestemt ydelse, er aktiviteterne formet som moduler, der kan vælges enkeltvis.Projektet har en målsætning om at inddrage 90 virksomheder i projektforløbet. Det gennemsnitligemedarbejderantal per virksomhed forventes at være 20. Ud af de 1800 medarbejdere forventes 25% atdeltage i projektinitierede aktiviteter, dvs. 450 medarbejdere. Alle virksomheder forventes at forbedre mulighederne for at fastholde medarbejdere. Virksomhederne forventes også alle at indføre nye samarbejder i projektperioden.Som samarbejdspartnere indgår virksomheder, erhvervsråd, brancheorganisationer, fagforeninger,uddannelsesinstitutioner og Kommuner. Projektet har således en stærk lokal forankring, og det ermålsætningen at drive det videre efter projektperiodens ophør. August 2013 er der givet et supplerende tilsagn til projektet (""Fyns maritime klynge""). Samtidig er den samlede projektperiode udvidet fra den 30-09-2014 til den 31-12-2014. Det supplerende tilsagn er en del af den maritime satsning på fyn, og indebærer kompetanceudviklingsforløb om innovationssamarbejde, netværksopbygning og internationalisering for de deltagende virksomheder, i alt forudsat 60 deltagere fra 30 virksomheder.",Syddanmark,29188645,Faaborg-Midtfyn Kommune,Tinghøj Allé 2,5750,Ringe,Force Technology. Tønder Kommune. Odense Kommune. EUC Syd. Tønder Handelsskole. Erhvervsakademi SydVest. Udvikling Fyn A/S.,
Syddansk lånefond til yderområderne,29.11.2010,31.12.2015,ESFD,Etab. og udvikling af nye virksomh.,"40613145,27",20000000,"Syddansk Vækstforum har i Handlingsplan 2011 besluttet at arbejde for at oprette en regional lånefond for iværksættere i yderområderne. Derfor søger Region Syddanmark om 20 mio. kr. fra Den Europæiske Socialfond til at oprette Syddansk Lånefond for yderområderne. Syddansk Lånefond skal lette adgangen til lånekapital til små- og mellemstore virksomheder i yderområderne i etablerings-, begyndelses- eller ekspansionsfasen ved at yde mindre lån på lempelige vilkår.",Syddanmark,34216630,Fonden for Syddansk Vækstfremme,Fruebjergvej 3,2100,København Ø,Fonden for Syddansk Vækstfremme.,
Globale Vækstvirksomheder i Region Sjælland,01.10.2011,30.04.2015,ESFS,Innovation og videndeling,"41039850,02","19219528,4","Globale Vækstvirksomheder i Region Sjælland er et internationaliseringsforløb for små- og mellemstore virksomheder i Region Sjælland, der har til formål at give regionens virksomheder det nødvendige kompetenceløft til at kunne begå sig internationalt. Programmet tilbyder internationaliseringsplan for virksomheden, intensiv træning af ledende medarbejdere i regionens SMV¿ere, finansiering af kompetencegivende rådgivning, indstationering af ind- og udenlandske studerende til at løse en given business case, samt relevant netværksdannelse.Projektet er nyskabende, da det har til formål at kompetenceløfte Region Sjællands arbejdskraft og virksomheder til at begå sig på det globale marked. Samtidig giver projektet SMV¿ere mulighed for at få adgang til dén viden og træning i internationalisering, som landets allerstørste virksomheder tilbyder sine ansatte idag, og som ikke hidtil har været tilgængelig for SMV¿erne. Det forventes at minimum 120 virksomheder med hver 1-2 ledende medarbejdere deltager i programmet.Den forventede effekt af programmet er at øge deltagende virksomheders viden og internationale kompetencer for at sikre en større internationaliseringsgrad og eksportandel ¿ og dermed samlet set bidrage til en øget konkurrenceevne for Region Sjælland.",Sjælland,30089464,Den Erhvervsdrivende Fond Væksthus Sjælland,Marienbergvej 132,4760,Vordingborg,Syddansk Universitet. University College Sjælland. Erhvervsakademi Sjælland. Holbæk Regionens Erhvervsråd.,
Talent Bridge,01.01.2012,31.12.2014,ESFH,Udvikling af menneskelige ressourcer,"41054779,74","20478834,5","Copenhagen Talent Bridge vil skabe en regional platform og regionalt samarbejde til at tiltrække og fastholde internationale talenter i hovedstadsregionen. Copenhagen Talent Bridge har fokus på kompetenceudvikling af internationale talenter, netværksskabelse, vidensdeling på tværs af regionens talentaktører, koordinering af eksisterende aktiviteter samt understøtte at flere danske SMV¿ere kan ansætte og håndtere internationale medarbejdere i deres virksomheder. Talentdagsordenen er central for regionens fremtidige konkurrencekraft. Derfor er en række aktører i hoved-stadsregionen gået sammen for at imødekomme denne udfordring og søsætte en række initiativer på talent-området. Igangsættelse af Copenhagen Talent Bridge er et initiativ, der følger op med konkret og fokuseret handling på baggrund af de udfordringer og mangler, som rapporter og analyser har påpeget, at regionen står overfor, når det gælder internationale talenter.Copenhagen Talent Bridge er inddelt i seks arbejdspakker, der er afhængige af hinanden, men som på hver deres område skaber konkret resultatskabelse for fastholdelse og tiltrækning af internationale talenter til hovedstadsregionen. Det drejer sig om:1. Sekretariat for Copenhagen Talent Bridge2. Gearing af smv¿ere til modtagelse af international arbejdskraft3. Job- og kompetencepakke4. Fastholdelse af udvalgte talentgrupper5. Faglige expatarr. og kompetenceudv. af HR-personale6. Videndeling og kompetenceudvikling af regionens kommuner",Hovedstaden,17538896,"Copenhagen Capacity, fonden til markedsføring og erhvervsfremme i Hovedstaden",Nørregade 7 B,1165,København K,Aalborg Universitet. Københavns Kommune. Københavns Kommune. Region Hovedstaden. Væksthus Hovedstadsregionen. Københavns Universitet. Københavns Universitet. Frederiksberg Kommune. IT-Universitetet i København. Styrelsen for Arbejdsmarked og Rekruttering. Spousecare.,
Vækst Iværksætter Program ViP,01.10.2007,31.03.2015,ERDFN,Etab. og udvikling af nye virksomh.,"41444655,78","18995968,5","ViP-programmet udspringer oprindeligt fra Regeringens globaliseringsstrategi samt Den regionale Udviklingsplan og FORA¿s analyse af Iværksættermiljøet i Nordjylland. Alle strategierne og analyserne peger på at vi i Danmark har mange iværksættere, og stigende overlevelsesgrad blandt disse, men at kun få udvikler sig til egentlige vækstvirksomheder.Det vil vi gerne gøre noget ved i Nordjylland, ved systematisk at screene alle iværksættere og tilbyde de vækstparate en særlig Vækst-pakke af rådgivningstilbud. Screeningen sker via Nordjysk Iværksætter Netværk på erhvervskontorerne, og de der lever op til ViP-programmets definitioner, om målsætning på 5 ansatte og 5 millioner i omsætning på 5 år, tildeles op til 100 timers rådgivning, mentorsparring, kurser, certificater mv. Det hele styres udfra en milestoneplan som den enkelte iværksætter udarbejder sammen med en vækstguide. Vækstguiden står for den løbende opfølgning, fastholdelse af mål, administration af sagsgang og henvisning til samt evaluering af de private rådgivere, som kommer til at udgøre 90 % af progammets tilbud. Det hele gennemføres i et tæt samarbejde mellem Vækstguiden, Væksthus Nordjylland, erhvervsrådet i iværksætterens hjemkommune samt NiN-administrationen.",Nordjylland,29826358,Væksthus Nordjylland,Niels Jernes Vej 10,9220,Aalborg Øst,Væksthus Nordjylland. Aalborg Erhvervsråd. Frederikshavn Erhvervsråd.,
KOMPETENCEmidt,20.11.2007,31.08.2012,ESFM,Udvikling af menneskelige ressourcer,"41602806,01","19501315,32","Den Midtjyske Kompetenceplatform er et initiativ, hvis overordnede målsætning er at understøtte den generelle vækst i region Midtjylland gennem et målrettet arbejde med kompetenceudvikling ved bl.a. at fremme samspillet mellem virksomheder og uddannelsesinstitutioner.Kompetenceplatformen skal kvalificere virksomhedernes efterspørgsel efter kompetenceudvikling gennem dels en forbedring af samarbejdet og dialogen mellem virksomheder og uddannelsesinstitutioner og dels gennem en forbedret rådgivningsindsats via inddragelse af erhvervsserviceindsatsen og arbejdsmarkedsindsatsen.",Midtjylland,30089456,Væksthus Midtjylland,Åbogade 15,8200,Århus N,"Dansk Industri. Århus Kommune. Odder kommune. Dansk Flygtningehjælp. Viborg Kommune. Struer kommune. Struer kommune. Randers Kommune. Randers Kommune. Randers Kommune. Norddjurs Kommune. Norddjurs Kommune. Norddjurs Kommune. Skive Kommune. Vejle Kommune. Silkeborg Tekniske Skole. Ringkøbing-Skjern Kommune. Ringkøbing-Skjern Kommune. LO Århus. Ikast-Brande Kommune. Ikast-Brande Kommune. Huset Venture. Århus Købmandsskole. AARHUS TECH. Frit Oplysningsforbund i Århus. VUC Århus. Social- og Sundhedsskolen Århus. Herning Kommune. Herning Kommune. Holstebro Kommune. Holstebro Kommune. Erhvervsrådet Herning og Ikast-Brande. Nordvestjysk Erhvervsråd V.M.B.A.. ViborgEgnens Erhvervsråd. Aulum-Haderup Erhvervsudvikling. Professionshøjskolen VIA University College. Professionshøjskolen VIA University College. Professionshøjskolen VIA University College. Silkeborg Kommune. Silkeborg Kommune. Skanderborg Kommune. Favrskov Kommune. Favrskov Kommune. Skanderborg ErhvervsUdvikling. Grenå Tekniske Skole. Randers Erhvervs- & Udviklingsråd. Social- og Sundhedsskolen, Fredericia - Horsens. Skanderborg-Odder, Center for Uddannelse. Erhverv Århus. Syddjurs Kommune. Syddjurs Kommune. Odder Erhvervs- og Udviklingsråd. Favrskov Erhvervsråd. Erhverv Silkeborg. Erhverv Silkeborg. Foreningen Ringkøbing Fjord Erhvervsråd. Horsens Erhvervsråd. Hedensted Kommune. Horsens Kommune. Horsens Kommune. LO Horsens. Skiveegnens Erhvervs- og Turistcenter. Lemvig Kommune. Lemvig Kommune. Handelseskolen Silkeborg. AOF Østjylland. AOF Østjylland. Social- og Sundhedsskolen i Silkeborg. Th. Langs HF & VUC. FOA Silkeborg-Skanderborg. 3 F Silkeborg . Dansk Metalarbejderforbund, Silkeborg Afd.. HK/Østjylland. HK/Østjylland. Træ-Industri-Byg, Midtjylland. Silkeborg Produktionshøjskole. VUC Horsens. LEARNMARK Horsens. Bygholm Landbrugsskole. Sprogcenter Midt. Tørring Daghøjskole. 3F Horsens og omegn. 3F Hedensted. Dansk Metalarbejderforbund, Horsens afdeling. FOA Horsens. Malernes Fagforening Østjylland. Træ-Industri-Byg, afd. 4 - Østjylland. NNF - Horsens. 3F, Transport, Logistik & Byg, Århus. Randers HF og VUC Uddannelsescentret. Den Jydske Håndværkerskole. AOF Randers. UCH Uddannelsescenter Holstebro. AMU HOVERDAL. Herning HF og VUC. Lemvig Handelsskole. Ringkjøbing Handelsskole og Handelsgymnasium. Social- og Sundhedsskolen, Herning. Uddannelsescenter Herning. Uddannelsescenter Ringkøbing-Skjern. Uddannelsescenter Ringkøbing-Skjern. Vestjydsk Handelsskole og Handelsgymnasium, Skjern. VUC Holstebro-Lemvig-Struer. Styrelsen for Arbejdsmarked og Rekruttering. Styrelsen for Arbejdsmarked og Rekruttering. Lemvig Produktionsskole. Ringkøbing-Skjern Produktionsskole. Produktionsskolen i Herning Kommune. AOF Herning. VUC Skive-Viborg. Social- og Sundhedsskolen - Skive-Thisted-Viborg. Skive Tekniske Skole. Skive Handelsskole. 3F V iborg afdeling. 3F Skive-egnen. Dansk Metal Viborg. Dansk Metal, Skive afdeling. FOA - Fag og Arbejde. NNF Skive. LO Viborg. FOA Skive afdeling. VUC Djursland. HK/MidtVest. Mercantec. LO Silkeborg-Favrskov. Randers Social- og Sundhedsskole. FOA Fag og Arbejde. Jordbrugets UddannelsesCenter Århus. Tradium. 3 F Samsø.",
Fastholdelseskaravane - Målrettet indsats så unge vælger og gennemfører erhvervsfaglige ungdomsuddannelse med vægtning på to-sprogede unge (FaKaTo),01.01.2008,31.08.2013,ESFK,Udvikling af menneskelige ressourcer,"41606290,31","20655782,88","Fastholdelseskaravanen er et innovativt udviklingsprojekt, hvis formål er at sikre ny udvikling af Best Pratice med henblik på at nå regeringens målsætning om, at henholdsvis 85 % og 95 % af en ungdomsårgang gennemfører en ungdomsuddannelse i år 2010 og år 2015. Projektet skal ses i tæt sammenhæng med erhvervslivets behov for veluddannet arbejdskraft. Ansøgningen er motiveret af det dokumenterede frafald blandt unge med indvandrerbaggrund fra erhvervsuddannelserne. Frafaldet for denne gruppe er ca. dobbelt så stort som for etniske danske elever. Udfordringen forventes at vokse. Populationen af tosprgede unge vil øges til næsten det dobbelte i projektperioden. Derfor har Integrationsministeriet indgået en partnerskabsaftale med Undervisningsministeriet med henblik på at skabe synergi mellem allerede iværksatte og kommende aktiviteter, samt gennem denne ansøgning at tilvejebringe og skabe forudsætninger for iværksættelse af nye fastholdelsesinitiativer. Projektets formål er at udvikle nye modeller og metoder til at styrke fastholdelsen af målgruppen i en erhvervsuddannelse. Projektet tager udgangspunkt i de erfaringer, der allerede er gjort i arbejdet inden for dette problemfelt. Etablering af en Fastholdelseskaravane er projektets bærende element. Karavanen skal i samarbejde med udvalgte uddannelsesinstitutioner bidrage til institutionernes udvikling gennem eksempelvis kompetenceudvikling af undervisere, udvikling og formidling af Best Practice, vidensspredning samt ikke mindst sikre varig forankring med fokus på eleverne. Projektets indsatsområder:1) Fastholdelseskoordinatorfunktion på uddannelsesinstitutionerne med sigte på tosprogede unge2) Kompetenceudvikling af undervisere3) Udvidet forældrekontakt4) Forsøg med uddannelsesguider til understøttelse af forældrekontakten5) Lokale rollemodelkorps6) Udvikling af nye studiemiljøer med integreret studie-/lektieordninger7) Netværksdannelse mellem fastholdelsesaktører.",Konkurrenceudsat pulje,20453044,Ministeriet for Børn og Undervisning,Frederiksholms Kanal 26,1220,København K,Ministeriet for Børn og Undervisning.,
CTIF- Globalt program for trådløs og mobil innovation,01.01.2009,31.07.2014,ERDFN,Innovation og videndeling,"41939542,29",20000000,"CTIF - globalt program for trådløs og mobil innovationAalborg Universitet og Nordjylland er i forsknings- og erhvervsmæssig sammenhæng især kendt for sin nationale førerposition som højteknologisk omdrejningspunkt indenfor trådløs kommunikationsteknologi generelt og mobile kommunikations-systemer i særdeleshed. Denne førerposition kan i stor udstrækning tilskrives regionens mangeårige og intensive satsning på forskning i, samt udvikling og produktion af mobiltelefoner. Den direkte målbare konsekvens heraf er et for landsdelen markant antal beskæftigede.For at fastholde denne stærke position er der behov for forsat videnopbygning indenfor trådløs og mobil teknologi på universitet, samt en styrkelse af samarbejdet med IKT klyngen med henblik på at bruge forskningsresultater til at finde nye nicher med forretningsmæssigt potentiale.Missionen for CTIF er at virke som en platform for projekter indenfor netværk, teknologi, tjenester og applikationer gennem regional, national og international samarbejde.Et verdensomspændende distributionsnet af forskning og uddannelse kombineret med kommercialisering af opnåede resultater fra diverse projekter vil give CTIF basis for at udbyde entreprenørskab på kandidatniveau og innovation på PhD niveau. PhD og kandidat-studerende vil opmuntres til at bruge deres forskningsresultater og patenter til at starte virksomheder. Et blomstrende marked indenfor højteknologisk økonomi afhænger af et lands evne til at stille to elementer til rådighed: et enestående forskningsmiljø indlejret i et fremragende uddannelsessystem, og en kultur der forstår sig på entreprenørskab. Dette projekt vil kombinere det bedste af dansk og international uddannelse, forskning og entreprenørskab. Programmet har blandt andet følgende aktiviteter:¿ CTIF vil iværksætte en ny Global kandidatuddannelse med det formål at tiltrække flere kvalificerede kandidatstuderende til Nordjylland¿ CTIF vil igangsætte et antal internationale PhD forløb i samarbejde med relevante industrielle partnere i Nordjylland¿ CTIF vil introducere internationale firmaer til Regionen med henblik på at etablere samarbejde med eksisterende firmaer eller egentlig etablering af egne afdelinger i Nordjylland¿ CTIF vil medvirke til at rekruttere arbejdskraft i Nordjylland med relevant teknisk baggrund gennem de etablerede og kommende internationale CTIF centre¿ CTIF vil arbejde for at forskningsresultater kan anvendes til at etablere nordjyske opstarts virksomheder",Nordjylland,29102384,Aalborg Universitet,Niels Jernes Vej 12,9220,Aalborg Øst,RTX A/S. AM3D A/S. Gatehouse A/S. Rohde & Schwarz Technology Center A/S. NJNF af 2004 ApS. Gomspace ApS. Nokia Siemens Networks Danmark A/S. Agilent Technologies Denmark ApS.,
Energirigtig renovering - Plan C,22.06.2009,31.08.2013,ERDFH,Innovation og videndeling,"42315631,59","19248943,08","Plan C vil skabe et kraftcenter indenfor energirigtig renovering. Projektet har samlet en lang række af de bedste og mest relevante kræfter i regionen i et strategisk partnerskab med deltagelse af Københavns og Vestegnens kommuner, virksomheder indenfor byggeri og cleantech, samt forsknings- og videninstitutioner. Partnerskabet skal vise vej igennem de hidtil oplevede lovmæssige, kulturelle og kompetencemæssige barrierer for at gennemføre energirigtige renoveringsopgaver med succes og merværdi. Via eksperimentelle aktiviteter i stor skala skal findes brugbare koncepter, processer, materialer og teknologi, som bredes ud, højner kompetencerne og er implementerbare i produktion og forvaltning for en bredere kreds af aktører.Projektet vil fremstå som et eksempel på at bruge et strategisk partnerskab til at opnå synergieffekter når viden skal være kilden til vækst, og vil lægge stor vægt og ressourcer i anvendelse af moderne og innovative metoder for at støtte kommunikation og videndeling ud over regionale og nationale grænser. Projektet vil generere resultater i samspil og synergi med andre igangværende og planlagte projekter og initiativer indenfor energirigtig renovering.Mellem projektets væsentligste resultater vil være: Et digitalt værktøj til transparent, multikriterie-baseret vurdering af renoveringsprojekter; værktøjer for innovativ organisering af byggeprocesser, energirigtig forsyning og optimering af adfærd og styring; en række demonstrationsprojekter inden for energirigtig renovering, en række kurser og temadage, samt en meget omfattende formidlingsindsats.Projektets væsentligste effekter vil omfatte:¿ Partnerskaber og ny viden etableret som middel til styrkelse af dansk og international konkurrenceevne, ikke mindst for SMVer.¿ Bidrag til at skabe en ny diskurs, hvor miljø og energi kommer mere tydeligt på dagsordenen ¿ hos politikere, myndigheder, virksomheder og borgere.¿ Styrket udviklingsproces og innovationskompetence hos de mange deltagende parter med fremtidig udvikling af nye produkter og koncepter.¿ Vækst i byggesektoren, der i kraft af nemmere tilgængelig og afprøvet viden og værktøjer, katalyserer betydeligt flere energirenoveringsprojekter.¿ Meget betydelige samlede erhvervsmæssige effekter i kraft af nye partnerskaber, viden, produkter og kompetencer til gavn for en bredere kreds, herunder SMVer.¿ Betydelig reduktion i bygningers energiforbrug og miljø- og klimapåvirkning ¿ umiddelbart som følge af demonstrationsprojekter, på længere sigt som følge af projektets indflydelse.¿ Økonomiske gevinster i kraft af byggesektorens øgede internationale konkurrenceevne og opnåede energi- og miljøgevinster på byggeriet. ¿ Øget velfærd for beboere og brugere af bygninger grundet en opgraderet kommunal og anden bygningsmasse. ¿ Øget tiltrækning til regionen af fremsynede virksomheder inden for især rådgiverfaget.",Hovedstaden,66137112,Albertslund Kommune,Nordmarks Allé 1,2620,Albertslund,Teknologisk Institut. Københavns Kommune. Copenhagen Business School. Dansk Byggeri. Danmarks Tekniske Universitet. Alexandra Instituttet A/S. Hvidovre Kommune. Ishøj Kommune. Høje Taastrup Kommune. Jobcenter Vallensbæk. Brøndby Kommune. Henning Larsen Achitechts. Vestegnens Kraftvarmeselskab I/S - VEKS. Gate 21.,
Renrumsvaskeri i Maribo,03.01.2011,30.04.2013,ERDFS,Innovation og videndeling,"42566939,01","4256693,9","Projektet består i at bygge et renrumsvaskeri med dertilhørende lagerbygning. Helt centralt for projektet er fokus på optimal indretning af delelementerne på vaskeriet og dimensionering i forhold til plads og maskinkapacitet. Formålet hermed er at optimere det meget komplicerede flow, som renrumsartikler følger. Herved skabes en innovativ produktionsenhed, hvor bygning og indretning er nøje tilpasset de processer, som er nødvendige for at skabe en efterfølgende optimal drift. Byggeprojektet vil ske i et tæt samarbejde mellem DFD og en eller flere leverandører og samarbejdspartnere. Renrummets hovedaktivitet vil ved igangsætning af drift bestå i vask af tekstiler og tilbehør til brug i miljøer med særligt høje kvalitets- og hygiejnekrav som f.eks. laboratorier og medicinalindustrien. Denne proces er i høj grad styret af nøje specificerede krav til mængden af partikler og mikroorganismer i de forskellige renrumsområder/klassificeringer. Udover selve vaskeprocessen omfatter serviceydelsen til kunderne typisk afhentning, pakning, autoklavering og udbringning samt leje og vedligeholdelse af tekstilartiklerne. Projektet etableres med forventning om en betydelig vækst i markedet samt et potentiale i etableringen af Femern-Bælt forbindelsen. Vask af renrumsartikler er både løn- og energitung produktion. Et vaskeri, der er bygget og indrettet optimalt vil være i stand til at konkurrere med renrumsvaskerier fra regioner i europa med en anden og mere attraktiv omkostningsstruktur. De umiddelbare effekter af et renrumsvaskeri i Maribo vil være forøget beskæftigelse samt opgaver til underleverandører. Herudover vil der ske betydelig videnoverførsel og videnopbygning til lokale samarbejdspartnere i form af samarbejde om teknologiske og innovative løsninger inden for produktion og miljø",Sjælland,66434710,Kivi-tex A/S,Mesterlodden 23,2820,Gentofte,,
