Name des Begünstigten,Bezeichnung des Vorhabens,Zusammenfassung des Vorhabens,Datum des Beginns des Vorhabens,Datum des Endes des Vorhabens,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens,Unions-Kofinanzierungssatz pro Prioritätsachse,Durchführungsort des Vorhabens,Landkreis,Land,Bezeichnung der Interventionskategorie für das Vorhaben,Förderrichtlinie,Fördergegenstand
TKM Geringswalde GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.02.2015,31.08.2015,1298,80,"Geringswalde, Stadt",Mittelsachsen,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
TKM Geringswalde GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,24.08.2015,23.08.2016,4862,80,"Geringswalde, Stadt",Mittelsachsen,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
TLL ++ STEUDASteuerberatungsgesellschaftmbH,Vorbereitung auf die Steuerfachwirtprüfung 2016 incl. Prüfung (Teilnehmer: Rene Hallmann),Vorbereitung auf die Steuerfachwirtprüfung 2016 incl. Prüfung (Teilnehmer: Rene Hallmann),18.09.2015,30.05.2017,2108,80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Tobias Dietze,Technologiegründerstipendium zur Entwicklung von Software für das Kompetenzmanagement im Unternehmen,Technologiegründerstipendium zur Entwicklung von Software für das Kompetenzmanagement im Unternehmen,01.05.2015,30.04.2016,30000,80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen",Unternehmensgründungen aus der Wissenschaft - ESF 2014-2020,Technologiegründerstipendium
Tobias Göcke,Technologiegründerstipendium zur Entwicklung eines webbasierten Chemiebaukasten,Technologiegründerstipendium zur Entwicklung eines webbasierten Chemiebaukasten,01.01.2016,31.10.2016,25000,80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen",Unternehmensgründungen aus der Wissenschaft - ESF 2014-2020,Technologiegründerstipendium
Tobias Kulpe,Abrechnungsmanagerin in der Zahnarztpraxis,Abrechnungsmanagerin in der Zahnarztpraxis,18.03.2015,13.07.2015,1457,80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Tobias Nier,Erwerb Führerschein von Mobilkranen (30-50t) & LKW-Ladekranen,Erwerb Führerschein von Mobilkranen (30-50t) & LKW-Ladekranen,09.07.2015,30.11.2015,"3422,4",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Tobias Rohr,Gründungsberatung zur Übernahme eines Fitnessstudios,"Das Vorhaben beinhaltet eine Beratung zu wirtschaftlichen, technischen, finanziellen bzw. organisatorischen Fragen mit dem Ziel des erfolgreichen Starts in die Selbständigkeit.",10.07.2015,02.10.2015,5000,80,"Leipzig, Stadt","Leipzig, Kreisfreie Stadt",D,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen",Gründungsberatung - ESF 2014-2020,Gründungsberatung ESF 2014-2020
Tobias Schmidt,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,16.02.2015,29.06.2015,330,80,"Limbach-Oberfrohna, Stadt",Zwickau,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
Tobias Schmidt,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,23.11.2015,22.04.2016,440,80,"Limbach-Oberfrohna, Stadt",Zwickau,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
Tobias Witt,Abrechnungsmanagerin in der Zahnarztpraxis,Abrechnungsmanagerin in der Zahnarztpraxis,21.01.2016,29.11.2016,"1534,5",80,"Lichtenstein/Sa., Stadt",Zwickau,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Tobias Zimmer,DISG Trainerzertifizierung,DISG Trainerzertifizierung,29.01.2015,30.07.2015,549,80,"Taucha, Stadt",Nordsachsen,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Tom Auhl,Gründungsberatung zur Gründung einer Internetseite (www.sportsfriends.de),"Das Vorhaben beinhaltet eine Beratung zu wirtschaftlichen, technischen, finanziellen bzw. organisatorischen Fragen mit dem Ziel des erfolgreichen Starts in die Selbständigkeit.",03.06.2015,13.10.2015,4000,80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen",Gründungsberatung - ESF 2014-2020,Gründungsberatung ESF 2014-2020
Tom Lanick,Gründungsberatung zur Ausweitung eines Nebenerwerbs in den Vollerwerb mit einer Handelsvertretung für Edelmetalle und Finanzdienstleistungen,"Das Vorhaben beinhaltet eine Beratung zu wirtschaftlichen, technischen, finanziellen bzw. organisatorischen Fragen mit dem Ziel des erfolgreichen Starts in die Selbständigkeit.",03.09.2015,06.11.2015,4000,80,"Leipzig, Stadt","Leipzig, Kreisfreie Stadt",D,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen",Gründungsberatung - ESF 2014-2020,Gründungsberatung ESF 2014-2020
Tom Siepker,Aufstiegsqualifizierung zur zahnmedizinischen Verwaltungsassistentin,Aufstiegsqualifizierung zur zahnmedizinischen Verwaltungsassistentin,23.07.2015,30.05.2017,"1863,1",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Toni Endler,Führerschein C/CE,Führerschein C/CE,11.11.2015,26.06.2016,"1674,4",80,Ellefeld,Vogtlandkreis,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
"ToPAS GmbH Technologie-orientierte Partikel-,Analysen- und Sensortechnik","Entwicklung und serienreife Umsetzung eines Prüfstandkonzeptes für filtrierende Halbmasken (""Maskenprüfstand"") zur Erweiterung des ToPAS Geschäftsfeldes","Entwicklung und serienreife Umsetzung eines Prüfstandkonzeptes für filtrierende Halbmasken (""Maskenprüfstand"") zur Erweiterung des ToPAS Geschäftsfeldes",08.12.2014,31.01.2018,"67263,13",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",ESF-Technologieförderung 2014 bis 2020,InnoExpert
Töpfer Metall-u. Maschinen-bau GmbH & Co. KG,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.02.2015,31.08.2015,440,80,"Limbach-Oberfrohna, Stadt",Zwickau,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
TopMedia Leipzig GmbH,Zertifizierter Verkäufer,Zertifizierter Verkäufer,18.03.2015,15.08.2015,11725,80,"Leipzig, Stadt","Leipzig, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Topp Consult UG (haftungsbeschränkt)& Co. KG,zertifizierte Verkäufer-Ausbildung,zertifizierte Verkäufer-Ausbildung,03.08.2015,17.12.2015,2345,80,"Leipzig, Stadt","Leipzig, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Toralf Kühn,Softwareschulung: Eigenorganisation compact/classic (DATEV),Softwareschulung: Eigenorganisation compact/classic (DATEV),22.10.2015,20.02.2016,1426,80,"Bad Gottleuba-Berggießhübel, Stadt",Sächsische Schweiz-Osterzgebirge,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Torgau Druck SächsischeLokalpresse GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.02.2015,31.08.2015,1078,80,"Torgau, Stadt",Nordsachsen,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
Torgau Druck SächsischeLokalpresse GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.11.2015,31.08.2016,1100,80,"Torgau, Stadt",Nordsachsen,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
Torgau Druck SächsischeLokalpresse GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.11.2015,31.08.2016,2200,80,"Torgau, Stadt",Nordsachsen,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
Torsten Budweis,Berufskraftfahrer - Weiterbildung gemäß BKrFQG,Berufskraftfahrer - Weiterbildung gemäß BKrFQG,08.04.2015,31.12.2020,"1162,5",80,"Wittichenau, Stadt",Bautzen,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Torsten Däbler,"Advance Steel Module: ""Einführung in der Oberfläche und Arbeitsweise"", ""Blech und Träger"", ""Strukturelemente"", ""Zeichnungsabteilung"", ""Stücklisten & weitere Infos""","Advance Steel Module: ""Einführung in der Oberfläche und Arbeitsweise"", ""Blech und Träger"", ""Strukturelemente"", ""Zeichnungsabteilung"", ""Stücklisten & weitere Infos""",31.03.2015,30.08.2015,1395,80,"Coswig, Stadt",Meißen,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Torsten Gust,Gründungsberatung zur Ausweitung eines Nebenerwerbs in den Vollerwerb durch Vermietung von Ferienhäusern,"Das Vorhaben beinhaltet eine Beratung zu wirtschaftlichen, technischen, finanziellen bzw. organisatorischen Fragen mit dem Ziel des erfolgreichen Starts in die Selbständigkeit.",05.06.2015,27.11.2015,4000,80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen",Gründungsberatung - ESF 2014-2020,Gründungsberatung ESF 2014-2020
Torsten Klemmer,Effiziente Überzeugungsarbeit in turbulenten Zeiten,Effiziente Überzeugungsarbeit in turbulenten Zeiten,06.02.2015,29.06.2015,1250,80,"Rötha, Stadt",Leipzig,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Torsten Kumfert,Elektrofachkraft für festgelegte Tätigkeiten,Elektrofachkraft für festgelegte Tätigkeiten,22.10.2015,12.03.2016,"1066,4",80,"Netzschkau, Stadt",Vogtlandkreis,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Torsten Schmidt,Zertifikatkurs Optometrist FH,Zertifikatkurs Optometrist FH,31.08.2015,17.11.2016,1895,80,"Leipzig, Stadt","Leipzig, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Torsten Sroka,Finanzbuchhaltung,Finanzbuchhaltung,11.02.2016,01.06.2017,"691,3",80,"Limbach-Oberfrohna, Stadt",Zwickau,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Torsten Wolf,Vorbereitung auf das Steuerberaterexamen 2016/2017 inklusive Steuerberaterprüfung,Vorbereitung auf das Steuerberaterexamen 2016/2017 inklusive Steuerberaterprüfung,10.03.2016,13.11.2016,"4770,9",80,"Chemnitz, Stadt","Chemnitz, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Torsten Zieschank,Elektrofachkraft für festgelegte Tätigkeiten,Elektrofachkraft für festgelegte Tätigkeiten,04.03.2016,27.06.2016,527,80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Toscano GmbH,AutoCAD Grundlagen- und Aufbauschulung,AutoCAD Grundlagen- und Aufbauschulung,14.12.2015,26.03.2016,1674,80,"Dippoldiswalde, Stadt",Sächsische Schweiz-Osterzgebirge,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
TouristenzentrumAm Adlerfelsen GmbH,Betriebsleiter bzw. Stellvertreter nach BO Seil,Betriebsleiter bzw. Stellvertreter nach BO Seil,03.03.2015,22.06.2015,5022,80,"Eibenstock, Stadt",Erzgebirgskreis,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
tp management GmbH,Sachverständiger und Koordinator für Nachhaltiges Bauen,Sachverständiger und Koordinator für Nachhaltiges Bauen,02.06.2015,09.05.2016,"3056,6",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
TQD - Technische Qualitäts-sicherung DreiländereckGmbH,BC Grundkursus Stufe 3 RT Durchstrahlungsprüfung Vorpraktikum Stufe 2 RT Durchstrahlungsprüfung Stufe 3 PT Eindringsprüfung Stufe 3 MT Magnetpulverprüfung Stufe 3 UT Utraschallprüfung Stufe 3 VT Sichtprüfung Stufe 3,BC Grundkursus Stufe 3 RT Durchstrahlungsprüfung Vorpraktikum Stufe 2 RT Durchstrahlungsprüfung Stufe 3 PT Eindringsprüfung Stufe 3 MT Magnetpulverprüfung Stufe 3 UT Utraschallprüfung Stufe 3 VT Sichtprüfung Stufe 3,09.10.2015,29.05.2016,"12998,3",80,Hainewalde,Görlitz,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
TQD - Technische Qualitäts-sicherung DreiländereckGmbH,Digitale Radiospokie (RT S1 und RT S2),Digitale Radiospokie (RT S1 und RT S2),10.02.2015,13.12.2015,"1775,68",80,Hainewalde,Görlitz,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
TraceTronic GmbH,Agile Team Coaching,Agile Team Coaching,20.04.2015,30.11.2015,9300,80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
TraceTronic GmbH,Agile Team Prozesse (Aufbautraining),Agile Team Prozesse (Aufbautraining),11.08.2015,31.12.2016,6200,80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
TraceTronic GmbH,AUTOSAR in der Praxis anwenden,AUTOSAR in der Praxis anwenden,10.02.2015,23.05.2015,"923,8",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
TraceTronic GmbH,"Certified Automotive Software Tester, Prüfung GTB Certified Automotive Software Tester","Certified Automotive Software Tester, Prüfung GTB Certified Automotive Software Tester",11.02.2015,20.05.2015,"3609,02",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
TraceTronic GmbH,Certified ScrumMaster- deluxe,Certified ScrumMaster- deluxe,06.11.2015,07.02.2016,"1255,5",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
TraceTronic GmbH,Der Verbrennungsmotor kompakt - Grundlagenwissen Verbrennungsmotoren,Der Verbrennungsmotor kompakt - Grundlagenwissen Verbrennungsmotoren,04.08.2015,17.10.2015,"2492,4",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
TraceTronic GmbH,"Exchange Server 2013: Installation, Administration und Optimierung","Exchange Server 2013: Installation, Administration und Optimierung",26.06.2015,28.09.2015,930,80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
TraceTronic GmbH,ISTQB - Certified Tester - Foundation Level,ISTQB - Certified Tester - Foundation Level,10.02.2015,18.05.2015,"5870,78",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
TraceTronic GmbH,Kundenkommunikation und Konfliktmanagement,Kundenkommunikation und Konfliktmanagement,13.07.2015,23.11.2015,"1190,4",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
TraceTronic GmbH,Praxisseminar ADAS,Praxisseminar ADAS,23.02.2016,21.05.2016,"1469,4",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
TraceTronic GmbH,Soft Skills für Architekten,Soft Skills für Architekten,29.01.2015,01.05.2015,"2153,88",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
TraceTronic GmbH,Software Craftsmanship und Clean Code,Software Craftsmanship und Clean Code,13.01.2016,09.07.2016,"1233,8",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
TraceTronic GmbH,Softwarearchitektur - Lebendiger Entwurf mit Methode inkl. Aufbaukurs iSAQB-CPSA-F und Zertifizierung,Softwarearchitektur - Lebendiger Entwurf mit Methode inkl. Aufbaukurs iSAQB-CPSA-F und Zertifizierung,07.01.2015,16.05.2015,"1370,2",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
TraceTronic GmbH,Test Driven Development mit Java - Der Einstieg (S1658),Test Driven Development mit Java - Der Einstieg (S1658),15.07.2015,02.11.2015,"1314,4",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
TraceTronic GmbH,Train-the-Trainer,Train-the-Trainer,16.01.2015,17.10.2015,"1295,8",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
tradu4you gmbh,Business - Moderator,Business - Moderator,04.09.2015,12.12.2015,"908,3",80,"Chemnitz, Stadt","Chemnitz, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
tradu4you gmbh,Business-Mediator,Business-Mediator,26.08.2015,29.11.2015,"1816,6",80,"Chemnitz, Stadt","Chemnitz, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
tradu4you gmbh,Change Manager,Change Manager,26.08.2015,05.12.2015,"908,3",80,"Chemnitz, Stadt","Chemnitz, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
tradu4you gmbh,Führen 2.0: Führungskompetenz im digitalen Zeitalter,Führen 2.0: Führungskompetenz im digitalen Zeitalter,14.08.2015,15.11.2015,"861,8",80,"Chemnitz, Stadt","Chemnitz, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
tradu4you gmbh,Führungskompetenz und Kommunikation für Projektleiter - Essentials,Führungskompetenz und Kommunikation für Projektleiter - Essentials,12.02.2016,13.05.2016,"2033,6",80,"Chemnitz, Stadt","Chemnitz, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
tradu4you gmbh,Journalistisches Schreiben,Journalistisches Schreiben,09.11.2015,06.02.2016,806,80,"Chemnitz, Stadt","Chemnitz, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
