Projektas,Kodas,Pareiškėjas/ Vykdytojas,Paraiškos būsena,Projekto vertė paraiškoje,Prašomas finansavimas,Projekto išlaidų suma,Finansavimas,Išmokėta finansavimo suma,Sutarties pasirašymo data
"UAB ""Boutique Travel"" paslaugų eksporto didinimas",03.2.1-LVPA-K-801-02-0252,"UAB ""Boutique travel""",Paraiškos vertinimas,85894,42947,0,0,0,
"UAB ""ITALIANA LT"" produkcijos eksporto didinimo programa",03.2.1-LVPA-K-801-02-0163,"UAB ""ITALIANA LT""",Paraiškos vertinimas,91608,45000,0,0,0,
"UAB ""Cosmoway"" eksporto plėtra, dalyvaujant užsienio parodose",03.2.1-LVPA-K-801-02-0211,UAB Cosmoway,Paraiškos vertinimas,21294,10647,0,0,0,
"UAB ""ASKOVITA"" eksporto plėtra",03.2.1-LVPA-K-801-02-0235,"Uždaroji akcinė bendrovė ""ASKOVITA""",Paraiškos vertinimas,42588,21294,0,0,0,
"UAB ""Jansvis"" eksporto skatinimo iniciatyvos",03.2.1-LVPA-K-801-02-0174,UAB „Jansvis“,Paraiškos vertinimas,53953,26976,0,0,0,
UAB „MINGAS“ eksporto apimčių didinimas,03.2.1-LVPA-K-801-02-0229,"UAB ""MINGAS""",Paraiškos vertinimas,85176,42588,0,0,0,
Popieriaus bei kartono produkcijos eksporto plėtra užsienio rinkose ,03.2.1-LVPA-K-801-02-0219,"UAB ""SMILTAINIS IR KO""",Paraiškos vertinimas,90000,45000,0,0,0,
"UAB ""Green Hotel"" esamų rinkų plėtra ir naujų užsienio rinkų paieška",03.2.1-LVPA-K-801-02-0200,"UAB ""Green Hotel""",Paraiškos vertinimas,95823,47911.5,0,0,0,
"""Metasite Business Solutions"", UAB eksporto plėtra",03.2.1-LVPA-K-801-02-0241,"""Metasite Business Solutions"", UAB",Paraiškos vertinimas,88048,44024,0,0,0,
"UAB ""Daimanta""eksporto plėtra",03.2.1-LVPA-K-801-02-0165," UAB  ""Daimanta""",Paraiškos vertinimas,0,45000,0,0,0,
Eksporto skatinimas dalyvaujant tarptautinėse parodose,03.2.1-LVPA-K-801-02-0205,"UŽDAROJI AKCINĖ BENDROVĖ ""IVILTRA""",Paraiškos vertinimas,88748,44374,0,0,0,
"Urbanistinės teritorijos Rokiškio mieste plėtra, III etapas",07.1.1-CPVA-R-903-51-0002,Rokiškio rajono savivaldybės administracija,Paraiškos vertinimas,526493.21,447519.23,0,0,0,
"UAB ""Biomapas"" tarptautinio konkurencingumo stiprinimas didinant žinomumą užsienio rinkose",03.2.1-LVPA-K-801-02-0182,"Uždaroji akcinė bendrovė ""Biomapas""",Paraiškos vertinimas,87324,43662,0,0,0,
Integrali pagalba į namus Kaišiadorių rajone,08.4.1-ESFA-V-418-01-0018,Kaišiadorių socialinių paslaugų centras,Nesudaryta sutartis,234000,234000,0,0,0,
Įmonės gaminių eksporto plėtra,03.2.1-LVPA-K-801-02-0222,"UAB""Vilpros pramonė""",Paraiškos vertinimas,64241,32120.5,0,0,0,
"„Integralios pagalbos paslaugų, teikiamų namuose, plėtra ir kokybės gerinimas Panevėžio mieste“",08.4.1-ESFA-V-418-04-0028,Panevėžio socialinių paslaugų centras,Įgyvendinimas,210600,210600,210600,210600,0,2016-10-05
"UAB ""Vėjo paper"" eksporto plėtra",03.2.1-LVPA-K-801-02-0238,"UAB ""VĖJO PAPER""",Paraiškos vertinimas,77383,38691.5,0,0,0,
"UAB ""ZAP grupė"" pardavimų didinimas esamose ir naujose užsienio rinkose",03.2.1-LVPA-K-801-02-0203,"UAB ""ZAP grupė""",Paraiškos vertinimas,90178,45000,0,0,0,
"UAB ""ART21"" eksporto plėtra tarptautinėse rinkose",03.2.1-LVPA-K-801-02-0153,"UAB ""ART21""",Paraiškos vertinimas,74888,37444,0,0,0,
Integrali pagalba į namus Alytaus rajone,08.4.1-ESFA-V-418-04-0024,Viešoji įstaiga Alytaus rajono savivaldybės pirminės sveikatos priežiūros centras,Įgyvendinimas,234000,234000,234000,234000,0,2016-10-05
"Bendros Lietuvos - JAV įmonės UAB ""MEDICAL TECHNOLOGIES LBI"" eksporto plėtra",03.2.1-LVPA-K-801-02-0258,"Bendra Lietuvos - JAV įmonė UAB ""MEDICAL TECHNOLOGIES LBI""",Paraiškos vertinimas,66742,33371,0,0,0,
UAB  „Bageta“  eksporto  apimčių  plėtra,03.2.1-LVPA-K-801-02-0185,Uždaroji  akcinė  bendrovė  „Bageta“ ,Paraiškos vertinimas,86255,43127.5,0,0,0,
„UAB „Amber pasta“ produkcijos pardavimų plėtra eksporto rinkose“,03.2.1-LVPA-K-801-02-0161,"Uždaroji akcinė bendrovė ""Amber pasta""",Nesudaryta sutartis,89107,44553.5,0,0,0,
"UAB ""IT sistemos"" paslaugų eksporto plėtra",03.2.1-LVPA-K-801-02-0247,UAB “IT sistemos”,Paraiškos vertinimas,88395,44197.5,0,0,0,
UAB Korpa tarptautiškumo didinimas,03.2.1-LVPA-K-801-02-0169,UAB Korpa,Nesudaryta sutartis,86612,43306,0,0,0,
UAB Pupt plėtra bei prekės ženklo žinomumo didinimas  plečiant veiklą užsienio rinkose,03.2.1-LVPA-K-801-02-0230,"UAB ""Pupt""",Paraiškos vertinimas,85176,42588,0,0,0,
"UAB ""MEDIA INCOGNITO"" pardavimų užsienio rinkose didinimas dalyvaujant tarptautinėse parodose",03.2.1-LVPA-K-801-02-0192,"UAB ""MEDIA INCOGNITO""",Nesudaryta sutartis,90896,45000,0,0,0,
"UAB ""Consultus Magnus"" paslaugų eksporto plėtra",03.2.1-LVPA-K-801-02-0175,"UAB ""Consultus Magnus""",Paraiškos vertinimas,53594,26797,0,0,0,
Integralios pagalbos (socialinės globos ir slaugos ) į namus teikimas Plungės rajone,08.4.1-ESFA-V-418-04-0029,PLUNGĖS SOCIALINIŲ PASLAUGŲ CENTRAS,Įgyvendinimas,234000,234000,234000,234000,0,2016-10-05
"Naujos galimybės UAB ""Langvalda"" eksportui ",03.2.1-LVPA-K-801-02-0244,"UAB ""LANGVALDA""",Paraiškos vertinimas,65677,32838.5,0,0,0,
"UAB ""Bilijardai"" eksporto rinkų plėtra",03.2.1-LVPA-K-801-02-0159,"Uždaroji akcinė bendrovė ""Bilijardai""",Paraiškos vertinimas,22724,11362,0,0,0,
"UAB ""Baltic Blues"" tarptautinio konkurencingumo stiprinimas didinant žinomumą užsienio rinkose",03.2.1-LVPA-K-801-02-0207,"UAB ""BALTIC BLUES""",Paraiškos vertinimas,87677,43838.5,0,0,0,
"UAB ""Plastiksė"" eksporto plėtra",03.2.1-LVPA-K-801-02-0250,"UŽDAROJI AKCINĖ BENDROVĖ ""PLASTIKSĖ""",Paraiškos vertinimas,86971,43485,0,0,0,
Lietuvos lengvosios pramonės eksporto plėtra ir naujų rinkų paieška,03.2.1-LVPA-K-801-02-0190,"UAB ""Audėjas""",Paraiškos vertinimas,86971,43485,0,0,0,
"UAB ""Delagidos statyba"" paslaugų eksporto plėtra",03.2.1-LVPA-K-801-02-0210,"UAB ""Delagidos statyba""",Paraiškos vertinimas,85176,42588,0,0,0,
"BĮ UAB ""TEV"" dabartinės veiklos pardavimų didinimas esamose ir naujose rinkose",03.2.1-LVPA-K-801-02-0158,"BĮ UAB ""TEV""",Paraiškos vertinimas,87689,45000,0,0,0,
Naujos galimybės LT Nr.2,03.2.1-LVPA-K-801-02-0172,"UAB ""Enim""",Paraiškos vertinimas,90000,45000,0,0,0,
"UAB „ECOCOCON"" eksporto plėtra, dalyvaujant užsienio parodose",03.2.1-LVPA-K-801-02-0227,"UAB ""ECOCOCON""",Paraiškos vertinimas,90000,45000,0,0,0,
Konsultacijų bendrovės eksporto plėtra,03.2.1-LVPA-K-801-02-0177,"UAB ""CIVITTA""",Paraiškos vertinimas,55383,27691.5,0,0,0,
Informacinių technologijų įmonės eksporto skatinimas,03.2.1-LVPA-K-801-02-0198,"UAB ""MEDIAPARK""",Paraiškos vertinimas,80602,40301,0,0,0,
Naujos galimybės LT,03.2.1-LVPA-K-801-02-0217,D. Miliaus ūkinė-komercinė įmonė,Paraiškos vertinimas,87588,45000,0,0,0,
"UAB ""DIELEKTRIK"" KRYPTINGA EKSPORTO PLĖTRA",03.2.1-LVPA-K-801-02-0253,"UAB ""DIELEKTRIK""",Paraiškos vertinimas,89172,44586,0,0,0,
"UAB ""Pirmas žingsnis"" naujų užsienio rinkų paieška",03.2.1-LVPA-K-801-02-0164,"UAB ""Pirmas žingsnis""",Nesudaryta sutartis,53235,26617,0,0,0,
UAB “Telesoftas” eksporto apimčių didinimas esamose ir naujose užsienio rinkose”,03.2.1-LVPA-K-801-02-0212,"UAB ""Telesoftas""",Paraiškos vertinimas,87330,43665,0,0,0,
Tolimesnė LTM Garments plėtra užsienyje,03.2.1-LVPA-K-801-02-0259,"Uždaroji akcinė bendrovė ""LTM Garments""",Paraiškos vertinimas,87418,43659,0,0,0,
Įmonės konkurencingumo skatinimas dalyvaujant tarptautinėe parodose,03.2.1-LVPA-K-801-02-0236,"Romualdo Slonskio įmonė ""Romasas""",Paraiškos vertinimas,96541,45000,0,0,0,
"UAB ""Wooden Windows"" eksporto apimčių didinimas dalyvaujant tarptautinėse parodose",03.2.1-LVPA-K-801-02-0201,"UAB ""Wooden Windows""",Nesudaryta sutartis,88048,44024,0,0,0,
"AB „Rėkyva“ konkurencingumo didinimas, dalyvaujant  tarptautinėse parodose",03.2.1-LVPA-K-801-02-0180,Akcinė bendrovė  „Rėkyva“ ,Paraiškos vertinimas,85894,42947,0,0,0,
"UAB ""AUTOSMILGA"" eksporto plėtra",03.2.1-LVPA-K-801-02-0195,"UAB ""AUTOSMILGA""",Paraiškos vertinimas,80000,40000,0,0,0,
UAB „DTC LT“ tarptautiškumo didinimas ,03.2.1-LVPA-K-801-02-0162,"UAB ""DTC LT""",Nesudaryta sutartis,86612,43306,0,0,0,
"UAB ""Balux"" paslaugų pristatymas tarptautinėse parodose",03.2.1-LVPA-K-801-02-0233,"UAB ""Balux""",Paraiškos vertinimas,76324,38162,0,0,0,
"UAB ""Emko"" eksporto plėtra",03.2.1-LVPA-K-801-02-0256,"UAB ""Emko""",Paraiškos vertinimas,87683,43841.5,0,0,0,
"MB ""Baldonas"" eksporto skatinimas dalyvaujant tarptautinėse parodose",03.2.1-LVPA-K-801-02-0215,"MB ""Baldonas""",Paraiškos vertinimas,66030,33015,0,0,0,
"UAB ""Akadas"" eksporto rinkų plėtra",03.2.1-LVPA-K-801-02-0245,Zarasų r. sav. Zarasų m. Šaltupės g. 86,Paraiškos vertinimas,53953,26976.5,0,0,0,
"UAB ""Traidenis"" eksporto rinkų plėtra ir pardavimų eksporto rinkose didinimas 2016-2017 metais",03.2.1-LVPA-K-801-02-0239,"Uždaroji akcinė bendrovė ""Traidenis""",Paraiškos vertinimas,26352,13176,0,0,0,
"Integralios pagalbos paslaugų, teikiamų namuose, plėtra ir kokybės gerinimas Panevėžio mieste",08.4.1-ESFA-V-418-04-0026,VIEŠOJI ĮSTAIGA INTEGRUOTŲ SVEIKATOS PASLAUGŲ CENTRAS,Įgyvendinimas,280800,280800,280800,280800,0,2016-10-05
"UAB ""The Magic"" eksporto rinkų plėtra",03.2.1-LVPA-K-801-02-0154,"UAB ""The Magic""",Paraiškos vertinimas,66742,33371,0,0,0,
UAB KVARKAS VEIKLOS PLĖTRA UŽSIENIO ŠALIŲ RINKOSE,03.2.1-LVPA-K-801-02-0167,"UAB ""Kvarkas""",Paraiškos vertinimas,89466,44733,0,0,0,
UAB „TV Žaidimai“ eksporto plėtra ,03.2.1-LVPA-K-801-02-0186,"UAB ""TV Žaidimai""",Paraiškos vertinimas,87683,43841,0,0,0,
"UAB ""Ruptela"" naujų užsienio rinkų paieška ir esamų rinkų plėtra",03.2.1-LVPA-K-801-02-0223,"UAB ""Ruptela""",Paraiškos vertinimas,90000,45000,0,0,0,
Dalyvavimas tarptautinėse parodose,03.2.1-LVPA-K-801-02-0242,"UAB ""Eglės atelje""",Paraiškos vertinimas,64600,32300,0,0,0,
"UAB ""Lotos & Ko"" eksporto rinkų plėtra",03.2.1-LVPA-K-801-02-0220,"UAB ""LOTOS & KO""",Paraiškos vertinimas,90000,45000,0,0,0,
DINAPOLIS EKSPORTO DIDINIMAS,03.2.1-LVPA-K-801-02-0206,"UAB ""Dinapolis""",Paraiškos vertinimas,42947,21473.5,0,0,0,
"Lazdijų miesto kompleksinė infrastruktūros plėtra, III etapas",07.1.1-CPVA-R-903-11-0002,Lazdijų rajono savivaldybės administracija,Paraiškos vertinimas,343507,317744,0,0,0,
Dalyvavimas tarptautinėje parodoje Luxury packing London 2016,03.2.1-LVPA-K-801-02-0166,VIA AQUARIA UAB,Paraiškos vertinimas,11006,5503,0,0,0,
UAB Baltijos brasta eksporto didinimas dalyvaujant tarptautinėse parodose,03.2.1-LVPA-K-801-02-0188,"Uždaroji akcinė bendrovė ""BALTIJOS BRASTA""",Paraiškos vertinimas,42947,21473.5,0,0,0,
"UAB ""Siulvedė"" pardavimų apimčių užsienio rinkose didinimas",03.2.1-LVPA-K-801-02-0170,"UAB ""Siulvedė""",Paraiškos vertinimas,87166,43583,0,0,0,
Eksporto plėtra ir įmonės žinomumo didinimas užsienio rinkose,03.2.1-LVPA-K-801-02-0156,"Uždaroji akcinė bendrovė ""Selteka""",Paraiškos vertinimas,87330,43665,0,0,0,
"UAB ""AIF LT"" paslaugų eksporto plėtra",03.2.1-LVPA-K-801-02-0183,UAB “AIF LT”,Paraiškos vertinimas,56095,28047.5,0,0,0,
UAB „CinemaAds“ eksporto galimybių plėtra,03.2.1-LVPA-K-801-02-0225,"UAB ""CinemaAds""",Nesudaryta sutartis,90531,45000,0,0,0,
UAB „Kodinis Raktas“ eksporto plėtra pasaulio rinkose,03.2.1-LVPA-K-801-02-0302,UAB „Kodinis Raktas“,Paraiškos vertinimas,44124,22012,0,0,0,
UAB „Domus Extra“ naujos galimybės LT,03.2.1-LVPA-K-801-02-0283,"Domus Extra, UAB",Nesudaryta sutartis,87318,43659,0,0,0,
"""Integrali pagalba į namus Vilniaus rajone""",08.4.1-ESFA-V-418-04-0030,Juodšilių seniūnijos bendruomenės socialinių paslaugų centras,Įgyvendinimas,468000,468000,468000,468000,0,2016-10-05
UAB „Firmus Baltic” plėtra eksporto rinkose,03.2.1-LVPA-K-801-02-0324,"UAB ""FIRMUS BALTIC""",Paraiškos vertinimas,74888,37444,0,0,0,
"""Integralios pagalbos teikimas Molėtų rajone""",08.4.1-ESFA-V-418-04-0031,Molėtų socialinės paramos centras,Įgyvendinimas,156000,156000,156000,156000,0,2016-10-05
Naujų rinkų paieška,03.2.1-LVPA-K-801-02-0299,"Uždaroji akcinė bendrovė sveikatos centras ""Energetikas""",Paraiškos vertinimas,85176,42588,0,0,0,
"UAB ""Ramitrans"" eksporto plėtra",03.2.1-LVPA-K-801-02-0322,"UAB ""Ramitrans""",Paraiškos vertinimas,0,45000,0,0,0,
"UAB ""PDSA"" eksporto plėtros skatinimas",03.2.1-LVPA-K-801-02-0280,"UAB ""PDSA"" ",Paraiškos vertinimas,124728,45000,0,0,0,
"UAB ""Fire Experts"" aktyvi užsienio partnerių paieška ir pardavimų užsieniorinkose didinimas (dalyvavimas parodose)",03.2.1-LVPA-K-801-02-0285,"UAB ""Fire Experts""",Nesudaryta sutartis,5758.18,2879.09,0,0,0,
"UAB ""Lino takas"" produkcijos pristatymas tarptautinėse parodose",03.2.1-LVPA-K-801-02-0337,"UAB ""Lino takas""",Nesudaryta sutartis,89819,44909.5,0,0,0,
"""Eksporto startas""",03.2.1-LVPA-K-801-02-0319,"UAB ""Interegus""",Paraiškos vertinimas,86612,43306,0,0,0,
„Integralios socialinės globos ir slaugos paslaugų plėtra Skuodo rajone“,08.4.1-ESFA-V-418-04-0033,Skuodo socialinių paslaugų šeimai centras,Įgyvendinimas,156000,156000,156000,156000,0,2016-10-05
"Moksliniai tyrimai, skirti nanotechnologijų ir funkcinių nanomedžiagų vystymui",01.2.1-LVPA-K-823-02-0002,"UAB ""Eloneta""",Nesudaryta sutartis,5313803.64,3223528.92,0,0,0,
"""Integrali pagalba į namus Birštono savivaldybėje""",08.4.1-ESFA-V-418-04-0036,Biudžetinė įstaiga Nemajūnų dienos centras,Įgyvendinimas,93600,93600,93600,93600,0,2016-10-05
DASTROS MEDIS PLĖTRA Į UŽSIENIO RINKAS,03.2.1-LVPA-K-801-02-0329,"AB ""Dastros medis""",Paraiškos vertinimas,32659,16329.5,0,0,0,
"Deeper, UAB tarptautinio konkurencingumo išlaikymas ir stiprinimas didinant produkcijos žinomumą užsienio rinkose",03.2.1-LVPA-K-801-02-0308,"Deeper, UAB",Paraiškos vertinimas,90000,45000,0,0,0,
UAB LargeCode eksporto plėtra,03.2.1-LVPA-K-801-02-0271,UAB LargeCode,Paraiškos vertinimas,82026,41013,0,0,0,
"UAB ""Transfera"" eksporto plėtra",03.2.1-LVPA-K-801-02-0305,"UAB ""Transfera""",Paraiškos vertinimas,22012,11006,0,0,0,
"UAB ""Nida Amber"" produkcijos eksporto plėtra",03.2.1-LVPA-K-801-02-0327,"UAB ""NIDA AMBER""",Nesudaryta sutartis,93744,45000,0,0,0,
UAB „Seifuva“eksporto plėtra,03.2.1-LVPA-K-801-02-0290,"Uždaroji akcinė bendrovė ""SEIFUVA""",Paraiškos vertinimas,88042,44021,0,0,0,
"UAB ""Vertex"" eksporto plėtros skatinimas dalyvaujant parodose",03.2.1-LVPA-K-801-02-0292,"Uždaroji akcinė bendrovė ""VERTEX""",Paraiškos vertinimas,44024,22012,0,0,0,
Sauliaus Daujoto įmonės produktyvumo didinimas ir plėtra užsienio rinkose,03.2.1-LVPA-K-801-02-0273,Sauliaus Daujoto įmonė,Paraiškos vertinimas,97259,45000,0,0,0,
"IĮ ""Odontika"" paslaugų eksporto skatinimas 2",03.2.1-LVPA-K-801-02-0311,"IĮ ""Odontika""",Paraiškos vertinimas,37203,18601.5,0,0,0,
"UAB ""Trijų artelė"" eksporto plėtra",03.2.1-LVPA-K-801-02-0264,"UAB ""Trijų artelė""",Paraiškos vertinimas,65677,32838.5,0,0,0,
Naujų rinkų plėtra,03.2.1-LVPA-K-801-02-0281,"Uždaroji akcinė bendrovė ""Lincasa""",Paraiškos vertinimas,86612,43306,0,0,0,
"UAB ""Baltic Way""  eksporto apimčių didinimas dalyvaujant tarptautinėse parodose ",03.2.1-LVPA-K-801-02-0294,"UAB ""Baltic way""",Paraiškos vertinimas,44731,22365.5,0,0,0,
InoWood produktų pardavimų didinimas dalyvaujant tarptautinėse parodose,03.2.1-LVPA-K-801-02-0338,"UAB ""Intervilža""",Paraiškos vertinimas,85894,42947,0,0,0,
"UAB ""Telemed"" produkcijos eksporto plėtra",03.2.1-LVPA-K-801-02-0335,"Uždaroji akcinė bendrovė ""TELEMED""",Paraiškos vertinimas,90184,45000,0,0,0,
"Uždarosiso akcinės bendrovės ""VILLON"" eksporto plėtra",03.2.1-LVPA-K-801-02-0314,"Uždaroji akcinė bendrovė ""VILLON""",Nesudaryta sutartis,80000,40000,0,0,0,
"„UAB ""Garant Service"" naujos galimybės LT“ ",03.2.1-LVPA-K-801-02-0275,"UAB ""Garant Service""",Nesudaryta sutartis,85894,42947,0,0,0,
Užsienio partnerių paieška ir pardavimų užsienio rinkose didinimas,03.2.1-LVPA-K-801-02-0266,"UAB ""Rio Lindo""",Paraiškos vertinimas,86612,43306,0,0,0,
UAB „ELSIS PRO“ naujos galimybės LT,03.2.1-LVPA-K-801-02-0278,"UAB ""ELSIS PRO""",Nesudaryta sutartis,86971,43485.5,0,0,0,
Moksliniai tyrimai skirti inovatyvių neinvazinių neurodiagnostinių prietaisų kūrimui (BRAIN INTACT),01.2.1-LVPA-K-823-02-0003,"UAB ""VITTAMED""",Paraiškos vertinimas,4244410.74,2884110.88,0,0,0,
UAB „Admen Baltic“ naujos galimybės LT,03.2.1-LVPA-K-801-02-0297,"UAB ""Admen Baltic""",Paraiškos vertinimas,86971,43485.5,0,0,0,
Eksporto skatinimas dalyvaujant parodose,03.2.1-LVPA-K-801-02-0332,"Altas komercinis transportas, UAB",Paraiškos vertinimas,75965,37982.5,0,0,0,
KASOS JUOSTŲ EKSPORTO PLĖTRA ,03.2.1-LVPA-K-801-02-0317,"UAB ""INČAS""",Paraiškos vertinimas,54312,27156,0,0,0,
Integralios pagalbos teikimas į namus Kėdainių rajone,08.4.1-ESFA-V-418-04-0038,Kėdainių bendruomenės socialinis centras,Įgyvendinimas,234000,234000,234000,234000,0,2016-10-05
Cellular Expert eksporto plėtra,03.2.1-LVPA-K-801-02-0300,"UAB ""Cellular Expert""",Paraiškos vertinimas,35724,17862,0,0,0,
"UAB ""DORA"" naujų galimybių projektas",03.2.1-LVPA-K-801-02-0286,"Uždaroji akcinė bendrovė ""Dora""",Paraiškos vertinimas,55030,27515,0,0,0,
UAB „Elas“ lazerinio mikroapdirbimo įrenginių eksporto rinkų plėtra,03.2.1-LVPA-K-801-02-0320,"Elas, UAB",Nesudaryta sutartis,92320,45000,0,0,0,
"UAB ""Standa"" eksporto plėtros skatinimas dalyvaujant parodose",03.2.1-LVPA-K-801-02-0306,"Uždaroji akcinė bendrovė ""STANDA""",Paraiškos vertinimas,90000,45000,0,0,0,
UAB „Litpolstar“  eksporto vystymo projektas,03.2.1-LVPA-K-801-02-0269,UAB „Litpolstar“,Paraiškos vertinimas,86965,43482.5,0,0,0,
UAB „Terra Modus“ užsienio verslo partnerių paieška ir eksporto plėtra dalyvaujant tarptautinėse parodose,03.2.1-LVPA-K-801-02-0325,UAB „Terra Modus“,Paraiškos vertinimas,90184,45000,0,0,0,
"UAB ""Plankmara"" eksporto plėtros skatinimas dalyvaujant parodose",03.2.1-LVPA-K-801-02-0303,"UAB ""PLANKMARA""",Paraiškos vertinimas,22012,11006,0,0,0,
"UAB ""RALKO"" eksporto didinimas plečiantis į naujas rinkas",03.2.1-LVPA-K-801-02-0284,"UAB ""RALKO""",Paraiškos vertinimas,64600,32300,0,0,0,
"UAB ""Creative partner"" eksporto skatinimas dalyvaujant tarptautinėse parodose",03.2.1-LVPA-K-801-02-0288,"UAB ""Creative Partner""",Paraiškos vertinimas,64241,32120,0,0,0,
Integrali pagalba į namus Šiaulių rajone,08.4.1-ESFA-V-418-04-0032,ŠIAULIŲ RAJONO SAVIVALDYBĖS SOCIALINIŲ PASLAUGŲ CENTRAS,Įgyvendinimas,156000,156000,156000,156000,0,2016-10-25
"UAB ""Aksinterier"" eksporto plėtra, dalyvaujant užsienio parodose",03.2.1-LVPA-K-801-02-0262,"UAB ""AKSINTERIER""",Paraiškos vertinimas,86965,43482,0,0,0,
UAB „Interjero projektų studija“ eksporto plėtra,03.2.1-LVPA-K-801-02-0328,UAB „Interjero projektų studija“,Nesudaryta sutartis,86253,43126,0,0,0,
BALTIC Maintenance pardavimų didinimas užsienio rinkose,03.2.1-LVPA-K-801-02-0333,UAB „BALTIC Maintenance“,Paraiškos vertinimas,86253,43126.5,0,0,0,
"""Ecodeco"" gamybinės linijos diegimas",03.3.1-LVPA-K-841-01-0019,"UAB ""VEIKA""",Paraiškos vertinimas,6151790,1977500,0,0,0,
"UAB ""Saunita"" plėtra į tarptautines rinkas",03.2.1-LVPA-K-801-02-0293,"Uždaroji akcinė bendrovė ""Saunita""",Paraiškos vertinimas,32300,16150,0,0,0,
"Biologiškai aktyvių augimo stimuliatorių augalams gamybos proceso modernizavimas ir plėtra, diegiant inovatyvias biotechnologijas",03.3.1-LVPA-K-841-01-0018,"UAB ""Akustinės biotechnologijos""",Nesudaryta sutartis,1313900,538200,0,0,0,
Naujos eksporto galimybės,03.2.1-LVPA-K-801-02-0312,"UAB ""Taip"" agentūra",Paraiškos vertinimas,86971,42588,0,0,0,
"UAB ""LZ technika"" eksporto plėtros didinimas, dalyvaujant tarptautinėse parodose",03.2.1-LVPA-K-801-02-0260,"UAB ""LZ technika""",Paraiškos vertinimas,85894,42947,0,0,0,
UAB VS SPORT dalyvavimas sportinio profilio parodose 2016-2017 m.,03.2.1-LVPA-K-801-02-0330,UAB VS SPORT,Paraiškos vertinimas,32300,16150,0,0,0,
Integralios pagalbos paslaugų tinklo kūrimas ir plėtra Ignalinos rajone,08.4.1-ESFA-V-418-04-0034,Dūkšto globos namai,Įgyvendinimas,171600,171600,171600,171600,0,2016-10-05
"UAB ""Torus Solutions"" specializuotų sprendimų verslui eksporto plėtra",03.2.1-LVPA-K-801-02-0276,"UAB ""Torus Solutions""",Nesudaryta sutartis,88006,44003,0,0,0,
"UAB ""Ąžuolų pynė"" eksporto rinkų plėtra",03.2.1-LVPA-K-801-02-0309,"UAB ""Ąžuolų pynė""",Paraiškos vertinimas,32659,16329.5,0,0,0,
"UAB ""Titmeta"" eksporto rinkų plėtra",03.2.1-LVPA-K-801-02-0298,"UAB ""Titmeta""",Paraiškos vertinimas,53594,26797,0,0,0,
"Dalyvavimas   parodose ""SLO Autumn Days 2016"",""LuxLive London 2016"",""SLO WINTER DAY 2017"" ir kt.",03.2.1-LVPA-K-801-02-0279,"UAB ""NORTHCLIFFE LIGHTING""",Paraiškos vertinimas,97259,45000,0,0,0,
Naujų rinkų paieška,03.2.1-LVPA-K-801-02-0318,UAB „Training Expert Group“,Paraiškos vertinimas,77389,38694,0,0,0,
"UAB ""Vittamed"" eksporto plėtra ir skatinimas užsienio rinkose",03.2.1-LVPA-K-801-02-0265,"UAB ""VITTAMED""",Paraiškos vertinimas,90000,45000,0,0,0,
"Įmonės eksporto rinkų plėtra ir ""Lu.eL"" prekės ženklo žinomumo tarptautinėse rinkose didinimas",03.2.1-LVPA-K-801-02-0282,"UAB ""Boružiukai""",Paraiškos vertinimas,86612,43306,0,0,0,
"UAB ""VIGIDAS PACK"" eksporto plėtra",03.2.1-LVPA-K-801-02-0301,"UAB ""VIGIDAS PACK""",Paraiškos vertinimas,77748,38874,0,0,0,
Naujų eksporto rinkų paieška,03.2.1-LVPA-K-801-02-0295,"UAB ""Amber port""",Paraiškos vertinimas,85176,42588,0,0,0,
UAB  AJ Šokoladas  verslo  konkurencingumo  skatinimas  dalyvaujant  tarptautinėse  parodose,03.2.1-LVPA-K-801-02-0336,UAB  AJ Šokoladas,Paraiškos vertinimas,86610,43305,0,0,0,
"MB ""Virmalda"" naujų užsienio rinkų paieška",03.2.1-LVPA-K-801-02-0315,"MB ""Virmalda""",Paraiškos vertinimas,90000,45000,0,0,0,
"UAB ""March design studio"" eksporto plėtros skatinimas dalyvaujant parodose",03.2.1-LVPA-K-801-02-0321,"UAB ""March design studio""",Paraiškos vertinimas,44018,22009,0,0,0,
"UAB ""Senamiesčio spaustuvė"" eksporto didinimas dalyvaujant tarptautinėse parodose",03.2.1-LVPA-K-801-02-0267,"UAB ""Senamiesčio spaustuvė""",Paraiškos vertinimas,42947,21473.5,0,0,0,
Spektroskopijos sistemų eksporto rinkų plėtra (SERP),03.2.1-LVPA-K-801-02-0326,"Uždaroji akcinė bendrovė ""Ekspla""",Paraiškos vertinimas,65671,24798,0,0,0,
UAB ELECTRONIC HOUSE produkcijos pristatymas užsienyje vykstančiose tarptautinėse parodose 2016-2018,03.2.1-LVPA-K-801-02-0304,UAB ELECTRONIC HOUSE ,Paraiškos vertinimas,65383,32659,0,0,0,
Integrali pagalba į namus Pagėgių savivaldybėje,08.4.1-ESFA-V-418-04-0035,Pagėgių savivaldybės socialinių paslaugų centras,Įgyvendinimas,273000,273000,273000,273000,0,2016-10-05
"Bendros Lietuvos ir Olandijos įmonė UAB ""VTEX"" eksporto plėtra dalyvaujant parodose",03.2.1-LVPA-K-801-02-0289,"Bendra Lietuvos-Olandijos įmonė uždaroji akcinė bendrovė ""VTEX""",Paraiškos vertinimas,33018,16509,0,0,0,
