Name,Bezeichnung des Vorhabens,"Zusammenfassung des Vorhabens","Datum des Beginns des Vorhabens","Datum des Endes des Vorhabens","Gesamtbetrag der förderfähigen Ausgaben des Vorhabens in €","Unions-Kofinanzierungssatz","Kofinanzierung aus anderen öffentlichen Mitteln",PLZ,Land,Interventionsbereich,"Finanzierungsform",Art des Gebietes,"Territoriale Umsetzungsmechanismen","Sekundäres ESF-Thema"
bfz gGmbH,"Qualifizierung Lager / Hauswirtschaft / Schweinfurt / 22.06.2015, MVB 26.05.2015",Das Projekt soll Langzeitarbeitslose auf der Basis von anerkannten Qualifizierungsbausteinen fundiert qualifizieren und somit ihre Chancen auf eine dauerhafte Integration in den ersten Arbeitsmarkt erhöhen.,22.06.2015,18.03.2016,"131.156,90",45%,50%,97424,Bayern/DE,109,1,1,7,1
bfz gGmbH,Qualifizierung im Bereich Verkauf / 13.04.15 / Neumarkt,"Das Projekt beinhaltet folgende Bausteine:
Fachübergreifende Qualifizierung,
allgemeine Fachqualifizierung, 
spez. Fachqualifizierung im Bereich Verkauf,
Praktikum,
Abschluss.
Die spezifische Fachqualifizierung entspricht den Ausbildungsbausteinen 1 (lfd. Nr. 1 -4), 2 (lfd. Nr. 1-5) und 3 des Ausbildungsberufs ""Verkäufer/in"".",13.04.2015,20.10.2015,"84.571,82",48%,47%,92318,Bayern/DE,109,1,2,7,1
bfz gGmbH,BerEiT / Forchheim / 01.06.2015 mit MVB,"Das Projekt soll Langzeitarbeitslose auf der Basis von anerkannten Qualifizierungsbausteinen fundiert qualifizieren und somit ihre Chancen auf eine dauerhafte Integration in den ersten Arbeitsmarkt erhöhen.",01.06.2015,14.03.2016,"118.725,67",50%,40%,91301,Bayern/DE,109,1,2,7,1
bfz gGmbH,Qualifizierung im Bereich Bau / Dillingen / 08.06.15,"Das Projekt beinhaltet folgende Bausteine: Fachübergreifende, allgemeine und spezifische Fachqualifizierung in den Bereichen Bau, Projektarbeit, Praktikum und Abschluss.
Die spez. Fachqualifizierung entspricht dem Qualifizierungsbaustein ""Herstellen von Bauteilen im Trockenbau"" des Ausbildungsberufs ""Maurer"".",08.06.2015,21.10.2015,"86.149,42",49%,46%,89407,Bayern/DE,109,1,2,7,1
bfz gGmbH,Perspektive Arbeit / Nürnberg / 20.07.2015,Das Projekt soll Langzeitarbeitslose auf der Basis von anerkannten Qualifizierungsbausteinen fundiert qualifizieren und somit ihre Chancen auf eine dauerhafte Integration in den ersten Arbeitsmarkt erhöhen.,20.07.2015,08.04.2016,"172.246,85",49%,46%,90429,Bayern/DE,109,1,1,7,1
bfz gGmbH,Qualifizierung Metallbau und Holzbearbeitung / Coburg / 21.09.2015,Das Projekt soll Langzeitarbeitslose auf der Basis von anerkannten Qualifizierungsbausteinen fundiert qualifizieren und somit ihre Chancen auf eine dauerhafte Integration in den ersten Arbeitsmarkt erhöhen.,21.09.2015,06.06.2016,"201.387,28",49%,46%,96450,Bayern/DE,109,1,2,7,1
bfz gGmbH,QUIT -  HoGa / Immenstadt / 21.09.15 (MVB ab 31.08.15),"Fachübergreifende, allgemeine und spezifische Fachqualifizierung im Bereich HoGa, Praktikum und Abschluss. Qualifizierungsbausteine ""Lagerhaltung und Büroorganisation"" und ""Gästebetreuung und Verkauf"" des Ausbildungsberufs ""Hotelfachmann/Hotelfachfrau"". ",21.09.2015,25.05.2016,"115.311,01",49%,46%,87509,Bayern/DE,109,1,2,7,1
bfz gGmbH,Metall / Marktredwitz / 30.09.15 (MVB 23.09.15),"Fachübergreifende, allg. und spez. Fachqualifizierung im Bereich Metall, Praktikum, Abschluss. Die spez. Fachqualifizierung entspricht den Qualifizierungsbausteinen ""Grundlagen Metallbau"", ""Maschinelles Bearbeiten"" und ""Herstellen einfacher Metall- u. Stahlbaukonstruktionen"" des Ausbildungsberufs ""Metallbauer"". ",30.09.2015,22.06.2016,"199.836,41",48%,46%,95615,Bayern/DE,109,1,2,7,1
bfz gGmbH,Qualifizierung Farbe und Trockenbau/Weiden/23.10.15 (MVB ab 05.10.15),Das Projekt soll Langzeitarbeitslose auf der Basis von anerkannten Qualifizierungsbausteinen fundiert qualifizieren und somit ihre Chancen auf eine dauerhafte Integration in den ersten Arbeitsmarkt erhöhen.,23.10.2015,10.05.2016,"140.185,70",49%,46%,92637,Bayern/DE,109,1,2,7,1
bfz gGmbH,"Qualifizierung Lager in Pfarrkirchen / 19.10.2015, MVB ab 05.10.2015",Das Projekt soll Langzeitarbeitslose auf der Basis von anerkannten Qualifizierungsbausteinen fundiert qualifizieren und somit ihre Chancen auf eine dauerhafte Integration in den ersten Arbeitsmarkt erhöhen.,19.10.2015,18.03.2016,"97.531,63",49%,45%,84347,Bayern/DE,109,1,2,7,1
bfz gGmbH,BuQ Verkauf / Handel / Augsburg / 26.10.2015 / MVB 12.10.2015,Das Projekt soll Langzeitarbeitslose auf der Basis von anerkannten Qualifizierungsbausteinen fundiert qualifizieren und somit ihre Chancen auf eine dauerhafte Integration in den ersten Arbeitsmarkt erhöhen.,26.10.2015,22.07.2016,"147.698,64",50%,45%,86156,Bayern/DE,109,1,1,7,1
bfz gGmbH,Qualifizierung Lager / München / 26.10.2015 / MVB 19.10.2015,"Das Projekt soll Langzeitarbeitslose auf der Basis von anerkannten Qualifizierungsbausteinen fundiert qualifizieren und somit ihre Chancen auf eine dauerhafte Integration in den ersten Arbeitsmarkt erhöhen.",26.10.2015,05.07.2016,"188.086,30",48%,45%,80339,Bayern/DE,109,1,1,7,1
bfz gGmbH,Qualifizierung im Bereich Verkauf/Neumarkt/02.11.15 (MVB 22.10.15),"Das Projekt beinhaltet folgende Bausteine: fachübergreifende Qualifizierung, allgemeine Fachqualifizierung, spez. Fachqualifizierung im Bereich Verkauf, Praktikum, Abschluss. Die spezifische Fachqualifizierung entspricht den Ausbildungsbausteinen 1 (lfd. Nr.1-2), 2 (lfd. Nr. 1-5) und 3 des Ausbildungsberufs ""Verkäufer/in"".",02.11.2015,17.05.2016,"86.479,59",49%,46%,92318,Bayern/DE,109,1,2,7,1
bfz gGmbH,Qualifizierung Lager/Hauswirtschaft / Altötting / 09.11.2015 / MVB ab 28.10.2015,Das Projekt verfolgt die Zielsetzung Langzeitarbeitslose auf der Basis von anerkannten Qualifizierungsbausteinen fundiert zu qualifizieren und sie dauerhaft in den ersten Arbeitsmarkt zu integrieren.,09.11.2015,10.05.2016,"140.425,91",49%,45%,84503,Bayern/DE,109,1,2,7,1
bfz gGmbH,QEM / Marktoberdorf / 02.11.15 (MVB 29.10.15),"Fachübergreifende, allg. und spez. Fachqualifizierung in den Bereichen Metall und Elektro, Praktikum, Abschluss. Qualifizierungsbausteine ""Basisqualifikation Metalltechnik"" und ""Maschinelles Fertigungsverfahren Drehen/Fräsen"" der Ausbildungsberufe ""Fertigungsmechaniker"" bzw. ""Zerspanungsmechaniker"", und ""Montage, Demontage und Installation"" des Ausbildungsberufs ""Elektroniker/in"". ",02.11.2015,28.07.2016,"189.368,77",50%,45%,87616,Bayern/DE,109,1,2,7,1
bfz gGmbH,"Qualifizierung SchutzSicherheit bzw. Gebäudereinigung in Altötting, 22.02.2016","Das Projekt beinhaltet foldende Bausteine: Fachübergreifende Qualifizierung, Allgemeine Fachqualifizierung, Spezifische Fachqualifizierung, Praktikumsbegleitender Unterricht, Abschluß",22.02.2016,15.09.2016,"119.719,98",48%,47%,84503,Bayern/DE,109,1,2,7,1
bfz gGmbH,Qualifizierung im Bereich HoGa / Neumarkt / 25.01.16 / MVB 07.01.16,"Fachübergreifend und allgemeine Qualifizierung, spez. Fachqualifizierung im Bereich HoGa, Praktikum, Abschluss. Die spez. Fachqualifizierung entspricht den Qualifizierungsbausteinen ""Anwendung arbeits- und küchentechn. Verfahren, Zubereitung von pflanzlichen Lebensmitteln, Suppen und Soßen"" sowie ""Einfache Arbeiten im Küchenbereich"" des zugrundeliegenden Ausbildungsberufs ""Koch/Köchin"".",25.01.2016,09.08.2016,"92.765,84",48%,46%,92318,Bayern/DE,109,1,2,7,1
bfz gGmbH,Neustart für Frauen / Regensburg / 01.02.16 ,"Das Projekt beinhaltet: fachübergreifende u. allg. Fachqualfizierung, spezifische Fachqualifizierung im Bereich Verkauf, Praktikum, Auswertung und Abschluss. Die spez. Fachqualifizierung entspricht den Qualifizierungsbausteinen ""Verkauf"" und ""Werbemaßnahmen und Dekoration"" des Ausbildungsberufs ""Verkäufer/in"".",01.02.2016,29.07.2016,"79.564,01",49%,46%,93059,Bayern/DE,109,1,1,7,1
BILDUNG und BERUF GmbH,Betreuungsassistentin/Betreuungsassistent (13.04.15 - 28.08.15),"Modul A: Coaching, Einführung in das Thema, Vorbereitung auf das Orientierungspraktikum
Modul B: Orientierungspraktikum - 9 Tage
Modul C: Fachunterricht I ""Betreuungsassistent/in"" und Fachunterricht II ""Tagesgestaltung"" inkl. Qualifizierungsbaustein BAVBVO ""Alte Menschen bei ihrer Tagesgestaltung unterstützen"".
Modul D: Betreuungspraktikum - 20 Tage",13.04.2015,28.08.2015,"72.097,56",48%,47%,87600,Bayern/DE,109,1,2,7,1
BILDUNG und BERUF GmbH,"Kompetenz in Lagerlogistik, Kommissionierung und Hausmeister-Service","Modul A: Orientierung - fachübergreifend
Modul B: Lagerwirtschaft mit Qualifizierungsbaustein I: Lagerung von Gütern und Qualifizierungsbaustein II: Lagerlogistik - Kommissionierung
Hausmeister: Metall, Elektro, Heizung,Sanitär, Zähler, Nebenkostenrechnung, Garten, Aussenanlagen, Gebäudereinigung, fachbez. Mathematik,
Gabelstaplerschein
Modul C: Praktikum - 4 Wochen",06.05.2015,21.12.2015,"152.465,11",49%,46%,87700,Bayern/DE,109,1,2,7,1
BILDUNG und BERUF GmbH,Verkauf/ Lagerlogistik und Kommisionierung ,"Beruflicher Qualifizierung
Modul A und Modul B: Orientierung fachübergreifend und Fachliche Qualifizierung 
Lager und Verkauf  mit Qualifizierungsbaustein ""Verkaufsvorbereitung, Kundenberatung und Verkauf"" und Qualifizierungsbaustein ""Lagerlogistik - Kommissionierung"". 
Modul C: Praktikum 4 Wochen
Coaching, sozialpädagogische Betreuung",08.06.2015,05.02.2016,"160.557,96",44%,51%,87435,Bayern/DE,109,1,1,7,1
BILDUNG und BERUF GmbH,Pflegediensthelfer/in,"Kompetenz im Bereich Pflegediensthelfer/in
Modul A: Fachunterricht I - ""Nahrungs- und Flüssigkeitsaufnahme unterstützen"" (Qualifizierungsbaustein nach BAVBO SGB XI)
Fachunterricht II - Qualfizierung ""Pflegediensthelfer/in"" (Qualifizierung und Zertifikat durch die Johanniter Kaufbeuren)t
Modul B: Praktikum im Bereich Pflege (100 Stunden)",16.09.2015,09.02.2016,"78.544,31",48%,46%,87600,Bayern/DE,109,1,2,7,1
Bildungsinstitut PSCHERER gGmbH,"""VeLa"" - Qualifizierung Verkauf & Lager für Langzeitarbeitslose und Arbeitslose","Berufliche Qualifizierung langzeitarbeitsloser und im Einzelfall ggf. arbeitsloser Männer und Frauen in den Berufsfeldern ""Verkauf"" und ""Lagerwirtschaft"" auf Basis der BBiG- Qualifizierungsbausteine (lt. BAVBVO). Weitere elementare Bausteine sind ein Erprobungs- bzw. Integrationspraktikum sowie eine intensive sozialpädagogische Betreuung.",02.11.2015,01.07.2016,"145.558,60",45%,50%,95615,Bayern/DE,109,1,2,7,1
Christliches Bildungswerk Bad Neustadt gGmbH,AidA Hof 1.0,"AidA - Ausbildung in der Altenpflege
Projektort: Hof a.d. Saale
Schwerpunkt der Maßnahme ist die fundierte berufliche Einstiegsqualifizierung im Bereich Altenpflege. Sie richtet sich an arbeitslose bzw. langzeitarbeitslose ALG-II Bezieher. ",07.12.2015,06.09.2016,"169.889,09",43%,53%,95032,Bayern/DE,109,1,2,7,1
Deutsches Erwachsenen-Bildungswerk gGmbH,QUIZ 2015,"QUIZ 2015: Qualifizierung - Integration - Zukunft: 
Gezielte Förderung der beruflichen Qualifizierung in Kombination mit Maßnahmen zum
Abbau von Vermittlungshemmnissen zur Verbesserung der Eingliederungschancen
von erwerbsfähigen erwachsenen Langzeitarbeitslosen.",19.10.2015,12.07.2016,"122.573,86",44%,51%,85051,Bayern/DE,109,1,1,7,8
Deutsches Erwachsenen-Bildungswerk gGmbH,QUIZ 2015 ,"QUIZ 2015: Qualifizierung - Integration - Zukunft: 
Gezielte Förderung der beruflichen Qualifizierung in Kombination mit Maßnahmen zum Abbau von Vermittlungshemmnissen zur Verbesserung der Eingliederungschancen von erwerbsfähigen erwachsenen Langzeitarbeitslosen.",21.09.2015,16.06.2016,"111.646,52",50%,43%,95028,Bayern/DE,109,1,2,7,1
Donner + Partner GmbH Bildungszentren,"Berufliche Qualifizierung in den Fachbereichen Handel/Verkauf, Lager/Logistik","BEQUA 2 - Berufliche Qualifizierung mit dem Ziel der nachhaltigen Integration erwachsener, erwerbsfähiger, langzeitarbeitsloser Männer und Frauen in den ersten Arbeitsmarkt durch Vermittlung von anschlussfähigen Qualifizierungsbausteinen in den Fachbereichen
  a) Handel/Verkauf oder 
  b) Lager/Logistik",22.06.2015,18.01.2016,"191.445,84",41%,54%,83026,Bayern/DE,109,1,1,7,1
Donner + Partner GmbH Bildungszentren,"Handel, Verkauf, Kasse (Teilzeit); Maßnahmeort Straubing","Ziel in diesem Projekt ist die dauerhafte Integration der TeilnehmerInnen auf dem ersten Arbeitsmarkt. Die Aufgabe in diesem Projekt der beruflichen Qualifikation ist, die langzeitarbeitslosen TeilnehmerInnen neben der Vermittlung notwendiger Fachkenntnisse auf das betriebliche Praktikum vorzubereiten.",23.11.2015,05.07.2016,"103.678,55",44%,51%,94315,Bayern/DE,109,1,2,7,1
ebiz GmbH,"„Aktiv für Arbeit 2015/2016 in Passau""","Qualifizierung im Bereich Lager und Logiastik (Qualifizierungsbausteine),
Zugang zum ersten Arbeitsmarkt ermöglichen und erfolgreiche Vermittlung
in den ersten Arbeitsmarkt.",11.08.2015,14.03.2016,"127.341,38",50%,43%,94032,Bayern/DE,109,1,1,7,1
ebiz GmbH,"""Aktiv für Arbeit 2015/2016 in Mühldorf Lager/Logistik""","Qualifizierung im Bereich Lager und Logistik (Qualifizierungsbausteine), Zugang zum ersten Arbeitsmarkt ermöglichen und erfolgreiche Vermittlung in den ersten Arbeitsmarkt.",22.09.2015,25.04.2016,"140.752,08",47%,48%,84453,Bayern/DE,109,1,2,7,1
Elf Freunde müsst ihr sein gGmbH,Elf Freunde müsst ihr sein 2015,"Ziel des Projekts „Elf Freunde“ ist es, benachteiligte Menschen für Tätigkeiten auf dem allgemeinen Arbeitsmarkt zu befähigen und zu integrieren. Die Qualifizierung ist so angelegt, dass mit einer Kompetenzfeststellung, individuell passenden Bildungsmodulen und einer Einarbeitung im Rahmen eines Praktikums der Einstieg in den allgemeinen Arbeitsmarkt bei Unternehmen möglich wird. ",01.07.2015,23.12.2015,"206.624,63",49%,46%,80639,Bayern/DE,109,1,1,7,1
Frau und Beruf GmbH,DiKOM Garmisch-Partenkirchen,"""DiKOM - Dienstleistungskompetenz im Einzelhandel"" beinhaltet zentrale Bausteine des anerkannten Berufsbildes Kaufmann/Kauffrau im Einzelhandel: Qualifizierungsbausteine: „Betriebsorganisation, Warenannahme und Warenlagerung“, „Verkaufsgespräch und Beratung“;
Zielgruppe des Projekts sind erwerbsfähige, erwachsenen Langzeitarbeitslosen und/oder erwerbsfähigen ALG-II BezieherInnen.",04.05.2015,18.12.2015,"98.045,26",49%,45%,,Bayern/DE,109,1,7,7,1
Frau und Beruf GmbH,DiKOM Bad Tölz - Wolfratshausen,"""DiKOM - Dienstleistungskompetenz im Einzelhandel"" beinhaltet zentrale Bausteine des anerkannten Berufsbildes Kaufmann/Kauffrau im Einzelhandel: Qualifizierungsbausteine: „Betriebsorganisation, Warenannahme und Warenlagerung“, „Verkaufsgespräch und Beratung“;
Zielgruppe des Projekts sind erwerbsfähige, erwachsenen Langzeitarbeitslosen und/oder erwerbsfähigen ALG-II BezieherInnen.",04.05.2015,18.12.2015,"100.406,00",50%,39%,,Bayern/DE,109,1,7,7,1
Gem. DEB-soziale Dienstleistungs GmbH,AKTIV Eichstätt,"Praxisnahe berufliche Qualifizierungsmaßnahme mit hohen Übungsanteilen,
zielgruppen- und marktgerechten Qualifizierungsbausteinen
und individualisierten Zusatzmodulen, sozialpädagogischer Betreuung
und intensiver Vermittlungsunterstützung.",20.04.2015,18.12.2015,"131.697,47",39%,57%,85072,Bayern/DE,109,1,2,7,1
Gemeinn. Gesellschaft für soziale Dienste ,ESF-Projekt Alltagsbegleiterin ,Qualifizierung in den Bereichen Hauswirtschaft und Betreuungsassistentin nach § 87b SGBXI. 2 Module nach BAVBVO (Personenbezogene Versorgung im Bereich Ernährung und REinigen und Pflegen von Textilien) plus 4 Wo Berufspraktikum. Anschließend Qualifikation als Betreuungsassistentin plus 3 Wo Praktikum. Bewerbungs- und Selbstvermarktungstraining. Begleitung Sozialpädagogin mit 20 Std./Woche.,15.07.2015,11.12.2015,"102.015,21",44%,51%,97424,Bayern/DE,109,1,1,7,1
IFP Ges. für Fortb. u. Personalentw. mbH,Qualif. von erwerbsf. Frauen und Männern für Tätigkeiten in der Altenpflege,"Es handelt sich hier um eine Qualifizierung zum/zur Altenpflegehelfer/in mit folgenden Bausteinen:
Qualifizierungsbaustein 1:
Alte Menschen in ihrer Beweglichkeit im Rahmen der Selbstpflege fördern und unterstützen
Qualifzierung zum/zur Schwesternhelfer/in nach den Richtlinien des Malteser Hilfsdienstes (MHD)
Palliativbegleitung",07.09.2015,02.06.2016,"159.767,70",47%,48%,94315,Bayern/DE,109,1,2,7,1
P&S praxis und seminare GmbH,Grüner Daumen Hochfranken,"""GDH"" soll den Teilnehmern die Möglichkeit geben, sich fachtheoretisch und -praktisch mittels Projekten  zu qualifizieren und auf den Berufsalltag vorzubereiten. Das Praktikum bietet den TN die Chance für sich über aktive Mitarbeit in den Betrieben mit ihren neu erworbenen Kenntnissen zu werben. ",29.06.2015,24.03.2016,"87.910,34",50%,30%,95213,Bayern/DE,109,1,2,7,8
Peters Bildungs GmbH,SafetyJobs 2015 ING,"Erwerbsfähige, langzeitarbeitslose Männer und Frauen in ihrer Ausbildungs- und Arbeitsmarktfähigkeit stärken und die (Re-)Integration in den Arbeitsmarkt durch Qualifizierung im Sicherheitsgewerbe realisieren",13.07.2015,09.03.2016,"176.051,00",50%,45%,85051,Bayern/DE,109,1,1,7,1
Peters Bildungs GmbH,Server 2015 - Ingolstadt,"SerVer – Qualifizierung zur Servicekraft im Einzelhandel - Verkauf
mit IHK anerkannten Qualifizierungsbausteinen in Teilzeit
Erwerbsfähige, langzeitarbeitslose Männer und Frauen in ihrer Ausbildungs- und Arbeitsmarktfähigkeit stärken und die (Re-)Integration in den Arbeitsmarkt durch Qualifizierung im Einzelhandel – Verkauf realisieren",19.10.2015,31.05.2016,"93.776,01",49%,46%,85051,Bayern/DE,109,1,1,7,1
quin.akademie GmbH,Helfer im Handwerk und in der Dienstleistung SR 2015,"Das ESF-Ausbildungsprojekt HELFER IM HANDWERK ist auf die
Mobilisierung, Stabilisierung, vor allem Qualifizierung und Integration von
langzeitarbeitslosen Menschen im Landkreis Straubing und darüber
hinaus ausgerichtet.",16.02.2015,13.11.2015,"554.696,85",43%,53%,94315,Bayern/DE,109,1,2,7,1
Regionales Bildungszentrum Eckert gemeinnützige GmbH,Qualifizierung Betreuungsassistent Pflege und Hauswirtschaft Weiden,"Berufliche Qualifizierungsmaßnahme für überwiegend langzeitarbeitslose und alleinerziehende Männer und Frauen mit dem Ziel, die TeilnehmerInnen in für sie ausgewählten beruflichen Qualifizierungsbausteinen auszubilden und in den ersten Arbeitsmarkt zu integrieren.",06.05.2015,29.01.2016,"138.572,00",42%,53%,92637,Bayern/DE,109,1,2,7,1
Regionales Bildungszentrum Eckert gemeinnützige GmbH,Qualifizierung Handel und Verkauf Schwandorf,"Berufliche Qualifizierungsmaßnahme für überwiegend langzeitarbeitslose Frauen und Männer mit dem Ziel, die TeilnehmerInnen in für sie ausgewählten beruflichen Qualifizierungsbausteinen auszubilden und in den ersten Arbeitsmarkt zu integrieren.",27.04.2015,21.01.2016,"123.981,00",41%,54%,92421,Bayern/DE,109,1,2,7,1
Transfer GmbH & Co. KG,MiA - Motiviert in Arbeit,"Regionaler Mehrwert; Qualifizierung von Langzeitarbeitslosen in
strukturschwachen Grenzregionen; Stabilisierung von Langzeitarbeitslosen;
Heranführung an den ersten Arbeitsmarkt; Vermittlung; Angestrebte
Zertifizierungsquote: 60%",27.04.2015,23.12.2015,"150.021,58",45%,50%,95643,Bayern/DE,109,1,2,7,1
Transfer GmbH & Co. KG,Natürlich Arbeiten Hof,"Regionaler Mehrwert; Qualifizierung von Langzeitarbeitslosen in
strukturschwachen Grenzregionen; Stabilisierung von Langzeitarbeitslosen;
Heranführung an den ersten Arbeitsmarkt; Vermittlung; Angestrebte
Zertifizierungsquote: 60%",29.06.2015,15.02.2016,"134.097,74",49%,46%,95028,Bayern/DE,109,1,2,7,1
Volkshochschule Stadt Selb,Basisqualifikation Helferberufe,"Kurs für ALG II Empfänger, durch die EU mitfinanziert. Berufliche Integration durch Auffrischung einer Basisbildung für den Arbeitsplatz. Themen:
- Zahlen- und Textverständnis
- Arbeitsplanung
- persönliches Auftreten
- Bewerbungsunterstützung
- 2   Praktika
Die Stärkung der Handlungskompetenz erleichtert die Eingliederung in den Arbeitsmarkt. Unterrichtsort ist die vhs Selb",09.11.2015,08.07.2016,"151.368,82",46%,49%,95100,Bayern/DE,109,1,2,7,1
WBS TRAINING AG,Qualifizierung Hauswirtschaft / Lagerwirtschaft,"Berufliche Qualifizierungsmaßnahme für überwiegend langzeitarbeitslose Männer und Frauen mit dem Ziel, die Teilnehmer in für sie ausgewählten, beruflichen Qualifizierungsbausteinen auszubilden und in den 1. Arbeitsmarkt zu vermitteln.",27.04.2015,22.01.2016,"143.333,69",44%,51%,94469,Bayern/DE,109,1,2,1,1
WBS TRAINING AG,Qualifizierung Helfer /-in - Elektro,"Berufliche Qualifizierungsmaßnahme für überwiegend langzeitarbeitslose Männer und Frauen mit dem Ziel, die Teilnehmer in für sie ausgewählten, beruflichen Qualifizierungsbausteinen auszubilden und in den 1. Arbeitsmarkt zu vermitteln.",15.06.2015,26.02.2016,"200.054,50",44%,51%,92224,Bayern/DE,109,1,2,7,1
Zweckverband Volkshochschule im Lkr. Erding,Assistentin für Betriebsmanagement,"Der Lehrgang verbessert die Arbeitsmarktchancen von langzeitarbeitslosen Frauen mit einem Ausbildungsprogramm, das sich am Arbeitsmarkt orientiert. Die Bausteine sind nach dem Ausbildungsberuf Bürokaufmann/frau ausgerichtet (s. Konzept). 60% der Teilnehmerinnen werden ein Zertifikat erlangen. Wir gehen davon aus, dass ein großer Teil der Teilnehmerinnen auf dem Arbeitsmarkt integriert wird.",13.05.2015,08.02.2016,"125.750,00",46%,49%,85435,Bayern/DE,109,1,2,1,1
bfz gGmbH,Soz.päd. Begl. v. Schülern i. d. Altenpflegeausbldg / Memmingen / 01.08.2015,"•Reduktion der Abbrecherquote
•Stärkung der Schüler in ihrer psychosozialen Situation
•Vermittlung von passenden Hilfeangeboten",03.08.2015,02.08.2017,"29.397,73",50%,40%,87700,Bayern/DE,106,1,2,7,1
bfz gGmbH,Bleib dran / Marktredwitz / 01.09.2015,Primäres Ziel des Projekts ist die Verringerung der Quote der Ausbildungsabbrüche in Pflegeberufen auf unter 10%. ,01.09.2015,31.08.2017,"58.785,73",49%,39%,95615,Bayern/DE,106,1,2,7,1
bfz gGmbH,Gemeinsam weiter / Bayreuth / 01.09.2015,"Die Schüler werden in ihrer psychosozialen Situation gestärkt, bei Bedarf über einen längeren Zeitraum pädagogisch begleitet und in weitere passende Hilfsangebote vermittelt (z.B. Schuldnerberatung, Ehe- und Erziehungsberatungs-stellen).",01.09.2015,31.08.2017,"46.859,61",50%,38%,95445,Bayern/DE,106,1,1,7,1
bfz Würzburg gGmbH,SAB-Sozialpädagogische Ausbildungs-Begleitung,"Die ""Sozialpädagogische Ausbildungsbegleitung"" soll Schüler der Altenpflege und Altenpflegehilfe vor allem im ersten Jahr darin unterstützen, ihre Ausbildung auch bei Auftreten individueller Probleme fortzusetzen.",01.09.2015,31.08.2017,"60.800,00",50%,40%,97084,Bayern/DE,106,1,1,7,1
Förderverein der Deutschen aus Russland in Augsburg e. V. ,Bilde deine Zukunft,"Das Hauptaugenmerk des Projektes liegt darin, die Chancen von Mittelschulabgängern mit Migrationshintergrund auf einen Anschluss an berufsbildenden Maßnahmen zu erhöhen bzw. den Jugendlichen aus sozial schwachen Familien auf ihrem Weg ins Berufsleben eine effektive Unterstützung und Begleitung zu bieten und somit für berufliche Perspektiven und mehr Chancengleichheit zu sorgen. ",01.09.2015,31.08.2017,"202.332,06",47%,47%,86159,Bayern/DE,106,1,1,7,1
Gemeinn. Gesellschaft für soziale Dienste ,"""Bleib dabei!""","Im Rahmen der Altenpflegeausbildung kommt es zu hohen Abbruchquoten. Um diese zu reduzieren unterstützt eine Sozialpädagogin an den Standorten Coburg und Nürnberg die Schüler/innen und Lehrkräfte/Dozenten  im Rahmen von Trainings und Coachings, die eine Erhöhung der Selbstwirksamkeitserwartungen, der Sozialen Kompetenz und der sozialen Bindung zwischen Schülerinnen und Lehrkräften zum Ziel hat.",01.09.2015,25.08.2017,"322.981,43",50%,33%,96450,Bayern/DE,106,1,2,7,1
Initiative Junge Forscher e.V.,Nachwuchsförderung 4.0 – Qualifizieren für die Zukunft ,"Das innovative MINT-Projekt bietet handlungsorientierte Module zu Technologiethemen der Zukunft wie Leichtbau, Energie, Nanotechnologie und Digitale Welten an. Alle Module sind eingebunden in eine Strategie der Nachwuchsförderung unter gendersensitivem Blick, regionaler Koordinierung und Einsatz digitalen Lernens. Der  Fokus wird neben Gymnasien und Realschulen erstmals auf Mittelschulen gelegt.",01.07.2015,30.06.2019,"3.004.926,57",50%,1%,97074,Bayern/DE,106,1,1,7,1
Joblinge gAG München,Joblinge,"Das JOBLINGE Projekt hat es sich zum Ziel gesetzt, benachteiligte Jugendliche nachhaltig in den ersten Arbeitsmarkt, d.h. in Ausbildung oder Anstellung, zu integrieren, und die Jugendlichen durch den Aufbau und die Festigung von Job- und Sozialkompetenzen in die Lage zu versetzen, sich in Zukunft selbständig auf dem Arbeitsmarkt erfolgreich bewegen zu können.",01.07.2015,30.06.2017,"1.004.161,00",48%,29%,80538,Bayern/DE,106,1,1,1,1
Volkshochschule im Landkreis Cham e. V.,PFLEGE Plus,Innovatives Projekt zur Vermeidung von Ausbildungsabbrüchen in der Pflegeausbildung durch vielfältige (sozialpädagogische) Unterstützungsangebote und eine individuelle Förderplanung unter Einbindung aller erforderlichen Akteure.,01.09.2015,31.08.2017,"64.378,96",50%,40%,,Bayern/DE,106,1,7,7,1
Berufsförderungswerk Nürnberg gemn. GmbH,HeLP Co,"Heranführung Langzeitarbeitsloser an die Praxis durch Coaching
Im Rahmen verschiedener Arbeitsbereiche werden einfache und überschaubare Tätigkeiten für gemeinnützige und soziale Institutionen durchgeführt. Parallel erfolgen Gruppen- und Einzelcoachings.",13.07.2015,12.07.2017,"540.315,14",49%,45%,96450,Bayern/DE,109,1,2,7,1
bfz gGmbH,Motivation und Teilhabe / Augsburg / 01.07.2015,"Die Aktivierung und das erfolgreiche Übergangsmanagement in das Bundesprogramm erfolgt durch regelmäßige engmaschig terminierte Coaching-/Beratungsgespräche, Workshop-Angebote zu diversen beruflichen und sozialen Themen sowie einer praxisannähernden Erprobung innerhalb des „geschützten Rahmens“ der bfz-eigenen Werk- und Übungsräumen.",01.07.2015,31.12.2015,"167.825,50",50%,45%,86156,Bayern/DE,109,1,1,7,1
