"ProjektCode / 
code of operation",Name des Begünstigten / name of beneficiary,Bezeichnung des Vorhabens / operation name,Zusammenfassung des Vorhabens / operation summary,Datum des Beginns des Vorhabens / operation start date,Datum des Endes des Vorhabens/ operation end date,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens / total eligible expenditure allocated to the operation,"Unions-Kofinanzierungssatz pro Prioritätsachse / Union co-financing rate, as per priority axis",Regionalcode des Vorhabens / location indicator,Land / country,Bezeichnung der Interventionskategorie für das Vorhaben / name of category of intervention for the operation
2DFAAA_00177,RETTET DAS KIND OESTERREICH,Jugendcoaching,"Seit 2013 setzt RETTET DAS KIND im Burgenland das  Projekt „Jugendcoaching“ in allen Bezirken um. Ziel ist es, frühzeitige Schul- bzw. Ausbildungsabbrüche zu verhindert bzw. mit den Jugendlichen eine persönliche Zukunftplanung zu erstellen.
",01.01.2017,31.12.2017,"804307,48","60,00 %","91501 - Wien, 15. Rudolfsheim-Fünfhaus",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BAAIA_00023,autArK Soziale Dienstleistungs-GmbH,"""Arbeit in Sicht"" - Stabilisierung durch Erstberatung, Clearing, Betreuung, Bewerbungscoaching, Arbeitsplatzsuche und betriebliches Training","Das Angebot ist eine individualisierte, personenzentrierte, niederschwellige Dienstleistung mit nachgehendem Ansatz. Neben Clearing, Beratung, Bewerbungscoaching und Arbeitsplatzsuche gibt es ein betriebliches Training direkt am 1. Arbeitsmarkt.",01.04.2016,31.03.2017,"196735,68","50,00 %",210 - KÄRNTEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00201,VEREIN ZUR FÖRDERUNG VON ARBEIT UND BESCHÄFTIGUNG (FAB),Jugendcoaching NÖ NEET's 2017,"Jugendcoaching unterstützt außerschulische Jugendliche unter 19 Jahre, sowie Jugendliche mit sonderpädagogischem Förderbedarf bis zu 24 Jahren und leistet einen wesentlichen Beitrag zur Höherqualifizierung bzw. Integration in den Arbeitsmarkt. ",01.01.2017,31.12.2017,"1032194,74","50,00 %",40101 - Linz,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BABHA_00015,Jugend am Werk Steiermark GmbH,ENTRY - Einstieg durch niederschwellige Beschäftigung,Mit diesem Netzwerkprojekt werden zusätzliche niederschwellig zugängliche Transitarbeitsplätze für BezieherInnen der Bedarfsorientierten Mindestsicherung und andere arbeitsmarktferne Zielgruppen bei 2 Beschäftigungsprojekten geschaffen. ,01.04.2016,31.12.2016,"70269,5","50,00 %",220 - STEIERMARK (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BABHA_00021,bbs Beschäftigungsbetriebe Steiermark,ENTRY - Einstieg durch niederschwellige Beschäftigung,"Das Netzwerkprojekt Entry ist eine Projektgemeinschaft von 14 Trägerorganisationen zur niederschwelligen, stundenweisen Beschäftigung in der Steiermark.

",01.04.2016,31.12.2016,80,"50,00 %",220 - STEIERMARK (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00158,Büro für Berufsintegrationsprojekte Öhe GmbH,Berufsausbildungsassistenz 2017,Die Berufsausbildungsassistenz begleitet und betreut im Rahmen der Berufsausbildung nach § 8b BAG ausgrenzungsgefährdete und/oder benachteiligte Jugendliche mit persönlichen Vermittlungshemmnissen ,01.01.2017,31.12.2017,916096,"50,00 %",80302 - Hohenems,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00231,VOLKSHILFE ARBEITSWELT GMBH,Jugendcoaching Pflichtschulen Süd,"Beratung u. Begleitung
- ab d. individ. 9. Schulbesuchsj.
- abbruchgefährdete Jugendl. unter 19 J. bzw. Jugendl. mit Behind. oder sonderpäd. Förderbedarf unter 25 J.;
- Bez. Linz-Land, Braunau, Kirchdorf, Ried, Steyr, Wels, Gmunden und Vöcklabruck",01.01.2016,31.12.2016,"1424702,29","50,00 %",40101 - Linz,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00118,BHAK/BHAS St. Pölten,"S-1.5 USD ""Förderung der Unterrichtssprache Deutsch"" ",Förderung der Unterrichtssprache Deutsch (USD) im Bereich des kaufmännischen Schulwesens,05.09.2016,31.08.2017,"23131,44","50,00 %",123 - Sankt Pölten (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BADEA_00060,Rettet das Kind Salzburg gemeinnützige GmbH,Teilprojekt aus Bildungsachse - Linie 150,"Berufsorientierung, Sprachtraining, Bilden von beruflichen Interessen, Rückmeldung zu Talenten. Fachpraktische/-theoretische Berufsvorqualifizierung, Heranführen an das duale Bildungssystem, vertiefender fachspezifischer Spracherwerb.",04.04.2016,20.12.2019,"1004013,66","50,00 %",320 - SALZBURG (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00153,"Verein für Training, Integration und Weiterbildung",Produktionsschule Potenzial Jugend,"Die PS Potenzial Jugend ist ein Projekt für benachteiligte Jugendliche mit einer individuellen Unterstützung je nach den vorhandenen Rahmenbedienungen, Voraussetzungen und Fähigkeiten der Jugendlichen mit Schwerpunkt  Wirtschaft",01.01.2016,31.12.2016,"860052,19","50,00 %","90501 - Wien,  5. Margareten",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00197,WUK - Verein zur Schaffung offener Kultur- und Werkstättenhäuser,WUK faktor.c ,"WUK faktor.c ist ein spezialisiertes Jugendcoachingprojekt für Jugendlichen mit Benachteiligung od. Behinderung. Das Angebot richtet sich an Schüler_innen ab dem 9. Sj und an junge Menschen bis zum 24. Lj, die sich nicht in Ausbildung befinden. ",01.01.2017,31.12.2017,"854117,92","50,00 %","90701 - Wien,  7. Neubau",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BADBA_00068,equalizent Schulungs- und Beratungs GmbH,Teilprojekt Training und Beratung Inklusion,"Die Projektinhalte des Jugendcolleges sind ein Deutschkursangebot, Basisbildung und Spezialmodule sowie eine  Bildungs- und Berufsberatung. Gender und Diversity sind ebenso wie Inklusionspädagogik eine Querschnittsmaterie in allen Bereichen. ",27.06.2016,26.06.2017,"361059,42","50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BAABA_00050,context - Impulse am Arbeitsmarkt GmbH,MigIn - Migrantinnen Integration am Arbeitsmarkt,"Das Angebot bietet muttersprachliche Unterstützung durch „Native Speaker“ für Frauen mit arabischem, persischem oder türkischem Hintergrund mit dem Ziel einer langfristigen Integration am 1.Arbeitsmarkt.",01.07.2015,30.06.2016,"597856,04","50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CADAC_00129,BHAK/BHAS Innsbruck,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ",Durch KOEL soll eine Verringerung  der  Zahl  der  Schulabbrecher/innen  in  der  1.  Klasse  Handelsschule sowie 1. Jahrgang Handelsakademie angestrebt werden. Gleichzeitig leistet das Projekt einen Beitrag zu Inklusion und Gendermainstreaming.,08.09.2016,31.08.2017,"292998,24","50,00 %",332 - Innsbruck (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BAABA_00051,Beratungszentrum für Migranten und Migrantinnen,Arbeitsmarktpolitische Betreuungseinrichtung inklusive Frauenberatung,"Die Beratungs- und Betreuungseinrichtung unterstützt beim AMS Wien arbeitslos oder arbeitsuchend vorgemerkte Migranten und Migrantinnen beim erfolgreichen Erst- oder Wiedereinstieg in den Arbeitsmarkt.
",01.07.2015,30.06.2016,"1091244,82","50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CADAC_00082,Bundeshandelsakademie und Bundeshandelsschule Wien 10,"S-1.5 USD ""Förderung der Unterrichtssprache Deutsch"" ","Das Projekt dient zur Förderung der Unterrichtssprache Deutsch im Ausmaß von 2 Wochenstunden in den 1. Klassen HAS/HAK/AUL
",05.09.2016,31.08.2017,69300,"50,00 %",131 - Wien (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00087,BHAK/BHAS Feldkirchen,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ",Verringerung und Verhütung des vorzeitigen Schulabbruchs und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarausbildung.,05.09.2016,31.08.2017,38500,"50,00 %",213 - Unterkärnten (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2DFAAA_00156,RETTET DAS KIND OESTERREICH,Jugendcoaching,"Seit 2013 setzt RETTET DAS KIND im Burgenland das Projekt „Jugendcoaching“ in allen Bezirken um. Ziel ist es, frühzeitige Schul- bzw. Ausbildungsabbrüche zu verhindern bzw. mit den Jugendlichen eine persönliche Zukunftplanung zu erstellen.",01.01.2016,31.12.2016,"805939,19","60,00 %","91501 - Wien, 15. Rudolfsheim-Fünfhaus",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00079,Bundeshandelsakademie und Bundeshandelsschule Hallein,"S-1.5 USD ""Förderung der Unterrichtssprache Deutsch"" ","Durchführung einer ganzjährigen unverbindliche Übung ""Unterstützendes Sprachtraining Deutsch
(USD)"" im Ausmaß von 2 Wochenstunden pro Gruppe bzw. Klasse/Jahrgang.
 Die Mindestgröße der Gruppe muss 10
Schüler/innen umfassen.",12.09.2016,31.08.2017,15400,"50,00 %",320 - SALZBURG (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00095,BHAK/BHAS Braunau,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ","Verringerung der Drop-Out-Quote, Verringerung und Verhütung des vorzeitigen Schulabbruchs und Förderung des gleichen Zugangs zu einer hochwertigen Sekundarausbildung",12.09.2016,31.08.2017,19250,"50,00 %",311 - Innviertel (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00126,BHAK/BHAS Vöcklabruck,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ","Förderung durch verbindliche Übungen die Lerninhalte zu wiederholen, und eigenverantwortliches Lernen zu fördern",12.09.2016,31.08.2017,"26986,68","50,00 %",315 - Traunviertel (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00219,ProVita Bildungs  GmbH,Produktionsschule bildung.bewegt,"Jugendliche und junge Erwachsene im Alter von 15 bis 24 Jahren, die zum Zeitpunkt des Eintritts mit der Absolvierung einer Berufsausbildung ( fehlenden Vorraussetzungen im Bereich definierter Basis - & Schlüsselkompetenzen) überfordert sind.",01.01.2016,31.12.2016,"825245,12","50,00 %","90201 - Wien,  2. Leopoldstadt",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BABBA_00147,START WORKING Verein zur Integration am Arbeitsmarkt,Back to the Future - Beschäftigung,"Der SÖB ‚Back to the Future - Beschäftigung‘ bietet BezieherInnen der Bedarfsorientierten Mindestsicherung zwischen 18-24 Jahren, die beim AMS Wien gemeldet sind, befristete Dienstverhältnisse  in unterschiedlichen Tätigkeitsfeldern.
",01.10.2016,30.09.2017,"1999962,23","50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BABHA_00016,"Buglkraxn, Verein für Arbeitsintegration",ENTRY - Einstieg durch niederschwellige Beschäftigung,"Mit diesem Netzwerkprojekt werden zusätzliche stundenweise Transitarbeitsplätze für BezieherInnen der bedarfsorientierten Mindestsicherung, sowie für weitere besonders arbeitsmarktferne Zielgruppen beim Beschäftigungsträger Buglkraxn geschaffen",01.04.2016,31.12.2016,"38307,17","50,00 %",223 - Östliche Obersteiermark (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BAABA_00038,Job-TransFair gemeinnützige GmbH Beratung Beschäftigung FAIRmittlung,step2job Job-TransFair,"BBE mit Casemanagement-Ansatz für BMS BezieherInnen sowie arbeitsmarktferne Personen. Ziele sind Beschäftigung am 1. oder 2. Arbeitsmarkt, Beseitigung von schweren Vermittlungshemnissen, Qualifizierung.",01.07.2015,30.06.2016,293690,"50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CADAC_00120,BHAK/BHAS Wien 11,"S-1.5 USD ""Förderung der Unterrichtssprache Deutsch"" ",Intensives Training der Schüler/innen der 9.Schulstufe zur Förderung der Erhöhung der Sprachkompetenz in Deutsch im SJ 2016/17.,05.09.2016,31.08.2017,"23131,44","50,00 %",131 - Wien (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00222,VEREIN ZUR FÖRDERUNG VON ARBEIT UND BESCHÄFTIGUNG (FAB),Jugendcoaching NÖ NEET's 2016,"Das Projekt „Jugendcoaching“ bietet NEET-Jugendlichen Unterstützung, um eine Reintegration ins Schulsystem einen Abschluss in der Sekundarstufe I und/oder II, Ausbildungen, Weiterbildungen oder eine Integration in den Arbeitsmarkt zu erlangen.",01.01.2016,31.12.2016,"806977,69","50,00 %",40101 - Linz,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BAABA_00042,Hilfeeinrichtungen der Caritas der Erzdiözese Wien,Caritas step2job,"Zielsetzung der BBE step2job ist die Stabilisierung von BMS-BezieherInnen und arbeitsmarktfernen Personen durch Beratung, Betreuung, Qualifizierung und Vermittlung in Beschäftigung",01.07.2015,30.06.2016,"286817,51","50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00188,AUTARK SOZIALE DIENSTLEISTUNGS-GMBH,Jugendcoaching Außerschulische,"Für außerschulische Jugendliche und systemferne Jugendliche (NEETs) werden realistische Möglichkeiten in Bezug auf Lebens- und Berufsperspektiven entwickelt und Grundlagen für die berufliche Integration erarbeitet. 
",01.01.2017,31.12.2017,"549172,51","50,00 %",20101 - Klagenfurt,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00218,WUK - Verein zur Schaffung offener Kultur- und Werkstättenhäuser,WUK faktor.c ,"WUK faktor.c ist ein spezialisiertes Jugendcoachingprojekt für Jugendliche mit Benachteiligung od. Behinderung. Das Angebot richtet sich an Schüler_innen ab dem 9. Sj und an junge Menschen bis zum 24. Lj, die sich nicht in Ausbildung befinden.",01.01.2016,31.12.2016,"746223,71","50,00 %","90701 - Wien,  7. Neubau",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BAADA_00143,VEREIN ZUR FÖRDERUNG VON ARBEIT UND BESCHÄFTIGUNG (FAB),Schritte in den Arbeitsmarkt,"„Schritte in den Arbeitsmarkt“ richtet sich an Bezieher*innen der Bedarfsorientierten Mindestsicherung. Kernstück - das kombinatorische Angebot aus Gruppentraining und Einzelberatung gemeinsam mit niederschwelligen Arbeiten im Projektkontext.
",01.01.2016,31.12.2019,"3993657,6","50,00 %",310 - OBERÖSTERREICH (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00212,AUTARK SOZIALE DIENSTLEISTUNGS-GMBH,Jugendcoaching Pflichtschule,Jugendcoaching Pflichtschule setzt sich zum Ziel abbruchs- bzw. ausgrenzungsgefährdete Jugendliche vor dem Drop out zu bewahren und sie am Übergang Schule - Beruf zu unterstützen. ,01.01.2016,31.12.2016,"791618,59","50,00 %",20101 - Klagenfurt,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00103,BHAK/BHAS Deutschlandsberg,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ","Die Schülerinnen sollen zu kompetenzorientiertem, eigenverantwortlichen Lernen und zum gemeinsamen Erarbeiten von Lerninhalten angehalten werden. ",05.09.2016,31.08.2017,38500,"50,00 %",225 - West- und Südsteiermark (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00159,ibis acam Bildungs GmbH,Produktionsschule VIA,"Maßnahmenart: via Produktionsschule
Ort der Leistungserbringung: Resselstraße 18 in 6020 Innsbruck 
Zielgruppe: Jugendliche mit  Defiziten im Bereich definierter Basiskompetenzen (Kulturtechniken inkl. Neue Medien und soziale Kompetenzen) ",01.01.2017,31.12.2017,"568700,45","50,00 %","91101 - Wien, 11. Simmering",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00107,BHAK/BHAS Wörgl,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ","Projekt über ein Jahr in der ersten und zweiten Klasse Handelsschule im Schuljahr 2016/17 am Standort Wörgl zur Durchführung von verbindlichen Übungen zum ""Kompeten6zorientierten, eigenverantwortlichen Lernen"".",12.09.2016,31.08.2017,19250,"50,00 %",335 - Tiroler Unterland (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BAABA_00037,FAB Verein zur Förderung von Arbeit und Beschäftigung,BBE step2job 2015 FAB für die Regionalen Geschäftsstellen 959 und 960,"BBE mit Casemanagement-Ansatz für BMS-BezieherInnen sowie arbeitsmarktfernen Personen. 
Ziele sind Beschäftigung am 1. oder 2. Arbeitsmarkt, Beseitigung von schweren Vermittlungshemmnissen, Qualifizierung
",01.07.2015,30.06.2016,1215740,"50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CADAC_00106,BHAK/BHAS eco Telfs ,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ","Kompetenzorientiertes, eigenverantwortliches Lernen (KOEL) im Bereich der kaufmännischen Schulen",08.09.2016,31.08.2017,92400,"50,00 %",332 - Innsbruck (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BABIA_00076,Burg Friesach Errichtungs GmbH,"""Hand-Werk""","Niedrigschwellige Arbeitsangebote, eine Fall bezogene, sozialpädagogische Betreuung (Case-Management Ansatz) reduzieren im Projekt „Hand-Werk“ Hemmnisse arbeitsmarktferner Personen und erleichtern die Reintegration in den ersten Arbeitsmarkt. ",01.01.2017,31.12.2017,"859791,98","50,00 %",210 - KÄRNTEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BADBA_00071,"Österreichische Jungarbeiterbewegung, ÖJAB",Teilprojekt Training,"Die Projektinhalte des Jugendcolleges sind ein Deutschkursangebot, Basisbildung und Spezialmodule sowie eine  Bildungs- und Berufsberatung. Gender und Diversity sind ebenso wie Inklusionspädagogik eine Querschnittsmaterie in allen Bereichen. ",27.06.2016,26.06.2017,"69995,17","50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BAABA_00055,Beratungszentrum für Migranten und Migrantinnen,Check In und Nutze Deine Qualifikationen,"Das Angebot Check In und Nutze Deine Qualifikationen unterstützt höher qualifizierte MigrantInnen, passende Aus- und Weiterbildungen zu finden und abzuschließen.",01.07.2015,30.06.2016,231738,"50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00213,TRANSJOB - Verein für Wirtschafts- und Beschäftigungsinitiativen,Produktionsschule Mostviertel,"Produktionsschule 3300 Weitenfeldstr. 35, Anzengruberstr. 3, 3382 Europapl.10 3250  Kirchenpl. 5, Jugendl. mit Behinderung, Benachteiligungen,  Migrationshintergrund, bis 24 LJ. am Übergang Schule-Beruf, Junge Erwachsene und außerschulische Jugendl.",01.01.2016,31.12.2016,"847708,09","50,00 %",30502 - Amstetten,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
