"Code","Title","Project Cost","Beneficiary","Line Ministry","Start Date","End Date","Non Technical Short Summary Of Project","Operational Programme","Fund","Operational Objective","Priority Axis","Focus Area Of Intervention","Project Objectives","Project Results","Project Purpose"
"CF 123","Setting up of the Gozo Waste Transfer and Material Recovery Facility","€8,389,319","WasteServ Malta Ltd.","Ministry for Sustainable Development, the Environment and Climate Change","2009","2015","The Gozo Waste Treatment and Transfer Facility mainly comprises of a controlled facility for the reception, sorting, processing, interim storage and transfer of wastes originating from Gozo and Comino.  The dry recyclables will be sorted and bailed prior to further treatment. The Municipal Solid Waste (MSW) will be compacted in hermetically sealed containers and transferred to Malta for further treatment. The bulky wastes will be shredded where possible, compacted or bailed and transferred to Malta.","OPI Investing in Competitiveness for a Better Quality of Life CF","Cohesion Fund","To minimise landfilling of waste and to rehabilitate disused landfills, as well as, increase the capacity for waste treatment for energy recovery and recycling purposes;","PA5 Safeguarding the Environment","OPIPA5 Solid Waste","The general objective of this project is to provide a Waste Transfer and Material Recovery Facility for Gozo (1) to reduce the nuisances of waste being transported from Gozo to Malta for disposal and (2) to reduce the amount of recyclable waste being disposed at landfill in Malta.","The direct results of this project include the following:","N/A"
"CF 260","Refurbishment and Upgrading of Deep Water Quay","€13,972,770","Transport Malta","Ministry for Transport and Infrastructure","2012","2015","The project will comprise of the refurbishment and upgrading of the Deep Water Quay in order to have better maritime infrastructure service around the Grand Harbour area.","OPI Investing in Competitiveness for a Better Quality of Life CF","Cohesion Fund","To improve maritime accessibility (also inter-island) by upgrading TEN-T ports and related infrastructure.","PA3 Developing the TEN T","OPIPA3 Maritime Transport Links","The overall objective of this project is to refurbish and strengthen the maritime infrastructure located at DWQ in order to reinstate and increase the capacity of its two main berths (1/2 and 3/4) and to safeguard the related maritime economic activities that take place within the port of Valletta, wherein this quay is located.","The refurbishment and upgrading of Deep Water Quay will result in:",""
"CF 266","Extending Waste Separation and Collection Services in the Maltese Islands","€3,163,080","WasteServ Malta Ltd.","Ministry for Sustainable Development, the Environment and Climate Change","2012","2015","This project complements the ERDF22 project financed from EU Programming Period 2004-2006. The aim is to improve the waste separation infrastructure in the Maltese Islands to attain higher recovery and recycling rates in accordance with EU legislation.","OPI Investing in Competitiveness for a Better Quality of Life CF","Cohesion Fund","To minimise landfilling of waste and to rehabilitate disused landfills, as well as, increase the capacity for waste treatment for energy recovery and recycling purposes;","PA5 Safeguarding the Environment","OPIPA5 Solid Waste","The overall objectives of this project include the following:","1)Provide treatment for approximately 1,300 tonnes of glass which is recovered annually;",""
"ERDF 062","Language Lab with Contact Centre facility at MCAST Institute of Business and Commerce","€275,397","Malta College of Arts, Science and Technology (MCAST)","Ministry for Education and Employment","2008","2010","The proposed project involves the setting up of a 'Language Laboratory' training","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","","PA6 Urban Regeneration and Improving the Quality of Life","OPIPA6 Education, Social and Health-related Infrastructure","The overall objectives of the project are: ","1) The project will enable MCAST to produce the sort of skilled and highely competent presonnel required to take the sector forward and ensure that the appropriate communication skills, knowledge and competencies are in place for future expansion. ","The purpose of the project is to enable the Business and Commerce Institute and the Gozo Centre to:"
"ERDF 101","Installation of Renewable Energy Sources at MCAST","€464,147","MCAST","Ministry for Education and Employment","Q 4, 2008","Q 2,  2011","The project involves the installation of electrical power generating systems complete will all necessary associated hardware and monitoring systems on MCAST buildings' roofs at the College main Campus in Paola. These installations will be complimented with a wind turbine. This equipment is expected to generate a peak of 130kW and 4kW respectively.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To promote the use of RES and energy efficiency and reduction in the use of non-renewable energy sources;","PA4 Mitigation and Adaptation to Climate Change","OPIPA4 Energy","The overall objective is to support Malta's efforts to come in line with Europe's objectives of limiting its generation of electricity using traditional sources by generating part of MCAST's own power requirements using renewable energy sources , hence decreasing the amount of energy requested from generation utility.","The  results are:","The PV installation is intended to generate 134KW peak electrical power. This is equivalent to an energy generation of 235 MWH/annum. MCAST annual utilisation of energy has an estimated at 1400 MWh. This estimation was based on an extensive sample of actual electricity bills form 2007. Therefore the amount of electrical energy expected to be generated by this project when compared to MCAST's current requirements is 16.8%. Calculation = 235mwh x 100% /1400 MwH."
"ERDF 104","Stronger Cottonera Communities - The citizens right to accessibility and mobility","€8,610,410","Projects Development and Coordination Unit","Ministry for Transport and Infrastructure","2008","2015","The project is based on ""Transit Oriented Development"" principles integrating different aspects of regeneration; physical, social and economic. The concept applied shall bring the integration of nodes, upgrading of inner urban cores through enhanced transport areas. The combination of the upgraded environment centred on more sustainable transit options through shall lead to development of stronger communities.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","","PA6 Urban Regeneration and Improving the Quality of Life","OPIPA6 Urban Regeneration","Stronger Cottonera Communities which is part of a greater and Integrated Action Plan for the Cottonera Region will be a pilot in the implementation of:","1. The full embellishment of the Dock Number 1 nodes extending from Triq ix-xatt to Triq San Pawl. This is an extension of the Dock No 1 project and is targeting the urban areas in the immediate surroundings of the project to increase the permeability of the project and to increase the economic and social spin off as a result of physical regeneration.","The purpose of this project is to launch an integrated urban regenerated project for Cottonera. The interventions include: enhanced transit areas, the development of the realm through embellishment and the upgrading of social conditions through housing programmes. These projects will strengthen neighbourhoods in the locality and instil sustainable regeneration through better accessibility and mobility."
"ERDF 127","ERDF Small Start-up Grant Scheme","€1,054,027","Malta Enterprise Corporation","Ministry for the Economy, Investment and Small Business","2008","2015","The Small Start-up Grant Scheme aims to increase entrepreneurial activity through the formation of new, high value adding enterprises. Of interest will be business start-ups engaged in areas related to: manufacturing, Information and Communication Tchnology, Research and Development and Innovation, waste treatment and environmental solutions, biotechnology and the production of innovative products and services. Newly created start-up enterprises face higher costs per unit to develop an initial offering and to position themselves in the market. For this reason, beneficiaries are to be granted an aid, set at a co-financing rate of 25%, to cover initial operating costs such as consultancy and advisory services, wages, utilities and rent/leasing.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To support the re-structuring process of local industry (including crafts) and its move towards a competitive knowledge economy and promote entrepreneurship;","PA1 Enhancing Knowledge and Innovation","OPIPA1 Aid Schemes to the Manufacturing and Service Industries","This incentive will support new enterprises by part-financing their initial operational costs. One of the most critical phases encountered by all start-ups is the time lag between the initial investment and the matching of financial inflow generated through sales. Through this aid scheme, the burden of initial operating costs will be part-financed and the enterprise will have a higher probability of survival.","Start-ups often fail as they do not manage to make enough profit that cope operational costs. Wages, rent and utility bills are recurrent costs that need to be faced by new business who often lack a sound financial backing. Operating costs do not allow SMEs to fully utilise the available capital for investments in their business since a portion of the budget needs to be used to pay off these running costs. Through this scheme, beneficiaries will be aided through a reimbursement of 25% of these operational costs. The received reimbursed could eventually be invested, by the beneficiary, in other machinery of assets that would aid the company's processes. This scheme is aimed at innovative start-ups and those operating in the manufacturing sector, ICT, waste treatment and environmental solutions, Research and Development and Innovation and biotechnology. By aiding these high value adding SMEs, the Maltese economy will be able to improve its economy structure and hence be in line with the OPI that aims to stimulate the economies other EU member states. The ERDF Small Start-up Grant scheme output and result indicators are summarised as follows: Output Indicators - 50 start ups will be assisted to set up and grow under the SMall Start up Grant Scheme. This incentive will give start ups a higher probability of survival with the final objective of increasing direct employment; Result indicators - 43 start-ups will remain operational by project closure in 2013. To ensure that the above objectives are achieved of the potential applicants will be guided through info sessions to design a project in line with the respective guideline which addresses the above mentioned objectives. Coupled with the information session and the evaluation criteria for this scheme, the applicants will be assessed in line with the relevant Operational Programme results and indicators.","The purpose of the Small start-up Grant aid scheme is to encourage the growth of newly formed undertakings. Malta relies heavily on the creation of Small and Medium Enterprises as this is the sector that will sustain future employment within the Country. This aid scheme is in line with Malta's National Reform Programme which envisages to encourage the promotion and support of innovative start-ups. The direct benefit to these enterprises benefiting from this incentive will include a grant to cover their operating costs amounting to a maximum of 25% for a maximum period of 24 months. This will assist a number of start ups overcome the financial limitations faced in the first few years from starting up ensuring that the start up succeeds and grows in the future ensuring an increase in employment in the future."
"ERDF 130","Research & Development Grant Scheme","€2,169,660","Malta Enterprise Corporation","Ministry for the Economy, Investment and Small Business","2008","2015","This ERDF Research and Development Grant scheme is designed to help undertakings meet todayâs business challenges by further stimulating their companyâs Research and Development performance.  This incentive provides grants to enterprises carrying out Industrial Research and Experiential Development activities leading to the development of new or significantly improved products, processes or services.  Aid will be given to cover costs related to personnel costs, acquisition of related equipment and machinery, cost of contractual research, technical knowledge and patents, as well as the costs of materials, supplies and similar products that are required for the research project.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To support the re-structuring process of local industry (including crafts) and its move towards a competitive knowledge economy and promote entrepreneurship;","PA1 Enhancing Knowledge and Innovation","OPIPA1 Aid Schemes to the Manufacturing and Service Industries","Through this aid scheme, enterprises will be helped to invest in industrial research and experiential development so as to increase their knowledge to be able to enter new markets through the development of improved products processes and services by assisting them in co-financing of wages or researchers and technicians, in investing in instruments and equipment required for research projects, procuring technical knowledge, patents and materials, supplies and similar products related to research projects.","With regard to the R&D Grant, the results can be summarised below:","As stated in Maltaâs R&I Policy compiled by the Malta Council for Science and Technology (MCST) âRTDI is not an end in itself but rather a catalyst for developing Malta into a modern, knowledge-based economyâ.  Through this aid scheme the direct benefit to enterprises will be assistance to invest in industrial research and experiential development so as to increase their competitive advantage over other enterprises in the same industry and possibly be the catalysts of new developments"
"ERDF 133","ERDF Energy Grant Scheme","€10,315,653","Malta Enterprise Corporation","Ministry of Finance, the Economy and Investment","2008","2015","The purpose of this aid scheme is to improve the energy efficiency and environmental emissions as requested in Malta's energy programme. This will be achieved through the increase in the utilisation of RES and energy efficient systems","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To promote the use of RES and energy efficiency and reduction in the use of non-renewable energy sources;","PA4 Mitigation and Adaptation to Climate Change","OPIPA4 Energy","The overall objectives of the aid scheme will result in improved energy efficiency and increased use of renewable energy sources thereby reducing emissions and the demand on traditional energy sources.","This aid scheme will assist a total of 200 enterprises (assuming an average investment cost of €50,000) in investing energy efficiency measures and renewable energy solutions. This will result in a number of enterprises investing in energy saving initiatives and renewable solutions resulting in reducing dependency on fossil fuels which in the long term will reduce the negative impact of business in the environment.","The target group is the enterprise sector which includes all enterprises both large and SMEs. The Aid Scheme will contribute towards reducing energy demand of these enterprises and through investments in:"
"ERDF 200","JEREMIE - Joint European Resources for Micro to Medium Enterprises","€12,000,000","Ministry of Finance, Economy and Investment","Ministry for the Economy, Investment and Small Business","2010","2015","An initiative of the Commission together with the European Investment Bank","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To promote and strengthen high value-added economic activity, including attraction of Foreign Direct Investment through investments in enterprise support infrastructure, including industrial facilities;","PA1 Enhancing Knowledge and Innovation","OPIPA1 Financial Engineering","JEREMIE, Joint European Resources for Micro to Medium Enterprises is an initiative of the Commission together with the European Investment Bank Group in order to promote increased access to finance the development of micro, small and medium-sized enterprises in Malta.","","For the programming period 2007-2013 and further up to 31st December 2015, improve access to finance for the development of enterprises in Malta, primarily small and medium enterprises (SMEs) - including micro enterprises as defined in the Commission Recommendation 2003/361/EC, through the use of non-grant instruments such as loans (including micro-loans), venture capital or guarantees  promoting and adopting financial engineering approach to be implemented through the establishment of a JEREMIE Holding Fund."
"ERDF 226","Peacock Gardens - Cultural Urban Landscapes for Tourism Sustainability","€855,721","Valletta Local Council","Ministry for Justice, Culture and Local Government","2011","2015","The regeneration of Peacock Gardens project is aimed at re-launching the Cityâs Marsamxett Gateway through various upgrades, including the upgrading of Peacock Gardens. This gateway will offer an alternative access to Valletta and re-valorise the cultural urban landscape for a more sustainable tourism product on an International level.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To support the upgrading of the tourism product;","PA2 Promoting Sustainable Tourism","OPIPA2 Product Development","The rehabilitation and regeneration of the Peacock Gardens will promote: 1. The revamping of one of the gateaways of Valletta (especially the Sliema/Marsamxett connections to Sliema); 2. The upgrading of a public space and recreational area which is currently underutilised and which will contribute to improve the area in Valletta; 3. Increase the knowledge of tourists visiting the locality and the Maltese islands through the Interpretation Centre which shall provide audio visual and static displays, free of charge; 4. Create the right environment with a view to increase the possibility of generating more economic activity in this area of the capital, especially considering the fact that this garden will act as a transit station between the new bus service and the ferry and will also complement the Museum of Fortifications which is expected to be in close proximity to Peacock Gardens.","1. The creation of one alternative access to Valletta; 2. Valletta Local Council shall launch three cultural events per annum at Peacocks Gardens and same garden shall host events organised during the Notte Bianca event; 3. 2000 metres squared of upgraded recreational activities in Valletta; 4. One new interpretation centre in Valletta promoting the Maltese cultural calender as well as acting as a tourist information point.",""
"ERDF 228","Green Energy Schools","€394,411","Private Schools Association","n/a","2011","2014","The Green Energy Project (GES) will involve the introduction of RES in twelve Church schools through the installations of Photovoltaic systems and the installation of Intelligent Lighting systems in three schools . The objective is to reduce the schoolsâ dependency and use of non-renewable energy sources, thus leading by example as educational institutions and catalysts of green energy measures.   The projectâs activities will be publicised through the organisation of a Green Energy School Week, targeting school children, parents and staff members alike.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","","PA4 Mitigation and Adaptation to Climate Change","OPIPA4 Energy","","â¢ Each school that will install PVs will have a monitor which will be able to display the PV readings and CO2 equivalent saved. ",""
"ERDF 229","Investing in eco-friendly technology for energy and leading by example","€10,949","San Gaetano Parish Hamrun","n/a","2011","2013","The proposed project involves the installation of an eco-friendly photovoltaic panel system on the rooftop of San Gaetano Parish. The project intends to increase electricity generation from renewable energy sources, reduce CO2 emissions as well as reliance on imported fuels. In addition to this, the project will be promoting the use of RES systems amongst the community and residents of the locality of Hamrun.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To promote the use of RES and energy efficiency and reduction in the use of non-renewable energy sources;","PA4 Mitigation and Adaptation to Climate Change","OPIPA4 Energy","The following are the objectives envisaged in this proposed project:","The results which emanate following completion of this project are:",""
"ERDF 235","Stepping-Up Energy Saving Measures in Two-Provincial Schools","€28,396","The Malta Province of the Sisters of Charity of St Jeanne Antide","n/a","2011","2014","The project involved the installation of a photovoltaic system in two church schools - St Joanne Antide Primary School in Gudja and the Immaculate Conception Girls Secondary School in Tarxien. The installation of PVs will generate enough electricity to cover the annual load demand of each of the two schools. Apart from the environmental benefits, both schools will benefit from education awareness about environmental measures to adapt to climate change, hence marketing the schools as a zero carbon footprint building.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","","PA4 Mitigation and Adaptation to Climate Change","OPIPA4 Energy","The following are the objectives envisaged in this proposed project: - Increase electricity generation from Renewable Energy Sources and reducing CO2 emissions; - Reducing reliance on imported fuel; - Raise environmental awareness","After the completion of the project, the Malta Province of the Sisters of Charity of St Jeanne Antide will benefit from the following: ",""
"ERDF 236","Photovoltaic Panel System for Ghajnsielem Band Club","€25,060","Ghaqda Muzikali San Guzepp Ghajnsielem â A.D.1928","n/a","2011","2013","Installation of a 27KWp Photo-Voltaic system on roof of premises.  The system will be mounted directly on roof on fixed (no tracking) 30degree frames, facing direct South.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To promote the use of RES and energy efficiency and reduction in the use of non-renewable energy sources;","PA4 Mitigation and Adaptation to Climate Change","OPIPA4 Energy","The following are the objectives envisaged in this proposed project:","The project is addressed to meet the demand for energy of the current situation.  The PV system to be installed will generate enough energy to offset the consumption of the Band Club facilities.  Below is the basis for the calculation :","A PV array covering an area of approximately 230sqm will be mounted directly to the roof of the edifice. These will be mounted on A-frame structures.  The highest point of the installation will protrude between 0.5 to 0.8meters off the ground (roof level).  Due to the various shading and infrastructure of building the installation will have to be divided into sections."
"ERDF 238","PV system for the Leone Band Club","€36,308","Leone Band Club","N/A","2011","2013","Installation of a 20KWp Photo-Voltaic system on roof of premises.  The system will be mounted directly on roof on fixed (no tracking) 30degree frames, facing direct South.  The project aims to increase electricity generation from renewable energy sources, reduce CO2 emissions as well as contribute towards reducing Maltaâs reliance on imported fuels","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To promote the use of RES and energy efficiency and reduction in the use of non-renewable energy sources;","PA4 Mitigation and Adaptation to Climate Change","OPIPA4 Energy","The following are the objectives envisaged in this proposed project:","After the completion of the project, the Leone Band Club will benefit from the following:","From a general layout proposed, a total of 192 modules can fit on the identified area. Each panel shall produce 290Wp amounting to a total of 55.68Kwp."
"ERDF 239","Installation of Photo-Voltaic System on Oratorju Don Bosco","€21,217","Don Bosco Oratory, Gozo","N/A","2011","2012","The installation of a 20KWp Photo-Voltaic system on the roof of the premises. The system will be mounted on the roof on fixed 30 degree panels facing direct South. The project aims to increase electricity generation from  renewable energy sources, reduce CO2 emissions as well as contribute towards reducing Malta's reliance on imported fuels.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To promote the use of RES and energy efficiency and reduction in the use of non-renewable energy sources;","PA4 Mitigation and Adaptation to Climate Change","OPIPA4 Energy","1) An increase in electricity generation from renewable energy sources (RES) and reducing CO2 emissions; and ","With the intervention of a PV system the following results will be achieved: ",""
"ERDF 249","Setting of an Integral, Archaeological and Historical Trail in Victoria","€1,305,000","Rabat (Città Victoria) Local Council - Gozo","N/A","Q2 2012","Q1 2015","The setting of an integrated heritage trail in Victoria (Gozo) shall be achieved through specific interventions to upgrade accessibility, highlight historic features and communicate their interpretation to the visitors, making Victoria (Gozo) more attractive to overseas and domestic and overseas visitors, increasing destinationâs competitiveness, exploiting the niche of cultural tourism and developing the tourism product by improving the quality of presentation of cultural heritage.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To support the upgrading of the tourism product;","PA2 Promoting Sustainable Tourism","OPIPA2 Product Development","â¢ Creating an area of cultural and historical significance which previously was neglected and largely undiscovered by tourists;","","N/A"
"ERDF 256","MODUS: Encouraging Modal Shift in Land Transportation","€9,831,325","Transport Malta","Ministry for Transport and Infrastructure","2011","2015","A series of bus Interchanges, Bus Priority Measures, a new Park and Ride","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","","PA6 Urban Regeneration and Improving the Quality of Life","OPIPA6 Internal Mobility","This project aims to contribute to the above-mentioned Governmentâs transport strategy on sustainable internal mobility by encouraging a modal shift from the use of private passenger car on to public transport which would reduce future impact on the demand for land for new roads, junctions and car parks, reduce traffic congestion and its related externalities and improve road safety.","The MODUS project expects to increase a gradual modal shift which will ultimately go up to 8%.  This 8% increase equates to an increase of 2.4 million passengers using the scheduled public transport services. Currently public transport patronage stands at 30 million. It is anticipated that the MODUS project will achieve a modal shift of 8% from use of the private passenger car towards public transport . Therefore an 8% increase over the current patronage will result in an estimated increase of 2.4 million passengers.","The project aims to specifically contribute to the Governmentâs drive to encourage a modal shift from the private car onto public transport by introducing new infrastructures, equipment and measures which will:"
"ERDF 56","Upgrading and expansion, MCAST Institute of Mechanical Engineering Malta/Gozo","€1,506,102","Malta College of Arts, Science and Technology","Ministry for Education and Employment","2008","2011","This project includes the construction and finishing of an additional floor on the Mechanical Engineering building, block I and the setting up of automation manufacturing control, mechatronics and plant maintenance laboratories and woodworking and mechanical workshops. The three laboratories will be housed at Corradino, Malta and the two workshops at Xewkija Gozo Centre.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","","PA6 Urban Regeneration and Improving the Quality of Life","OPIPA6 Education, Social and Health-related Infrastructure","The overall objectives of the project are:","At the end of the project, MCAST will be better equipped with the latest equipment on Plant Maintenance, manufacturing and mechatronics branches of engineering. Moreover, MCAST will increase students capacity due to construction of the third floor.","The purpose of the project is to enable the Mechanical Engineering Institute to:"
"ERDF 65","Expansion of MCAST Institute of Electrical and Electronics Engineering","€651,991","Malta College of Arts, Science and Technology","Ministry for Education and Employment","2008","2010","The project involves the upgrading and expansion of the Institute of Electrical and Electronics Engineering through the upgrading/setting up of five laboratories at the MCAST Main Campus in Corradino. One laboratory, the PLC Software Development/Application laboratory will be upgraded whereas four new laboratories namely Electronics Microelectronics, Precision Electronic Training and Electrical Training will be set up.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Social Fund","","PA6 Urban Regeneration and Improving the Quality of Life","OPIPA6 Education, Social and Health-related Infrastructure","The overall objectives of the project are: ","The enhancement of the PLC Software Development/Application and the setting up of four new laboratories namely: Electronics, Microelectronics, Precision Electronic Training and Electrical Training.","The purpose of the project is: "
"ESF 1.125","Creating a Knowledge Transfer Framework and Technology Entrepreneurship Training Programme.","€1,255,244","University of Malta","Ministry for Education and Employment","2011","2015","The project aims to set up an intellectual property and knowledge transfer framework and introduce an intensive training programme in science and technology entrepreneurship at the University of Malta. It addresses the National Priorities to increase business to academia linkages and to foster an entrepreneurial culture through education.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To increase student participation rates in science, technology and ICT education at a further or higher level of education.","PA1 Improving Education and Skills","OPIIPA1 Addressing skills mismatches","To improve collaboration between University and Industry and increase the pool of people who start up S&T high tech businesses.","The results of the objectives are: ","The project will: "
"ESF 1.131","Training Educators for Diversity (TED)","€1,202,208","The Secretariat for Catholic Education Archdiocese of Malta","","2011","2015","TED is a three-year continuing professional development programme aimed at addressing skills mismatches resulting from recent educational reforms, and strengthening the effective use of ICT in the classroom. TED would involve all educators operating in Church schools: teachers, teaching assistants and school management.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To improve the quality or relevance of the educational experience.","PA1 Improving Education and Skills","OPIIPA1 Investing in the Education System","To enable educators to maintain, and better, present educational outcomes in the face of increased diversity and technological changes in the classroom, in support of national educational reforms.","1) 50% of all Church schools in Malta and Gozo, excluding pre-grade schools, will be expected to attain the minimum quality levels required to obtain a recognised international award for continuing professional development in education. This is the very first time, that this type of international quality certification is being introduced in local education sector and hence the present baseline would be zero percent. ","1) To identify, promote, design and develop effective teaching strategies for individualised learning; "
"ESF 1.19","Online e-learning Management System for Post-Graduate Medical Training Activities","€117,090","Medical Association of Malta","","2008","2012","This project will develop an online E-learning Management system as a support for post-graduate medical training and continued professional development. The objectives of the project are two-fold - firstly to help integrate ICT in postgraduate medical training, hence enhancing the effectiveness of the training experience; secondly to contribute to the retention of Maltese doctors in the Maltese health care system as local training will become more accessible.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To improve the quality or relevance of the educational experience.","PA1 Improving Education and Skills","OPIIPA1 Information and Communication Technology","The overall objective of this project is to help integrate ICT in post-graduate medical training, ultimately enhancing the effectiveness of the training experience. The delivery of high quality post graduate training in Malta will help retain Maltese doctors in the Maltese health care systems, promoting high quality of education.","The main results of the project are to: 1. Improve access to and quality of post graduate medical training; 2. Incorporation of e-learning and ICT in post-graduate medical training; 3. Increased quality of presentations; 4. Improved level of participation by trainees in online activities; 5. Increased in retention of post-graduate medical trainees in Malta; and 6. Establishment of an e-learning management system that will keep the portfolio of the participants and ultimately improve accountability in training. The project will support 250 individuals whilst undergoing their post-graduate medical training.","Through this project specialists in the medical sector will have access to online educational e-resource which will improve access and increase the effectiveness of post-graduate medical training. Through this project, participants will have the opportunity to follow part of the modules related to the post graduate medical training online."
"ESF 1.33","Increasing ICT student capacity in Malta","€4,761,386","Malta College of Arts, Science and Technology","Ministry for Education and Employment","2008","2015","This project will provide students to pursue further studies on a full-time basis in ICT related areas at foundation, diploma and national diploma level. The project will also involve the provision of Scholarships in the Digital Media sector on a full-time and or distance-learning basis.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To increase student participation rates in science, technology and ICT education at a further or higher level of education.","PA1 Improving Education and Skills","OPIIPA1 Information and Communication Technology","The project is aimed at delivering ICT related training programmes namely MCAST Foundation Certificate in Computing, MCAST/BTEC First Diploma for IT Practitioners, MCAST/BTEC National Diploma in Computing (2 years). This project will provide an opportunity for capacity building to ensure that there is a skilled and trained workforce in the ICT sector to meet the market needs that are constantly on the increase as a direct result of the direct foreign investment happening in Malta.","The college is projecting that circa 1,150 new students will be trained on a full time basis (throughout the lifetime of the project) in an area related to ICT on a full time basis. The project is aimed at ensuring that the college will be in a po0sition to accept as many applicants as possible applying in the various levels. It is projected that 75% of all participants (i.e. 863) will successfully complete the training programme and attain certification as well as ultimately find employment within the ICT sector. The 75% figure does not refer to immediate employment of the whole cohort (i.e. 1,150 students) following programme completion but eventual employment after successful completion of the Higher National Diploma not included in this project (not run by Private Training Providers).","The purpose of the project is to: attract and give an opportunity to students to take up programmes in Information Communication Technology; Provide a trained, knowledgeable and qualified workforce which is in great demand as a result of the continuous investment and growth of the sector; and support MCAST attain a number of targets laid out in the strategic plan namely those related to student population and lifelong learning. Benefits to target groups: a number of young people will be offered an opportunity to further their post secondary education in ICT sector on a full time basis; and offer equal opportunities to ALL candidates."
"ESF 1.36","Professional Development Programmes for MCAST Staff and Students' Top-up Degrees","€4,271,386","Malta College for Arts, Science and Technology","Ministry for Education and Employment","Quarter 4,  2008","Quarter 4, 2013","The project will support the professional development of academic and administrative staff at MCAST, also with the aim for the College to start providing vocational degrees. The project will also see the development of vocational degree programmes and their launch for students to participate in such courses.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To increase student participation in general fields of study at a further or higher level of education.","PA1 Improving Education and Skills","OPIIPA1 Investing in the Education System","The Project's overall objective s to improve the quality of Vocational Education and Training in Malta with the aim of providing MCAST staff and students with the required learning and training opportunities. This shall enhance the employability and the lifelong learning process of the project's participants in line with ongoing VET developments and EU objectives regarding the VET sector. This activity shall ultimately assist MCAST to offer a better prepared workforce to meet Malta's needs, particularly in the VET sector.","(See addendum part 4) - Corporate Staff: Number of MCAST Staff - 70; Management Staff: Total members of staff 31; Academic Staff: Number of lecturers who have a first degree and that will achieve a Masters - 40, Number of lecturers who will achieve MCAST Teacher Trainer Certificate in VET - 50; Number of lecturers at level 5 requiring 60 credits - 25.","Young learners: To improve the quality of teaching at MCAST thus offering a better educational experience to students; and to provide progression route for level 5 MCAST students. Adult workers: To provide a career progression route for adults outside the formal education system; and to offer workers opportunities to re-skill or specialise in specific areas. MCAST staff: to improve the academic proficiency of MCAST staff and therefore creating opportunities for career progression and a better quality of life. (Only then will MCAST be in a position to set up a Department for Research and Development to manage vocational research and development affairs of the college in order to meet the changes in local and foreign research environment, to establish the college's vocational and academic development policy and principles and to complete the organisation structure. The goal of DRD is to increase the college's international competitiveness by boosting research capacity, promoting academic development, adjusting organisational structure and improving organisational efficiency. This initiative aims to deliver research management infrastructure capable of supporting research excellence. This initiative aims to deliver a research management infrastructure capable of supporting research excellence, to place MCAST in a strong position to meet future challenges and make the most of emerging opportunities.) Early school leavers: To improve the quality of the foundation courses offered by MCAST and thus offering these young people (i.e. early school leavers) a second chance."
"ESF 2.137","Train to succeed","€75,970","San Pawl il-Bahar Local Council","Ministry for Tourism","2011","2015","This project aims to equip individuals with social and academic skills with the aim of increasing participation in lifelong learning and promoting training and education. This will be done by offering a number of courses through e-learning and other innovative methods of teaching, and job placements targeted to improve the hospitality service.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To increase the participation rate in lifelong learning.","PA2 Investing in employability and adaptability of the workforce","OPIIPA2 Continuous training and education.","The project aims to upgrade the skills of individuals working or would like to start working in the tourism sector. The upgrading of skills will increase lifelong learning and support the workersâ adaptability and employability in the labour market. The upgrading of skills will be done through the delivery of tailor-made courses, with the aim of encouraging continuous training and education through lifelong learning programmes.","It is estimated that by the end of the project:","ï§ Equip individuals with social and academic skills to increase participation in lifelong learning and promote training and education, thus in turn improve work ethics and provide a better service to tourists visiting the Maltese Islands; and"
